Text,Comment,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:14.H2,Intermarginal,"urn:cite:hmt:vaimg.VA185VN_0687@0.44602063,0.65587828,0.05600590,0.06196404",urn:cite:hmt:msA.185v
urn:cts:greekLit:tlg5026.msAim.hmt:14.H3,Intermarginal,"urn:cite:hmt:vaimg.VA186RN_0187@0.58216654,0.31784232,0.09653648,0.03112033",urn:cite:hmt:msA.186r
urn:cts:greekLit:tlg5026.msAim.hmt:14.H4,Intermarginal,"urn:cite:hmt:vaimg.VA186RN_0187@0.58290346,0.50691563,0.06282240,0.02005533",urn:cite:hmt:msA.186r
urn:cts:greekLit:tlg5026.msAim.hmt:14.H5,Intermarginal,"urn:cite:hmt:vaimg.VA186VN_0688@0.45652174,0.29515906,0.04863670,0.02710927",urn:cite:hmt:msA.186v
urn:cts:greekLit:tlg5026.msAim.hmt:14.H6,Intermarginal,"urn:cite:hmt:vaimg.VA186VN_0688@0.45670597,0.34937759,0.04661017,0.04011065",urn:cite:hmt:msA.186v
urn:cts:greekLit:tlg5026.msAim.hmt:14.H7,Intermarginal,"urn:cite:hmt:vaimg.VA186VN_0688@0.45136330,0.57330567,0.04955785,0.02987552",urn:cite:hmt:msA.186v
urn:cts:greekLit:tlg5026.msAim.hmt:14.A1,"First intermarginal scholion, 187R, Iliad 14","urn:cite:hmt:vaimg.VA187RN_0188@0.57258659,0.42060858,0.04974208,0.04315353",urn:cite:hmt:msA.187r
urn:cts:greekLit:tlg5026.msAim.hmt:14.A2,"Second intermarginal scholion, 187R, Iliad 14","urn:cite:hmt:vaimg.VA187RN_0188@0.58603537,0.63457815,0.02560796,0.03347165",urn:cite:hmt:msA.187r
urn:cts:greekLit:tlg5026.msAim.hmt:14.A3,"First intermarginal scholion of Iliad 187v","urn:cite:hmt:vaimg.VA187VN_0689@0.38559322,0.24564315,0.06392778,0.01258645",urn:cite:hmt:msA.187v
urn:cts:greekLit:tlg5026.msAim.hmt:14.A4,"Second intermarginal scholion, 187v, Iliad 14","urn:cite:hmt:vaimg.VA187VN_0689@0.39683125,0.34287690,0.05858511,0.02461964",urn:cite:hmt:msA.187v
urn:cts:greekLit:tlg5026.msAim.hmt:14.A5,"Third intermarginal scholion, 187v, Iliad 14","urn:cite:hmt:vaimg.VA187VN_0689@0.43809875,0.57413555,0.03131909,0.06168741",urn:cite:hmt:msA.187v
urn:cts:greekLit:tlg5026.msAim.hmt:14.A6,"Fourth intermarginal scholion, 187v, Iliad 14","urn:cite:hmt:vaimg.VA187VN_0689@0.42538688,0.66071923,0.03758290,0.04937759",urn:cite:hmt:msA.187v
urn:cts:greekLit:tlg5026.msAim.hmt:14.D1,"First intermarginal scholion, 188r","urn:cite:hmt:vaimg.VA188RN_0189@0.56153279,0.56666667,0.01768607,0.03734440",urn:cite:hmt:msA.188r
urn:cts:greekLit:tlg5026.msAim.hmt:14.D2,"Second intermarginal scholion,188r","urn:cite:hmt:vaimg.VA188RN_0189@0.50957996,0.60290456,0.06226971,0.03291840",urn:cite:hmt:msA.188r
urn:cts:greekLit:tlg5026.msAim.hmt:14.D3,"First intermarginal scholion, 188v","urn:cite:hmt:vaimg.VA188VN_0690@0.89941046,0.77648686,0.08253500,0.05643154",urn:cite:hmt:msA.188v
urn:cts:greekLit:tlg5026.msAim.hmt:14.D4,"Second intermarginal scholion, 188v","urn:cite:hmt:vaimg.VA188VN_0690@0.89240973,0.84426003,0.09174650,0.04011065",urn:cite:hmt:msA.188v
urn:cts:greekLit:tlg5026.msAim.hmt:14.D5,"Third intermarginal scholion, 188v","urn:cite:hmt:vaimg.VA188VN_0690@0.90935888,0.99225450,0.06927045,0.07441217",urn:cite:hmt:msA.188v
urn:cts:greekLit:tlg5026.msAim.hmt:14.D6,"Fourth intermarginal scholion, 188v","urn:cite:hmt:vaimg.VA188VN_0690@0.89941046,1.17980636,0.10464259,0.07441217",urn:cite:hmt:msA.188v
urn:cts:greekLit:tlg5026.msAim.hmt:14.D7,"First intermarginal scholion, 189r","urn:cite:hmt:vaimg.VA189RN_0360@0.56429624,0.40525588,0.05361091,0.01991701",urn:cite:hmt:msA.189r
urn:cts:greekLit:tlg5026.msAim.hmt:14.D8,"Second intermarginal scholion, 189r","urn:cite:hmt:vaimg.VA189RN_0360@0.63006632,0.64716459,0.05471629,0.01991701",urn:cite:hmt:msA.189r
urn:cts:greekLit:tlg5026.msAim.hmt:14.F1,"First intermarginal scholion, 189v, Iliad 14","urn:cite:hmt:vaimg.VA189VN_0691@0.43736183,0.25698479,0.05047900,0.03070539",urn:cite:hmt:msA.189v
urn:cts:greekLit:tlg5026.msAim.hmt:14.F2,"Second intermarginal scholion, 189v, Iliad 14","urn:cite:hmt:vaimg.VA189VN_0691@0.44067797,0.48160443,0.05195284,0.01964039",urn:cite:hmt:msA.189v
urn:cts:greekLit:tlg5026.msAim.hmt:14.F3,"Third intermarginal scholion, 189v, Iliad 14","urn:cite:hmt:vaimg.VA189VN_0691@0.44067797,0.50207469,0.05895357,0.01825726",urn:cite:hmt:msA.189v
urn:cts:greekLit:tlg5026.msAim.hmt:14.F4,"Fourth intermarginal scholion, 189v, Iliad 14","urn:cite:hmt:vaimg.VA189VN_0691@0.44325718,0.55878285,0.04384672,0.02268326",urn:cite:hmt:msA.189v
urn:cts:greekLit:tlg5026.msAim.hmt:14.F5,"Fifth intermarginal scholion, 189v, Iliad 14","urn:cite:hmt:vaimg.VA189VN_0691@0.44030951,0.59280775,0.05453206,0.03374827",urn:cite:hmt:msA.189v
urn:cts:greekLit:tlg5026.msAim.hmt:14.F6,"Sixth intermarginal scholion, 189v, Iliad 14","urn:cite:hmt:vaimg.VA189VN_0691@0.43478261,0.65449516,0.05932203,0.04011065",urn:cite:hmt:msA.189v
urn:cts:greekLit:tlg5026.msAim.hmt:14.F7,"First intermarginal scholion, 190r","urn:cite:hmt:vaimg.VA190RN_0191@0.57811349,0.26680498,0.05969049,0.03029046",urn:cite:hmt:msA.190r
urn:cts:greekLit:tlg5026.msAim.hmt:14.F8,"First intermarginal scholion, 190v, Iliad 14","urn:cite:hmt:vaimg.VA190VN_0692@0.43699337,0.25546335,0.05674282,0.05034578",urn:cite:hmt:msA.190v
urn:cts:greekLit:tlg5026.msAim.hmt:14.F9,"Second intermarginal scholion, 190v, Iliad 14","urn:cite:hmt:vaimg.VA190VN_0692@0.44344141,0.46763485,0.04605748,0.03319502",urn:cite:hmt:msA.190v
urn:cts:greekLit:tlg5026.msAim.hmt:14.F10,"Third intermarginal scholion, 190v, Iliad 14","urn:cite:hmt:vaimg.VA190VN_0692@0.44436256,0.49723375,0.04642594,0.04412172",urn:cite:hmt:msA.190v
urn:cts:greekLit:tlg5026.msAint.hmt:14.B1,"First Interior Scholion of 181r","urn:cite:hmt:vaimg.VA181RN_0182@0.07590273,0.41715076,0.07885041,0.05532503",urn:cite:hmt:msA.181r
urn:cts:greekLit:tlg5026.msAint.hmt:14.B2,"Second Interior Scholion of 181r","urn:cite:hmt:vaimg.VA181RN_0182@0.08474576,0.56708160,0.05969049,0.03319502",urn:cite:hmt:msA.181r
urn:cts:greekLit:tlg5026.msAint.hmt:14.B2,"Third Interior Scholion of 181r","urn:cite:hmt:vaimg.VA181RN_0182@0.09064112,0.64951591,0.05158438,0.02323651",urn:cite:hmt:msA.181r
urn:cts:greekLit:tlg5026.msAint.hmt:14.E1,"First interior scholion, 181v, Iliad 14","urn:cite:hmt:vaimg.VA181VN_0683@0.83990420,0.28934993,0.06963891,0.01466113",urn:cite:hmt:msA.181v
urn:cts:greekLit:tlg5026.msAint.hmt:14.E2,"Second interior scholion, 181v, Iliad 14","urn:cite:hmt:vaimg.VA181VN_0683@0.88025055,0.36348548,0.04679440,0.03513140",urn:cite:hmt:msA.181v
urn:cts:greekLit:tlg5026.msAint.hmt:14.E3,"Third interior scholion, 181v, Iliad 14","urn:cite:hmt:vaimg.VA181VN_0683@0.85740604,0.44716459,0.06816507,0.01687414",urn:cite:hmt:msA.181v
urn:cts:greekLit:tlg5026.msAint.hmt:14.E4,"Fourth interior scholion, 181v, Iliad 14","urn:cite:hmt:vaimg.VA181VN_0683@0.86477524,0.46666667,0.06448047,0.03416321",urn:cite:hmt:msA.181v
urn:cts:greekLit:tlg5026.msAint.hmt:14.E5,"Fifth interior scholion, 181v, Iliad 14","urn:cite:hmt:vaimg.VA181VN_0683@0.87877671,0.57579530,0.06116433,0.03319502",urn:cite:hmt:msA.181v
urn:cts:greekLit:tlg5026.msAint.hmt:14.E6,"First interior scholion, 182r, Iliad 14","urn:cite:hmt:vaimg.VA182RN_0183@0.08585114,0.46334716,0.06687546,0.03969571",urn:cite:hmt:msA.182r
urn:cts:greekLit:tlg5026.msAint.hmt:14.E7,"Second interior scholion, 182r, Iliad 14","urn:cite:hmt:vaimg.VA182RN_0183@0.07958732,0.50318119,0.07682388,0.01479945",urn:cite:hmt:msA.182r
urn:cts:greekLit:tlg5026.msAint.hmt:14.E8,"Third interior scholion, 182r, Iliad 14","urn:cite:hmt:vaimg.VA182RN_0183@0.09543110,0.63637621,0.05268976,0.01051176",urn:cite:hmt:msA.182r
urn:cts:greekLit:tlg5026.msAint.hmt:14.E9,"First interior scholion, 182v, Iliad 14","urn:cite:hmt:vaimg.VA182VN_0684@0.90198968,0.41120332,0.03960943,0.01784232",urn:cite:hmt:msA.182v
urn:cts:greekLit:tlg5026.msAint.hmt:14.E10,"Second interior scholion, 182v, Iliad 14","urn:cite:hmt:vaimg.VA182VN_0684@0.90954311,0.46556017,0.02929256,0.01562932",urn:cite:hmt:msA.182v
urn:cts:greekLit:tlg5026.msAint.hmt:14.E11,"Third interior scholion, 182v, Iliad 14","urn:cite:hmt:vaimg.VA182VN_0684@0.92815033,0.55836791,0.02394989,0.01175657",urn:cite:hmt:msA.182v
urn:cts:greekLit:tlg5026.msAint.hmt:14.E12,"Fourth interior scholion, 182v, Iliad 14","urn:cite:hmt:vaimg.VA182VN_0684@0.90475313,0.67081604,0.03224024,0.02074689",urn:cite:hmt:msA.182v
urn:cts:greekLit:tlg5026.msAint.hmt:14.G1,"First Interior Scholion of 183r","urn:cite:hmt:vaimg.VA183RN_0184@0.09064112,0.24094053,0.06337509,0.04094053",urn:cite:hmt:msA.183r
urn:cts:greekLit:tlg5026.msAint.hmt:14.G2,"Second Interior Scholion of 183r","urn:cite:hmt:vaimg.VA183RN_0184@0.09579956,0.35159059,0.04568902,0.04315353",urn:cite:hmt:msA.183r
urn:cts:greekLit:tlg5026.msAint.hmt:14.G3,"Third Interior Scholion of 183r","urn:cite:hmt:vaimg.VA183RN_0184@0.07811349,0.62323651,0.06779661,0.06749654",urn:cite:hmt:msA.183r
urn:cts:greekLit:tlg5026.msAint.hmt:14.G4,"First Interior Scholion of 183v","urn:cite:hmt:vaimg.VA183VN_0685@0.84856301,0.23817427,0.07516581,0.05560166",urn:cite:hmt:msA.183v
urn:cts:greekLit:tlg5026.msAint.hmt:14.C1,"First interior scholion of 184r","urn:cite:hmt:vaimg.VA184RN_0185@0.19123066,0.41300138,0.14259396,0.08464730",urn:cite:hmt:msA.184r
urn:cts:greekLit:tlg5026.msAint.hmt:14.C2,"Second interior scholion of 184r","urn:cite:hmt:vaimg.VA184RN_0185@0.08843036,0.33637621,0.07571850,0.04605809",urn:cite:hmt:msA.184r
