"urn:cite:hmt:e4img.E4023v-223","Manuscript Escorialensis Ω 1.12, folio 23 verso","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4024r-528","Manuscript Escorialensis Ω 1.12, folio 24 recto","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4024v-222","Manuscript Escorialensis Ω 1.12, folio 24 verso","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4025r-527","Manuscript Escorialensis Ω 1.12, folio 25 recto","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4025v-221","Manuscript Escorialensis Ω 1.12, folio 25 verso","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4026r-526","Manuscript Escorialensis Ω 1.12, folio 26 recto","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4026v-220","Manuscript Escorialensis Ω 1.12, folio 26 verso","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4027r-525","Manuscript Escorialensis Ω 1.12, folio 27 recto","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4027v-219","Manuscript Escorialensis Ω 1.12, folio 27 verso","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4028r-524","Manuscript Escorialensis Ω 1.12, folio 28 recto","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4028v-218","Manuscript Escorialensis Ω 1.12, folio 28 verso","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4029r-523","Manuscript Escorialensis Ω 1.12, folio 29 recto","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4029v-217","Manuscript Escorialensis Ω 1.12, folio 29 verso","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4030r-522","Manuscript Escorialensis Ω 1.12, folio 30 recto","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4030v-216","Manuscript Escorialensis Ω 1.12, folio 30 verso","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4031r-521","Manuscript Escorialensis Ω 1.12, folio 31 recto","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
"urn:cite:hmt:e4img.E4031v-215","Manuscript Escorialensis Ω 1.12, folio 31 verso","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported bLicense"
