"urn:cite:hmt:scholia.44","urn:cts:greekLit:tlg5026.msA.hmt:8.81","Main scholion 43","urn:cite:hmt:chsimg.VA102VN-0605@0.1843,0.3051,0.226,0.0586","urn:cite:hmt:msA.102v"
"urn:cite:hmt:scholia.45","urn:cts:greekLit:tlg5026.msA.hmt:8.82","Main scholion 44","urn:cite:hmt:chsimg.VA102VN-0605@0.1829,0.3536,0.2394,0.0635","urn:cite:hmt:msA.102v"
"urn:cite:hmt:scholia.46","urn:cts:greekLit:tlg5026.msA.hmt:8.83","Main scholion 45","urn:cite:hmt:chsimg.VA102VN-0605@0.1874,0.4096,0.2391,0.1281","urn:cite:hmt:msA.102v"
"urn:cite:hmt:scholia.47","urn:cts:greekLit:tlg5026.msA.hmt:8.84","Main scholion 46","urn:cite:hmt:chsimg.VA102VN-0605@0.1963,0.5128,0.2423,0.08","urn:cite:hmt:msA.102v"
"urn:cite:hmt:scholia.48","urn:cts:greekLit:tlg5026.msA.hmt:8.85","Main scholion 47","urn:cite:hmt:chsimg.VA102VN-0605@0.1954,0.5816,0.2429,0.1437","urn:cite:hmt:msA.102v"
"urn:cite:hmt:scholia.49","urn:cts:greekLit:tlg5026.msA.hmt:8.86","Main scholion 48","urn:cite:hmt:chsimg.VA102VN-0605@0.1897,0.7124,0.4833,0.0568","urn:cite:hmt:msA.102v"
"urn:cite:hmt:scholia.50","urn:cts:greekLit:tlg5026.msA.hmt:8.9000","Main Scholion","urn:cite:hmt:chsimg.VA102VN-0605@0.1943,0.7362,0.6883,0.0693","urn:cite:hmt:msA.102v"
"urn:cite:hmt:scholia.51","urn:cts:greekLit:tlg5026.msA.hmt:8.87","Main scholion 49","urn:cite:hmt:chsimg.VA102VN-0605@0.1991,0.776,0.6737,0.0466","urn:cite:hmt:msA.102v"
"urn:cite:hmt:scholia.52","urn:cts:greekLit:tlg5026.msA.hmt:8.88","Main scholion 50","urn:cite:hmt:chsimg.VA102VN-0605@0.194,0.7921,0.6834,0.0817","urn:cite:hmt:msA.102v"
"urn:cite:hmt:scholia.53","urn:cts:greekLit:tlg5026.msA.hmt:8.101","Main scholion 51","urn:cite:hmt:chsimg.VA103RN-0104@0.6163,0.4104,0.2057,0.0839","urn:cite:hmt:msA.103r"
