Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:2.67,"urn:cite:hmt:vaimg.VA025VN-0527@0.4855,0.3333,0.3694,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:2.68,"urn:cite:hmt:vaimg.VA025VN-0527@0.4915,0.3521,0.3694,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:2.69,"urn:cite:hmt:vaimg.VA025VN-0527@0.4855,0.3716,0.3694,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:2.70,"urn:cite:hmt:vaimg.VA025VN-0527@0.4865,0.3889,0.3664,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:2.71,"urn:cite:hmt:vaimg.VA025VN-0527@0.4855,0.4084,0.3684,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:2.72,"urn:cite:hmt:vaimg.VA025VN-0527@0.4885,0.4257,0.3684,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.73,"urn:cite:hmt:vaimg.VA025VN-0527@0.4855,0.4467,0.3684,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:2.74,"urn:cite:hmt:vaimg.VA025VN-0527@0.4845,0.4647,0.3684,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:2.75,"urn:cite:hmt:vaimg.VA025VN-0527@0.4865,0.4857,0.3604,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:2.76,"urn:cite:hmt:vaimg.VA025VN-0527@0.4905,0.503,0.3594,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:2.77,"urn:cite:hmt:vaimg.VA025VN-0527@0.4845,0.5225,0.3594,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:2.78,"urn:cite:hmt:vaimg.VA025VN-0527@0.4865,0.542,0.3564,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:2.79,"urn:cite:hmt:vaimg.VA025VN-0527@0.4855,0.5601,0.3564,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:2.80,"urn:cite:hmt:vaimg.VA025VN-0527@0.4905,0.5773,0.3594,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:2.81,"urn:cite:hmt:vaimg.VA025VN-0527@0.4925,0.5968,0.3594,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:2.82,"urn:cite:hmt:vaimg.VA025VN-0527@0.4925,0.6141,0.3644,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:2.83,"urn:cite:hmt:vaimg.VA025VN-0527@0.4835,0.6336,0.3774,0.0315"
urn:cts:greekLit:tlg0012.tlg001.msA:2.84,"urn:cite:hmt:vaimg.VA025VN-0527@0.4835,0.6532,0.3704,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:2.85,"urn:cite:hmt:vaimg.VA025VN-0527@0.4835,0.6719,0.3704,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:2.86,"urn:cite:hmt:vaimg.VA026RN-0027@0.17,0.2059,0.331,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:2.87,"urn:cite:hmt:vaimg.VA026RN-0027@0.171,0.2246,0.33,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:2.88,"urn:cite:hmt:vaimg.VA026RN-0027@0.168,0.2457,0.376,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:2.88,"urn:cite:hmt:vaimg.VA026RN-0027@0.167,0.263,0.354,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:2.90,"urn:cite:hmt:vaimg.VA026RN-0027@0.168,0.2802,0.363,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.91,"urn:cite:hmt:vaimg.VA026RN-0027@0.17,0.3013,0.368,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:2.92,"urn:cite:hmt:vaimg.VA026RN-0027@0.167,0.3208,0.364,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:2.93,"urn:cite:hmt:vaimg.VA026RN-0027@0.165,0.3396,0.375,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:2.94,"urn:cite:hmt:vaimg.VA026RN-0027@0.161,0.3591,0.365,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:2.95,"urn:cite:hmt:vaimg.VA026RN-0027@0.161,0.3772,0.365,0.0255"
