TextURN,ImageURN
urn:cts:greekLit:tlg0012.tlg001.msA:8.206,"urn:cite:hmt:vaimg.VA104VN-0607@0.4484,0.4838,0.4294,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:8.207,"urn:cite:hmt:vaimg.VA104VN-0607@0.4454,0.5004,0.4474,0.0383"
urn:cts:greekLit:tlg0012.tlg001.msA:8.208,"urn:cite:hmt:vaimg.VA104VN-0607@0.4565,0.5199,0.4424,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:8.209,"urn:cite:hmt:vaimg.VA104VN-0607@0.4505,0.5424,0.3714,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.210,"urn:cite:hmt:vaimg.VA104VN-0607@0.4615,0.5597,0.3984,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.211,"urn:cite:hmt:vaimg.VA104VN-0607@0.4635,0.5808,0.4064,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.212,"urn:cite:hmt:vaimg.VA104VN-0607@0.4575,0.5995,0.3934,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:8.213,"urn:cite:hmt:vaimg.VA104VN-0607@0.4635,0.6183,0.3864,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:8.214,"urn:cite:hmt:vaimg.VA104VN-0607@0.4595,0.6386,0.4094,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:8.215,"urn:cite:hmt:vaimg.VA104VN-0607@0.4665,0.6559,0.3794,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:8.216,"urn:cite:hmt:vaimg.VA104VN-0607@0.4655,0.6754,0.3974,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.217,"urn:cite:hmt:vaimg.VA104VN-0607@0.4665,0.6935,0.3984,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.218,
urn:cts:greekLit:tlg0012.tlg001.msA:8.219,
urn:cts:greekLit:tlg0012.tlg001.msA:8.220,
urn:cts:greekLit:tlg0012.tlg001.msA:8.221,
urn:cts:greekLit:tlg0012.tlg001.msA:8.222,
urn:cts:greekLit:tlg0012.tlg001.msA:8.223,
urn:cts:greekLit:tlg0012.tlg001.msA:8.227,
urn:cts:greekLit:tlg0012.tlg001.msA:8.228,
urn:cts:greekLit:tlg0012.tlg001.msA:8.229,
urn:cts:greekLit:tlg0012.tlg001.msA:8.230,
urn:cts:greekLit:tlg0012.tlg001.msA:8.231,
