Siglum	Sequence	URN	RV	Label	CodexURN
msB	104	urn:cite:hmt:msB.52v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 52v	urn:cite:hmt:codex.msB
msB	83	urn:cite:hmt:msB.42r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 42r	urn:cite:hmt:codex.msB
msB	30	urn:cite:hmt:msB.15v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 15v	urn:cite:hmt:codex.msB
msB	350	urn:cite:hmt:msB.175v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 175v	urn:cite:hmt:codex.msB
msB	657	urn:cite:hmt:msB.329r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 329r	urn:cite:hmt:codex.msB
msB	254	urn:cite:hmt:msB.127v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 127v	urn:cite:hmt:codex.msB
msB	530	urn:cite:hmt:msB.265v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 265v	urn:cite:hmt:codex.msB
msB	274	urn:cite:hmt:msB.137v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 137v	urn:cite:hmt:codex.msB
msB	131	urn:cite:hmt:msB.66r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 66r	urn:cite:hmt:codex.msB
msB	393	urn:cite:hmt:msB.197r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 197r	urn:cite:hmt:codex.msB
msB	290	urn:cite:hmt:msB.145v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 145v	urn:cite:hmt:codex.msB
msB	377	urn:cite:hmt:msB.189r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 189r	urn:cite:hmt:codex.msB
msB	671	urn:cite:hmt:msB.336r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 336r	urn:cite:hmt:codex.msB
msB	242	urn:cite:hmt:msB.121v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 121v	urn:cite:hmt:codex.msB
msB	225	urn:cite:hmt:msB.113r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 113r	urn:cite:hmt:codex.msB
msB	7	urn:cite:hmt:msB.4r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 4r	urn:cite:hmt:codex.msB
msB	167	urn:cite:hmt:msB.84r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 84r	urn:cite:hmt:codex.msB
msB	157	urn:cite:hmt:msB.79r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 79r	urn:cite:hmt:codex.msB
msB	596	urn:cite:hmt:msB.298v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 298v	urn:cite:hmt:codex.msB
msB	618	urn:cite:hmt:msB.309v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 309v	urn:cite:hmt:codex.msB
msB	150	urn:cite:hmt:msB.75v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 75v	urn:cite:hmt:codex.msB
msB	435	urn:cite:hmt:msB.218r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 218r	urn:cite:hmt:codex.msB
msB	280	urn:cite:hmt:msB.140v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 140v	urn:cite:hmt:codex.msB
msB	567	urn:cite:hmt:msB.284r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 284r	urn:cite:hmt:codex.msB
msB	238	urn:cite:hmt:msB.119v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 119v	urn:cite:hmt:codex.msB
msB	152	urn:cite:hmt:msB.76v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 76v	urn:cite:hmt:codex.msB
