Passage	Description	ImageReference	Folio
urn:cts:greekLit:tlg0012.tlg001.msA:13.242	lightning simile	urn:cite:hmt:chsimg.VA168VN-0670@0.15991157,0.44951591,0.03463522,0.02627939	urn:cite:hmt:msA.168v
urn:cts:greekLit:tlg0012.tlg001.msA:13.298	Ares and rout simile	urn:cite:hmt:chsimg.VA169VN-0671@0.16875461,0.53858921,0.03537214,0.02047026	urn:cite:hmt:msA.169v
urn:cts:greekLit:tlg0012.tlg001.msA:13.334	wind and dust simile	urn:cite:hmt:chsimg.VA170VN-0672@0.16985999,0.26002766,0.03868828,0.02323651	urn:cite:hmt:msA.170v
urn:cts:greekLit:tlg0012.tlg001.msA:13.389	falling tree simile	urn:cite:hmt:chsimg.VA171VN-0673@0.15659543,0.36486860,0.02026529,0.02130014	urn:cite:hmt:msA.171v
urn:cts:greekLit:tlg0012.tlg001.msA:13.471	boar simile	urn:cite:hmt:chsimg.VA173RN-0344@0.83824613,0.47496542,0.02800295,0.01881051	urn:cite:hmt:msA.173r
urn:cts:greekLit:tlg0012.tlg001.msA:13.492	sheep simile	urn:cite:hmt:chsimg.VA173VN-0675@0.16764923,0.41936376,0.02800295,0.02351314	urn:cite:hmt:msA.173v
urn:cts:greekLit:tlg0012.tlg001.msA:13.571	bull simile	urn:cite:hmt:chsimg.VA175RN-0346@0.82498158,0.47662517,0.03279293,0.02074689	urn:cite:hmt:msA.175r
urn:cts:greekLit:tlg0012.tlg001.msA:13.588	shovel simile	urn:cite:hmt:chsimg.VA175VN-0677@0.17428150,0.27883817,0.02726603,0.02102351	urn:cite:hmt:msA.175v
urn:cts:greekLit:tlg0012.tlg001.msA:13.703	oxen and plow simile	urn:cite:hmt:chsimg.VA177VN-0679@0.16985999,0.54218534,0.02800295,0.02240664	urn:cite:hmt:msA.177v
urn:cts:greekLit:tlg0012.tlg001.msA:13.795	wind simile	urn:cite:hmt:chsimg.VA179VN-0681@0.17759764,0.32614108,0.03021371,0.02461964	urn:cite:hmt:msA.179v
urn:cts:greekLit:tlg0012.tlg001.msA:14.16	wave simile	urn:cite:hmt:chsimg.VA180VN-0682@0.17980840,0.53665284,0.03426676,0.02876902	urn:cite:hmt:msA.180v
urn:cts:greekLit:tlg0012.tlg001.msA:14.414	lightning-struck tree simile	urn:cite:hmt:chsimg.VA188VN-0690@0.18091378,0.41853389,0.02173913,0.01991701	urn:cite:hmt:msA.188v
urn:cts:greekLit:tlg0012.tlg001.msA:15.80	traveller simile	urn:cite:hmt:chsimg.VA192VN-0694@0.15733235,0.32199170,0.02579219,0.02213001	urn:cite:hmt:msA.192v
urn:cts:greekLit:tlg0012.tlg001.msA:15.170	snow simile	urn:cite:hmt:chsimg.VA194RN-0365@0.83419307,0.58506224,0.02358143,0.02461964	urn:cite:hmt:msA.194r
urn:cts:greekLit:tlg0012.tlg001.msA:15.237	falcon simile	urn:cite:hmt:chsimg.VA195VN-0697@0.17170228,0.44508990,0.03316139,0.02932227	urn:cite:hmt:msA.195v
