Lemma	Gloss	LexURN
ἑός	his, her own	urn:cite:perseusGreek:lexentity.lex112881.1
πῶς	how?	urn:cite:perseusGreek:lexentity.lex64230.1
πέρ	however	urn:cite:perseusGreek:lexentity.lex50333.1
ἀάω	hurt, damage	urn:cite:perseusGreek:lexentity.lex82922.1
ἄρα	i[rtilde]	urn:cite:perseusGreek:lexentity.lex99094.1
ἐάν	if haply, if	urn:cite:perseusGreek:lexentity.lex101903.1
πως	in any way, at all, by any means	urn:cite:perseusGreek:lexentity.lex64002.1
ἵνα	in that place, there	urn:cite:perseusGreek:lexentity.lex117789.1
ὧδε	in this wise, thus	urn:cite:perseusGreek:lexentity.lex126563.1
μάψ	in vain, idly, fruitlessly	urn:cite:perseusGreek:lexentity.lex41841.1
μέν	indeed, of a truth	urn:cite:perseusGreek:lexentity.lex41907.1
εἰς	into	urn:cite:perseusGreek:lexentity.lex24000.1
ἄγω	lead, carry, fetch, bring	urn:cite:perseusGreek:lexentity.lex98290.1
δάω	learn	urn:cite:perseusGreek:lexentity.lex17378.1
ζώω	live	urn:cite:perseusGreek:lexentity.lex27126.1
ζωή	living	urn:cite:perseusGreek:lexentity.lex26965.1
λύω	loosen	urn:cite:perseusGreek:lexentity.lex41619.1
βοή	loud cry, shout	urn:cite:perseusGreek:lexentity.lex14273.1
φώς	man	urn:cite:perseusGreek:lexentity.lex79673.1
μνᾶ	mina	urn:cite:perseusGreek:lexentity.lex45462.1
ἀήρ	mist, haze	urn:cite:perseusGreek:lexentity.lex82957.1
σής	moth	urn:cite:perseusGreek:lexentity.lex64393.1
μῦς	mouse or rat	urn:cite:perseusGreek:lexentity.lex46882.1
νύξ	night	urn:cite:perseusGreek:lexentity.lex48605.1
ῥίς	nose or snout	urn:cite:perseusGreek:lexentity.lex126799.1
ἀνά	on board	urn:cite:perseusGreek:lexentity.lex87339.1
εἷς	one	urn:cite:perseusGreek:lexentity.lex24378.1
ὀπή	opening, hole	urn:cite:perseusGreek:lexentity.lex119594.1
ἔξω	out or out of	urn:cite:perseusGreek:lexentity.lex113677.1
ῥόα	pomegranate-tree, Punica Granatum	urn:cite:perseusGreek:lexentity.lex127502.1
ἀρά	prayer	urn:cite:perseusGreek:lexentity.lex94731.1
ὀχή	prop, support	urn:cite:perseusGreek:lexentity.lex120626.1
δίω	put to flight	urn:cite:perseusGreek:lexentity.lex17734.1
ὦκα	quickly, swiftly	urn:cite:perseusGreek:lexentity.lex126554.1
ῥοή	river, stream	urn:cite:perseusGreek:lexentity.lex127204.1
ἁλή	salt-works	urn:cite:perseusGreek:lexentity.lex97660.1
ἠμί	say	urn:cite:perseusGreek:lexentity.lex114804.1
ξύω	scratch, scrape	urn:cite:perseusGreek:lexentity.lex49102.1
κέω	see “κείω”	urn:cite:perseusGreek:lexentity.lex29578.1
ὄις	sheep	urn:cite:perseusGreek:lexentity.lex121741.1
σοῦ	shoo! shoo!	urn:cite:perseusGreek:lexentity.lex66858.1
ἄμη	shovel	urn:cite:perseusGreek:lexentity.lex98687.1
ἵζω	si-sd-ō	urn:cite:perseusGreek:lexentity.lex117777.1
ἦκα	slightly, a little	urn:cite:perseusGreek:lexentity.lex115743.1
ὄζω	smell	urn:cite:perseusGreek:lexentity.lex121733.1
τώς	so, in this wise	urn:cite:perseusGreek:lexentity.lex76711.1
ποι	somewhither	urn:cite:perseusGreek:lexentity.lex57293.1
ἠχή	sound, noise	urn:cite:perseusGreek:lexentity.lex114920.1
ἐάω	suffer, permit	urn:cite:perseusGreek:lexentity.lex101906.1
χρή	sum	urn:cite:perseusGreek:lexentity.lex81342.1
θήν	surely now	urn:cite:perseusGreek:lexentity.lex27313.1
φήρ	the Centaurs	urn:cite:perseusGreek:lexentity.lex76878.1
κήρ	the goddess of death or doom	urn:cite:perseusGreek:lexentity.lex29603.1
δεῖ	there is need	urn:cite:perseusGreek:lexentity.lex18640.1
ὅδε	this	urn:cite:perseusGreek:lexentity.lex121975.1
διά	through; throughout; thoroughly	urn:cite:perseusGreek:lexentity.lex18824.1
χόω	throw or heap up	urn:cite:perseusGreek:lexentity.lex82039.1
σός	thy, thine (also possessive pronoun)	urn:cite:perseusGreek:lexentity.lex72419.1
ἔθω	to be accustomed, to be wont	urn:cite:perseusGreek:lexentity.lex112999.1
ἥκω	to have come, be present	urn:cite:perseusGreek:lexentity.lex115721.1
ζάω	to live	urn:cite:perseusGreek:lexentity.lex26673.1
δύο	two	urn:cite:perseusGreek:lexentity.lex23455.1
ἕως	until, till	urn:cite:perseusGreek:lexentity.lex114016.1
ἐρῶ	verbum	urn:cite:perseusGreek:lexentity.lex111311.1
γύψ	vulture	urn:cite:perseusGreek:lexentity.lex17285.1
ὑφή	web	urn:cite:perseusGreek:lexentity.lex125628.1
ἧχι	where	urn:cite:perseusGreek:lexentity.lex115773.1
ὅθι	where	urn:cite:perseusGreek:lexentity.lex121982.1
ποῦ	where?	urn:cite:perseusGreek:lexentity.lex59029.1
διό	wherefore, on which account	urn:cite:perseusGreek:lexentity.lex21540.1
τίς	who? which?	urn:cite:perseusGreek:lexentity.lex73027.1
τίη	why? wherefore?	urn:cite:perseusGreek:lexentity.lex73001.1
ὄαρ	wife	urn:cite:perseusGreek:lexentity.lex121705.1
χήν	wild goose, Anser cinereus	urn:cite:perseusGreek:lexentity.lex79799.1
λάξ	with the foot	urn:cite:perseusGreek:lexentity.lex38837.1
σύν	with.	urn:cite:perseusGreek:lexentity.lex72604.1
ναί	yea, verily	urn:cite:perseusGreek:lexentity.lex47059.1
ἔτι	yet, still	urn:cite:perseusGreek:lexentity.lex113847.1
ἥβη	youthful prime, youth	urn:cite:perseusGreek:lexentity.lex115711.1
ἦτα	Η, η, ἦτα, τό, indecl., seventh letter of the Gr. alphabet; as numeral η# ῀ ὀκτώ and ὄγδοος, but #22η ῀ 8000. The uncial form of Eta ( Ἠ was a double ε and prob. it was pronounced as a long ε, cf. δῆλος (from δέελοσ̓. The old Alphabet had only one sign ( Ἐ for the ε sound, till the long vowels η and ω were introduced from the Samian Alphabet in the archonship of Euclides, B. C. 403. The sign H, before it was taken to represent the double ε, was used for the spiritus asper, as ΗΟΣ for ὅς, (which remains in the Latin H). When H was taken to represent long e, it was at the same time cut in two, so that †ι† represented the spir.asper, †ο† the spir. lenis; whence came the present signs for the breathings. As to dialectic changes	urn:cite:perseusGreek:lexentity.lex115756.1
ξέω	—shave or plane	urn:cite:perseusGreek:lexentity.lex48682.1
ἰός1	@	urn:cite:perseusGreek:lexentity.lex116972.1
δέω1	@	urn:cite:perseusGreek:lexentity.lex17459.1
θύω1	@	urn:cite:perseusGreek:lexentity.lex29125.1
νέω1	@	urn:cite:perseusGreek:lexentity.lex46977.1
ἀίω1	@	urn:cite:perseusGreek:lexentity.lex82979.1
ἄνω1	@	urn:cite:perseusGreek:lexentity.lex98931.1
ὅτι1	for what, wherefore	urn:cite:perseusGreek:lexentity.lex122059.1
λάω1	to behold, look upon	urn:cite:perseusGreek:lexentity.lex38893.1
ἰός2	@	urn:cite:perseusGreek:lexentity.lex116973.1
αὔω2	@	urn:cite:perseusGreek:lexentity.lex13035.1
δέω2	@	urn:cite:perseusGreek:lexentity.lex17460.1
δύω2	@	urn:cite:perseusGreek:lexentity.lex23641.1
θύω2	@	urn:cite:perseusGreek:lexentity.lex29126.1
λάω2	@	urn:cite:perseusGreek:lexentity.lex38894.1
νέω2	@	urn:cite:perseusGreek:lexentity.lex46978.1
ἄνω2	@	urn:cite:perseusGreek:lexentity.lex98932.1
πῶς2	how? in what way or manner?	urn:cite:perseusGreek:lexentity.lex64231.1
ὅτι2	that	urn:cite:perseusGreek:lexentity.lex122060.1
νέω3	@	urn:cite:perseusGreek:lexentity.lex46979.1
ἑψάω		urn:cite:perseusGreek:lexentity.lex112854.1
ἔται		urn:cite:perseusGreek:lexentity.lex113841.1
ἦρος		urn:cite:perseusGreek:lexentity.lex115754.1
ἰάζω		urn:cite:perseusGreek:lexentity.lex115967.1
ίδος		urn:cite:perseusGreek:lexentity.lex11598.1
ἰνάω		urn:cite:perseusGreek:lexentity.lex116332.1
