URN	Label	Description	Pleiades
urn:cite:hmt:place.place128	Phocis	on the Corinthian gulf	pleiades.stoa.org/places/541048
urn:cite:hmt:place.place129	Euripus	Euripos, straight between Euboea and the mainland	
urn:cite:hmt:place.place130	Arne	town in Boeotia	pleiades.stoa.org/places/540663
urn:cite:hmt:place.place131	Mycalessus	town in Boeotia	
urn:cite:hmt:place.place132	Samos	island in the eastern Aegean	pleiades.stoa.org/places/599925
urn:cite:hmt:place.place133	Graia	town in Boeotia	pleiades.stoa.org/places/540796
urn:cite:hmt:place.place134	Medeon	town in Boeotia	pleiades.stoa.org/places/540940
urn:cite:hmt:place.place135	Tanagra	town in Boeotia	pleiades.stoa.org/places/580114
urn:cite:hmt:place.place136	Cithaeron	Kithairon, mountain; in a scene in battle of Plataea	pleiades.stoa.org/places/540714
urn:cite:hmt:place.place137	Eleon	town in Boeotia	
urn:cite:hmt:place.place138	Hyle	town in Lydia	
urn:cite:hmt:place.place139	Mt. Tmolus	mountain in Lydia	pleiades.stoa.org/places/550937
urn:cite:hmt:place.place140	Haliartus	aka Aliartos, town in Boeotia	pleiades.stoa.org/places/540801
urn:cite:hmt:place.place141	Plataea	town in Boeotia	pleiades.stoa.org/places/541063
urn:cite:hmt:place.place142	Ogchestus	city in Boeotia	
urn:cite:hmt:place.place143	Chaeronea	town in Boeotia	pleiades.stoa.org/places/540701
urn:cite:hmt:place.place144	Leontari	town in Boeotia	
urn:cite:hmt:place.place145	Helicon	mountain in Boeotia	pleiades.stoa.org/places/540808
urn:cite:hmt:place.place146	Nisa	village on Mt. Helicon in Boeotia	
urn:cite:hmt:place.place147	Anthedon	town in Boeotia on the Euripus	pleiades.stoa.org/places/540639
urn:cite:hmt:place.place148	Orchomenus	ancient city on Lake Copais in Boeotia	pleiades.stoa.org/places/540987
urn:cite:hmt:place.place149	Hyampolis	town in Phocis, on the Cephissus	pleiades.stoa.org/places/540820
urn:cite:hmt:place.place150	Locris Ozolia	home of the Ozolae, tribe of Locrians	pleiades.stoa.org/places/540919
urn:cite:hmt:place.place151	Lilaia	town in Phocis	pleiades.stoa.org/places/540915
urn:cite:hmt:place.place152	Cephissus	river in Phocis	pleiades.stoa.org/places/540860
urn:cite:hmt:place.place153	Syria	country	pleiades.stoa.org/places/1306
urn:cite:hmt:place.place154	Abantes	Abantians; ancient Ionian tribe that lived on Euboea, according to Aristotle of Chalcis, they may have originated from Abae near Phocis	pleiades.stoa.org/places/540583
urn:cite:hmt:place.place155	Eretria	city on western coast of Euboea	pleiades.stoa.org/places/579925
urn:cite:hmt:place.place156	Oreus	town in northern Euboea	pleiades.stoa.org/places/540988
urn:cite:hmt:place.place157	Curetes	oldest inhabitants of Pleuron in Aetolia	pleiades.stoa.org/places/543757
urn:cite:hmt:place.place158	Chalcis	town in Aetolia	pleiades.stoa.org/places/540703
urn:cite:hmt:place.place159	Arethousa	fount in Ithaca	
urn:cite:hmt:place.place160	Troezen	a town in Argolis, near the shore of the Saronic gulf	pleiades.stoa.org/places/570756
urn:cite:hmt:place.place161	Calauria	Kalaureia, an island close to the coast of Troezen in the Peloponnesus	pleiades.stoa.org/places/570325
urn:cite:hmt:place.place162	Epidarus	sanctuary to Ascleipius in the Peloponnese	pleiades.stoa.org/places/570228
urn:cite:hmt:place.place163	Mases	a town in Argolis, near Hermione	pleiades.stoa.org/places/570463
urn:cite:hmt:place.place164	Scheria	island, inhabited by the Phaecians	
urn:cite:hmt:place.place165	Corinth	(old name is Ephyra)	pleiades.stoa.org/places/570182
urn:cite:hmt:place.place166	Arene	town subject to Nestor	
urn:cite:hmt:place.place167	Amyclae	a city in Laconia, near the Eurotas, 20 stadia S.E. of Sparta, and the residence of Tyndareus	pleiades.stoa.org/places/438675
urn:cite:hmt:place.place168	Mt. Taygetos	in Sparta	pleiades.stoa.org/places/570706
urn:cite:hmt:place.place169	Parthenius	a river in Paphlagonia	pleiades.stoa.org/places/845036
urn:cite:hmt:place.place170	Aonia	district in Boeotia	
urn:cite:hmt:place.place171	Iolcus	city in Thessaly	pleiades.stoa.org/places/540837
urn:cite:hmt:place.place172	Pelasgians	indigineous population of Greece	
urn:cite:hmt:place.place173	Delphi		pleiades.stoa.org/places/540726
urn:cite:hmt:place.place174	Pherae	a city in Thessaly	pleiades.stoa.org/places/541044
urn:cite:hmt:place.place175	Triphylia	area in the Peloponnese, "country of three tribes"	pleiades.stoa.org/places/570754
urn:cite:hmt:place.place176	Alpheius	river in Arcadia and Elis	pleiades.stoa.org/places/570067
urn:cite:hmt:place.place177	Aepu	town subject to Nestor	
urn:cite:hmt:place.place178	Hyria	in Boeotia	pleiades.stoa.org/places/540830
urn:cite:hmt:place.place179	Schoenus	in Boeotia	
urn:cite:hmt:place.place180	Scholus	in Boeotia	pleiades.stoa.org/places/541106
urn:cite:hmt:place.place181	Eteonus	in Boeotia	pleiades.stoa.org/places/543704
urn:cite:hmt:place.place182	Thespia	in Boeotia	pleiades.stoa.org/places/541141
urn:cite:hmt:place.place183	Copae	in Boeotia	pleiades.stoa.org/places/540878
urn:cite:hmt:place.place184	Eutresis	in Boeotia	pleiades.stoa.org/places/540787
urn:cite:hmt:place.place185	Messene	or Messe, city in the Peloponnese	pleiades.stoa.org/places/570479
urn:cite:hmt:place.place186	Ascra	in Boeotia, hometown of Hesiod	pleiades.stoa.org/places/540670
urn:cite:hmt:place.place187	Bouprosion	an ancient town of Elis	
urn:cite:hmt:place.place188	Bessa	or Besa, in Locris	pleiades.stoa.org/places/543653
urn:cite:hmt:place.place189	Echinades	group of islands in the Ionian Sea	pleiades.stoa.org/places/530852
urn:cite:hmt:place.place190	Dulichium	or Dolicha, or Doliche, island in the Echinades	pleiades.stoa.org/places/530845
urn:cite:hmt:place.place191	Cephalonia	largest Ionian island	pleiades.stoa.org/places/530826
urn:cite:hmt:place.place192	Cyparissus	in Phocis	
urn:cite:hmt:place.place193	Pytho	more recent name for Crisa	pleiades.stoa.org/places/540726
urn:cite:hmt:place.place194	Crisa	aka Krisa, near the Delphic oracle	pleiades.stoa.org/places/540889
urn:cite:hmt:place.place195	Daulis	city in Phocis	pleiades.stoa.org/places/540723
urn:cite:hmt:place.place196	Lycastus	town in Southern Crete	
urn:cite:hmt:place.place197	Panopeus	city in Phocis	pleiades.stoa.org/places/541008
urn:cite:hmt:place.place198	Anemoreia	town in Phocis	pleiades.stoa.org/places/543626
urn:cite:hmt:place.place199	Cynus	town in Locris	pleiades.stoa.org/places/540896
urn:cite:hmt:place.place200	Phylace	town in Thessaly	pleiades.stoa.org/places/541053
urn:cite:hmt:place.place201	Imbros	island off the coast of Thrace	pleiades.stoa.org/places/501439
urn:cite:hmt:place.place202	Ozonon river	in Aetolia	
urn:cite:hmt:place.place203	Euinus river	probably in Locris	
urn:cite:hmt:place.place204	Italy		pleiades.stoa.org/places/1052
urn:cite:hmt:place.place205	Titanus	mountain/town in Thessaly	pleiades.stoa.org/places/541150
urn:cite:hmt:place.place206	Orthe	town in Thessaly	pleiades.stoa.org/places/540992
urn:cite:hmt:place.place207	Elone	town in Thessaly	pleiades.stoa.org/places/540760
urn:cite:hmt:place.place208	Oloosson	town in Thessaly	
urn:cite:hmt:place.place209	Augeiae	lovely town in Laconia	
urn:cite:hmt:place.place210	Cyphus	town in Perrhaevia in Thessaly	pleiades.stoa.org/places/543761
urn:cite:hmt:place.place211	Meliboea	town in Magnesia	pleiades.stoa.org/places/543784
urn:cite:hmt:place.place212	Magnesia	region in North Eastern Greece	pleiades.stoa.org/places/540923
urn:cite:hmt:place.place213	Orneae	town in Argolis	pleiades.stoa.org/places/570537
urn:cite:hmt:place.place214	Araethyrea	in Corinth	pleiades.stoa.org/places/573109
urn:cite:hmt:place.place215	Pellene	city in Thrace	
urn:cite:hmt:place.place216	Pallene	town in Attica	pleiades.stoa.org/places/580051
urn:cite:hmt:place.place217	Batieia	height on the plain of Troy before the city	
urn:cite:hmt:place.place218	Sparta	madness.	
urn:cite:hmt:place.place219	Laas	or Las, in Laconia	
urn:cite:hmt:place.place220	Oetylus	in Laconia	
urn:cite:hmt:place.place221	Chersonese	peninsula of Thrace	
urn:cite:hmt:place.place222	Thryon	or Thryoessa, town in Elis	
urn:cite:hmt:place.place223	Maroneia	in Thrace	
urn:cite:hmt:place.place224	Europe		
urn:cite:hmt:place.place225	Helus		
urn:cite:hmt:place.place226	Asia		
urn:cite:hmt:place.place227	Veneto	region in Northern Italy inhabited by the Veneti (Latin Heneti, Greek Enetoi)	
urn:cite:hmt:place.place228	Eruthinoi	a place in Paphlagonia	
urn:cite:hmt:place.place229	Acragas	Agrigento, Sicily	
urn:cite:hmt:place.place230	Oechalia	in Thessaly	
urn:cite:hmt:place.place231	Phrygia		
urn:cite:hmt:place.place232	Sangarius	a river flowing through Bithynia and Phrygia, and emptying into the Euxine	
urn:cite:hmt:place.place233	Phthiron	A mountain in Asia Minor in Karia near the city of Miletos	
urn:cite:hmt:place.place234	Cyllene	mountain in Arcadia	
urn:cite:hmt:place.place235	Pheneus	town in Arcadia	
urn:cite:hmt:place.place236	Myrsinos	A village near Elis	
urn:cite:hmt:place.place237	Hyrmine	A port in northern Elis	
urn:cite:hmt:place.place238	Olenia		
urn:cite:hmt:place.place239	Aleision	town near Elis	
urn:cite:hmt:place.place			
urn:cite:hmt:place.place			
urn:cite:hmt:place.place			
