URN, CtsUrn, Comments, VisualEvidence, FolioUrn
"urn:cite:hmt:scholia.2925","urn:cts:greekLit:tlg5026.msA.hmt:3.286","","urn:cite:hmt:chsimg.VA045RN-0046@0.13061901,0.73526971,0.60851142,0.03443983","urn:cite:hmt:msA.45r"
"urn:cite:hmt:scholia.2926","urn:cts:greekLit:tlg5026.msA.hmt:3.249","","urn:cite:hmt:chsimg.VA045RN-0046@0.13227708,0.75726141,0.60408990,0.03734440","urn:cite:hmt:msA.45r"
"urn:cite:hmt:scholia.2927","urn:cts:greekLit:tlg5026.msA.hmt:3.253","","urn:cite:hmt:chsimg.VA045RN-0046@0.12177598,0.78464730,0.60353721,0.04813278","urn:cite:hmt:msA.45r"
"urn:cite:hmt:scholia.2928","urn:cts:greekLit:tlg5026.msA.hmt:3.289","","urn:cite:hmt:chsimg.VA045VN-0547@0.22015475,0.11784232,0.64554164,0.03485477","urn:cite:hmt:msA.45v"
"urn:cite:hmt:scholia.2929","urn:cts:greekLit:tlg5026.msA.hmt:3.290","","urn:cite:hmt:chsimg.VA045VN-0547@0.21462786,0.14190871,0.48139278,0.02116183","urn:cite:hmt:msA.45v"
"urn:cite:hmt:scholia.2930","urn:cts:greekLit:tlg5026.msA.hmt:3.711","","urn:cite:hmt:chsimg.VA045VN-0547@0.21683861,0.15228216,0.65327929,0.05726141","urn:cite:hmt:msA.45v"
"urn:cite:hmt:scholia.2931","urn:cts:greekLit:tlg5026.msA.hmt:3.296","","urn:cite:hmt:chsimg.VA045VN-0547@0.21131172,0.20000000,0.64664702,0.06721992","urn:cite:hmt:msA.45v"
"urn:cite:hmt:scholia.2932","urn:cts:greekLit:tlg5026.msA.hmt:3.303","","urn:cite:hmt:chsimg.VA045VN-0547@0.20578482,0.25726141,0.23489315,0.17966805","urn:cite:hmt:msA.45v"
"urn:cite:hmt:scholia.2933","urn:cts:greekLit:tlg5026.msA.hmt:3.305","","urn:cite:hmt:chsimg.VA045VN-0547@0.20965365,0.43278008,0.22715549,0.07219917","urn:cite:hmt:msA.45v"
"urn:cite:hmt:scholia.2934","urn:cts:greekLit:tlg5026.msA.hmt:3.297","","urn:cite:hmt:chsimg.VA045VN-0547@0.21739130,0.49917012,0.21886514,0.06224066","urn:cite:hmt:msA.45v"
"urn:cite:hmt:scholia.2935","urn:cts:greekLit:tlg5026.msA.hmt:3.314","","urn:cite:hmt:chsimg.VA045VN-0547@0.21407517,0.56348548,0.21997052,0.04398340","urn:cite:hmt:msA.45v"
"urn:cite:hmt:scholia.2936","urn:cts:greekLit:tlg5026.msA.hmt:3.316","","urn:cite:hmt:chsimg.VA045VN-0547@0.22402358,0.66929461,0.21554901,0.05560166","urn:cite:hmt:msA.45v"
"urn:cite:hmt:scholia.2937","urn:cts:greekLit:tlg5026.msA.hmt:3.317","","urn:cite:hmt:chsimg.VA045VN-0547@0.22623434,0.70788382,0.61845984,0.03941909","urn:cite:hmt:msA.45v"
"urn:cite:hmt:scholia.2938","urn:cts:greekLit:tlg5026.msA.hmt:3.318","","urn:cite:hmt:chsimg.VA045VN-0547@0.23452469,0.71950207,0.62564480,0.03734440","urn:cite:hmt:msA.45v"
"urn:cite:hmt:scholia.2939","urn:cts:greekLit:tlg5026.msA.hmt:3.315","","urn:cite:hmt:chsimg.VA045VN-0547@0.23341931,0.73153527,0.64112012,0.10497925","urn:cite:hmt:msA.45v"
"urn:cite:hmt:scholia.2940","urn:cts:greekLit:tlg5026.msA.hmt:3.324","","urn:cite:hmt:chsimg.VA046RN-0047@0.13190862,0.10539419,0.63080324,0.04370678","urn:cite:hmt:msA.46r"
"urn:cite:hmt:scholia.2941","urn:cts:greekLit:tlg5026.msA.hmt:3.332","","urn:cite:hmt:chsimg.VA046RN-0047@0.13411938,0.13471646,0.61827561,0.04647303","urn:cite:hmt:msA.46r"
"urn:cite:hmt:scholia.2942","urn:cts:greekLit:tlg5026.msA.hmt:3.334","","urn:cite:hmt:chsimg.VA046RN-0047@0.13780398,0.17012448,0.62269713,0.03872752","urn:cite:hmt:msA.46r"
"urn:cite:hmt:scholia.2943","urn:cts:greekLit:tlg5026.msA.hmt:3.337","","urn:cite:hmt:chsimg.VA046RN-0047@0.55563744,0.20885201,0.20486367,0.06583679","urn:cite:hmt:msA.46r"
"urn:cite:hmt:scholia.2944","urn:cts:greekLit:tlg5026.msA.hmt:3.330","","urn:cite:hmt:chsimg.VA046RN-0047@0.54900516,0.26860304,0.21960206,0.09792531","urn:cite:hmt:msA.46r"
"urn:cite:hmt:scholia.2945","urn:cts:greekLit:tlg5026.msA.hmt:3.341","","urn:cite:hmt:chsimg.VA046RN-0047@0.56448047,0.49875519,0.21002211,0.11120332","urn:cite:hmt:msA.46r"
"urn:cite:hmt:scholia.2946","urn:cts:greekLit:tlg5026.msA.hmt:3.344","","urn:cite:hmt:chsimg.VA046RN-0047@0.55121592,0.60663900,0.21075903,0.05034578","urn:cite:hmt:msA.46r"
"urn:cite:hmt:scholia.2947","urn:cts:greekLit:tlg5026.msA.hmt:3.345","","urn:cite:hmt:chsimg.VA046RN-0047@0.13117170,0.65200553,0.62785556,0.11839557","urn:cite:hmt:msA.46r"
"urn:cite:hmt:scholia.2948","urn:cts:greekLit:tlg5026.msA.hmt:3.347","","urn:cite:hmt:chsimg.VA046RN-0047@0.11938099,0.75878285,0.63375092,0.03540802","urn:cite:hmt:msA.46r"
