PersonUrn	Label	Description
urn:cite:hmt:pers.pers253	Astacus	father of Melanippus
urn:cite:hmt:pers.pers254	Amphiaraus	one of the seven against Thebes
urn:cite:hmt:pers.pers255	Pherecydes	a Greek mythographer, 5th c. BC
urn:cite:hmt:pers.pers256	Demosthenes	Attic orator
urn:cite:hmt:pers.pers257	Aethre	mother of Theseus
urn:cite:hmt:pers.pers258	Pittheus	son of Pelops, king of Troezen, father of Aethre
urn:cite:hmt:pers.pers259	Polydius	seer of Minos
urn:cite:hmt:pers.pers260	Oroandes	father of (a) Ptolemy
urn:cite:hmt:pers.pers261	Adonis	youth favored by Aphrodite
urn:cite:hmt:pers.pers262	Persephone	goddess of the Underworld
urn:cite:hmt:pers.pers263	Halius	a Lycian
urn:cite:hmt:pers.pers264	Hecate	goddess associated with magic and witchcraft
urn:cite:hmt:pers.pers265	Alcman	son of Amphiareus, one of the Epigonoi
urn:cite:hmt:pers.pers266	Stentor	herald of the Greek forces
urn:cite:hmt:pers.pers267	Periphas	Aetolian, son of Ochesius, slain by Ares
urn:cite:hmt:pers.pers268	Paean	physician of the gods
urn:cite:hmt:pers.pers269	Lycaon	father of Pandarus
urn:cite:hmt:pers.pers270	Sthenelus	son of Capanaeus
urn:cite:hmt:pers.pers271	Telemachus	son of Odysseus
urn:cite:hmt:pers.pers272	Pisistratus	youngest son of Nestor
urn:cite:hmt:pers.pers273	Anchises	father of Aeneas
urn:cite:hmt:pers.pers274	Clytius	brother of Priam
urn:cite:hmt:pers.pers275	Cteatus	son of Actor
urn:cite:hmt:pers.pers276	Podargus	one of Hector's horses
urn:cite:hmt:pers.pers277	Peteus	son of Orneus, father of Menestheus
urn:cite:hmt:pers.pers278	Aidos	goddess of shame, modesty, and humility
urn:cite:hmt:pers.pers279	Simonides	of Ceos, Greek lyric poet
urn:cite:hmt:pers.pers280	Theseus	mythical king of Athens
urn:cite:hmt:pers.pers281	Ajax	The lesser, son of Oileus
urn:cite:hmt:pers.pers282	Iris	personification a rainbow, messenger of the gods
urn:cite:hmt:pers.pers283	Epaphroditus	
urn:cite:hmt:pers.pers284	Penelope	Odysseus' wife
urn:cite:hmt:pers.pers285	Tlepolemus	Son of Hercules
urn:cite:hmt:pers.pers286	Eos	Aurora
urn:cite:hmt:pers.pers287	Idomeneus	Son of Deucalion and grandson of Minos
urn:cite:hmt:pers.pers288	Protesilaos	first Greek killed in the Trojan War
urn:cite:hmt:pers.pers289	Epeos	builder of the Trojan Horse
urn:cite:hmt:pers.pers290		
urn:cite:hmt:pers.pers291	Philoctetes	the son of King Poeas of Meliboea in Thessaly, marooned because of a snake bite
urn:cite:hmt:pers.pers292	Heraclids	sons of Heracles
urn:cite:hmt:pers.pers293	Hodius	Herald of the Greeks
urn:cite:hmt:pers.pers294	Eurybates	Herald of Odysseus
urn:cite:hmt:pers.pers295	Asphalion	Servant of Menelaus
urn:cite:hmt:pers.pers296	Thootes	Herald of Menestheus
urn:cite:hmt:pers.pers297	Io	Daughter of Inachus, rape victim of Zeus
urn:cite:hmt:pers.pers298	Myrtilus	charioteer of Oenomaus, who aids Pelops, but then curses him
urn:cite:hmt:pers.pers299	Pythagoras	Greek philosopher and mathematician
urn:cite:hmt:pers.pers300	Aristotle	Greek philosopher
urn:cite:hmt:pers.pers301	Epaphus	Son of Io
urn:cite:hmt:pers.pers302	Chrysippus	Son of Pelops
urn:cite:hmt:pers.pers303	Hellanicus	5th century logographer of Lesbos
urn:cite:hmt:pers.pers304	Niobi	Daughter of Tantalus
urn:cite:hmt:pers.pers305	Litai	Litae, spirits of prayer, daughters of Zeus
urn:cite:hmt:pers.pers306	Dionysidorus	Alexandrian grammarian, school of Aristarchus
urn:cite:hmt:pers.pers307	Ammonius	
urn:cite:hmt:pers.pers308	Ptolemy Epithetes	Grammarian
urn:cite:hmt:pers.pers309	Callistratus	Grammarian
urn:cite:hmt:pers.pers310	Thersites	common solider on the Greek side, ill-spoken rabble-rouser
urn:cite:hmt:pers.pers311	Xenophon	Athenian writer
urn:cite:hmt:pers.pers312	Meleager	son of Althea and Oeneus, host of the Calydonian boar hunt
urn:cite:hmt:pers.pers313	Agrius	father of Thersites
urn:cite:hmt:pers.pers314	Porthaon	king of Calydon, son of Oeneus
urn:cite:hmt:pers.pers315	Icarus	or Icarius, son of Daedalus
urn:cite:hmt:pers.pers316	Daedalus	mad scientist of ancient Greece
urn:cite:hmt:pers.pers317	Pasiphae	wife of King Minos
urn:cite:hmt:pers.pers318	Cocalus	King of Camicos in Sicily
urn:cite:hmt:pers.pers319	Philostephanus	of Cyrene, pupil of Callimachus
urn:cite:hmt:pers.pers320	Zephyrus	West wind
urn:cite:hmt:pers.pers321	Philemon	of Axione, grammarian who edited Homer and compiled the Attic Glosses
urn:cite:hmt:pers.pers322	Laertes	Father of Odysseus
urn:cite:hmt:pers.pers323	Sidonius	
urn:cite:hmt:pers.pers324	Conon	General in the Peloponnesian War, defeated at the battle of Aegospotami
urn:cite:hmt:pers.pers325	Hippocrates	ancient Greek physician
urn:cite:hmt:pers.pers326	Eupolis	Athenian Poet from the 5th century BC
urn:cite:hmt:pers.pers327	Oeneus	King of Calydon
urn:cite:hmt:pers.pers328	Dia	wife of Acreus, mother of Thersites
urn:cite:hmt:pers.pers329	Xenophenes	poet?
urn:cite:hmt:pers.pers330	Quintus Smyrnaeus	AKA Kointos Symrnaios, Greek epic poet who wrote the
urn:cite:hmt:pers.pers331	Penthesilea	Amazonian queen and warrior maiden
urn:cite:hmt:pers.pers332	Alexis	4th-3rd century BC poet of Athens
urn:cite:hmt:pers.pers333	Thucydides	The most awesome man who ever lived!
