Sequence,PageUrn,RV,Label
92,urn:cite:hmt:msA.46v,verso,"Venetus A (Marciana 454 = 822), folio 46, verso"
93,urn:cite:hmt:msA.47r,recto,"Venetus A (Marciana 454 = 822), folio 47, recto"
94,urn:cite:hmt:msA.47v,verso,"Venetus A (Marciana 454 = 822), folio 47, verso"
95,urn:cite:hmt:msA.48r,recto,"Venetus A (Marciana 454 = 822), folio 48, recto"
96,urn:cite:hmt:msA.48v,verso,"Venetus A (Marciana 454 = 822), folio 48, verso"
97,urn:cite:hmt:msA.49r,recto,"Venetus A (Marciana 454 = 822), folio 49, recto"
98,urn:cite:hmt:msA.49v,verso,"Venetus A (Marciana 454 = 822), folio 49, verso"
99,urn:cite:hmt:msA.50r,recto,"Venetus A (Marciana 454 = 822), folio 50, recto"
100,urn:cite:hmt:msA.50v,verso,"Venetus A (Marciana 454 = 822), folio 50, verso"
101,urn:cite:hmt:msA.51r,recto,"Venetus A (Marciana 454 = 822), folio 51, recto"
102,urn:cite:hmt:msA.51v,verso,"Venetus A (Marciana 454 = 822), folio 51, verso"
103,urn:cite:hmt:msA.52r,recto,"Venetus A (Marciana 454 = 822), folio 52, recto"
104,urn:cite:hmt:msA.52v,verso,"Venetus A (Marciana 454 = 822), folio 52, verso"
105,urn:cite:hmt:msA.53r,recto,"Venetus A (Marciana 454 = 822), folio 53, recto"
106,urn:cite:hmt:msA.53v,verso,"Venetus A (Marciana 454 = 822), folio 53, verso"
107,urn:cite:hmt:msA.54r,recto,"Venetus A (Marciana 454 = 822), folio 54, recto"
108,urn:cite:hmt:msA.54v,verso,"Venetus A (Marciana 454 = 822), folio 54, verso"
109,urn:cite:hmt:msA.55r,recto,"Venetus A (Marciana 454 = 822), folio 55, recto"
110,urn:cite:hmt:msA.55v,verso,"Venetus A (Marciana 454 = 822), folio 55, verso"
111,urn:cite:hmt:msA.56r,recto,"Venetus A (Marciana 454 = 822), folio 56, recto"
112,urn:cite:hmt:msA.56v,verso,"Venetus A (Marciana 454 = 822), folio 56, verso"
113,urn:cite:hmt:msA.57r,recto,"Venetus A (Marciana 454 = 822), folio 57, recto"
114,urn:cite:hmt:msA.57v,verso,"Venetus A (Marciana 454 = 822), folio 57, verso"
115,urn:cite:hmt:msA.58r,recto,"Venetus A (Marciana 454 = 822), folio 58, recto"
116,urn:cite:hmt:msA.58v,verso,"Venetus A (Marciana 454 = 822), folio 58, verso"
117,urn:cite:hmt:msA.59r,recto,"Venetus A (Marciana 454 = 822), folio 59, recto"
118,urn:cite:hmt:msA.59v,verso,"Venetus A (Marciana 454 = 822), folio 59, verso"
119,urn:cite:hmt:msA.60r,recto,"Venetus A (Marciana 454 = 822), folio 60, recto"
120,urn:cite:hmt:msA.60v,verso,"Venetus A (Marciana 454 = 822), folio 60, verso"
121,urn:cite:hmt:msA.61r,recto,"Venetus A (Marciana 454 = 822), folio 61, recto"
122,urn:cite:hmt:msA.61v,verso,"Venetus A (Marciana 454 = 822), folio 61, verso"
123,urn:cite:hmt:msA.62r,recto,"Venetus A (Marciana 454 = 822), folio 62, recto"
124,urn:cite:hmt:msA.62v,verso,"Venetus A (Marciana 454 = 822), folio 62, verso"
125,urn:cite:hmt:msA.63r,recto,"Venetus A (Marciana 454 = 822), folio 63, recto"
126,urn:cite:hmt:msA.63v,verso,"Venetus A (Marciana 454 = 822), folio 63, verso"
127,urn:cite:hmt:msA.64r,recto,"Venetus A (Marciana 454 = 822), folio 64, recto"
128,urn:cite:hmt:msA.64v,verso,"Venetus A (Marciana 454 = 822), folio 64, verso"
129,urn:cite:hmt:msA.65r,recto,"Venetus A (Marciana 454 = 822), folio 65, recto"
130,urn:cite:hmt:msA.65v,verso,"Venetus A (Marciana 454 = 822), folio 65, verso"
131,urn:cite:hmt:msA.66r,recto,"Venetus A (Marciana 454 = 822), folio 66, recto"
132,urn:cite:hmt:msA.66v,verso,"Venetus A (Marciana 454 = 822), folio 66, verso"
133,urn:cite:hmt:msA.67r,recto,"Venetus A (Marciana 454 = 822), folio 67, recto"
134,urn:cite:hmt:msA.67v,verso,"Venetus A (Marciana 454 = 822), folio 67, verso"
135,urn:cite:hmt:msA.68r,recto,"Venetus A (Marciana 454 = 822), folio 68, recto"
136,urn:cite:hmt:msA.68v,verso,"Venetus A (Marciana 454 = 822), folio 68, verso"
137,urn:cite:hmt:msA.69r,recto,"Venetus A (Marciana 454 = 822), folio 69, recto"
138,urn:cite:hmt:msA.69v,verso,"Venetus A (Marciana 454 = 822), folio 69, verso"
139,urn:cite:hmt:msA.70r,recto,"Venetus A (Marciana 454 = 822), folio 70, recto"
140,urn:cite:hmt:msA.70v,verso,"Venetus A (Marciana 454 = 822), folio 70, verso"
141,urn:cite:hmt:msA.71r,recto,"Venetus A (Marciana 454 = 822), folio 71, recto"
142,urn:cite:hmt:msA.71v,verso,"Venetus A (Marciana 454 = 822), folio 71, verso"
143,urn:cite:hmt:msA.72r,recto,"Venetus A (Marciana 454 = 822), folio 72, recto"
144,urn:cite:hmt:msA.72v,verso,"Venetus A (Marciana 454 = 822), folio 72, verso"
145,urn:cite:hmt:msA.73r,recto,"Venetus A (Marciana 454 = 822), folio 73, recto"
146,urn:cite:hmt:msA.73v,verso,"Venetus A (Marciana 454 = 822), folio 73, verso"
147,urn:cite:hmt:msA.74r,recto,"Venetus A (Marciana 454 = 822), folio 74, recto"
148,urn:cite:hmt:msA.74v,verso,"Venetus A (Marciana 454 = 822), folio 74, verso"
149,urn:cite:hmt:msA.75r,recto,"Venetus A (Marciana 454 = 822), folio 75, recto"
150,urn:cite:hmt:msA.75v,verso,"Venetus A (Marciana 454 = 822), folio 75, verso"
151,urn:cite:hmt:msA.76r,recto,"Venetus A (Marciana 454 = 822), folio 76, recto"
152,urn:cite:hmt:msA.76v,verso,"Venetus A (Marciana 454 = 822), folio 76, verso"
153,urn:cite:hmt:msA.77r,recto,"Venetus A (Marciana 454 = 822), folio 77, recto"
154,urn:cite:hmt:msA.77v,verso,"Venetus A (Marciana 454 = 822), folio 77, verso"
155,urn:cite:hmt:msA.78r,recto,"Venetus A (Marciana 454 = 822), folio 78, recto"
156,urn:cite:hmt:msA.78v,verso,"Venetus A (Marciana 454 = 822), folio 78, verso"
157,urn:cite:hmt:msA.79r,recto,"Venetus A (Marciana 454 = 822), folio 79, recto"
158,urn:cite:hmt:msA.79v,verso,"Venetus A (Marciana 454 = 822), folio 79, verso"
159,urn:cite:hmt:msA.80r,recto,"Venetus A (Marciana 454 = 822), folio 80, recto"
160,urn:cite:hmt:msA.80v,verso,"Venetus A (Marciana 454 = 822), folio 80, verso"
161,urn:cite:hmt:msA.81r,recto,"Venetus A (Marciana 454 = 822), folio 81, recto"
162,urn:cite:hmt:msA.81v,verso,"Venetus A (Marciana 454 = 822), folio 81, verso"
163,urn:cite:hmt:msA.82r,recto,"Venetus A (Marciana 454 = 822), folio 82, recto"
164,urn:cite:hmt:msA.82v,verso,"Venetus A (Marciana 454 = 822), folio 82, verso"
165,urn:cite:hmt:msA.83r,recto,"Venetus A (Marciana 454 = 822), folio 83, recto"
166,urn:cite:hmt:msA.83v,verso,"Venetus A (Marciana 454 = 822), folio 83, verso"
167,urn:cite:hmt:msA.84r,recto,"Venetus A (Marciana 454 = 822), folio 84, recto"
168,urn:cite:hmt:msA.84v,verso,"Venetus A (Marciana 454 = 822), folio 84, verso"
169,urn:cite:hmt:msA.85r,recto,"Venetus A (Marciana 454 = 822), folio 85, recto"
170,urn:cite:hmt:msA.85v,verso,"Venetus A (Marciana 454 = 822), folio 85, verso"
171,urn:cite:hmt:msA.86r,recto,"Venetus A (Marciana 454 = 822), folio 86, recto"
172,urn:cite:hmt:msA.86v,verso,"Venetus A (Marciana 454 = 822), folio 86, verso"
173,urn:cite:hmt:msA.87r,recto,"Venetus A (Marciana 454 = 822), folio 87, recto"
174,urn:cite:hmt:msA.87v,verso,"Venetus A (Marciana 454 = 822), folio 87, verso"
175,urn:cite:hmt:msA.88r,recto,"Venetus A (Marciana 454 = 822), folio 88, recto"
176,urn:cite:hmt:msA.88v,verso,"Venetus A (Marciana 454 = 822), folio 88, verso"
177,urn:cite:hmt:msA.89r,recto,"Venetus A (Marciana 454 = 822), folio 89, recto"
178,urn:cite:hmt:msA.89v,verso,"Venetus A (Marciana 454 = 822), folio 89, verso"
179,urn:cite:hmt:msA.90r,recto,"Venetus A (Marciana 454 = 822), folio 90, recto"
180,urn:cite:hmt:msA.90v,verso,"Venetus A (Marciana 454 = 822), folio 90, verso"
181,urn:cite:hmt:msA.91r,recto,"Venetus A (Marciana 454 = 822), folio 91, recto"
182,urn:cite:hmt:msA.91v,verso,"Venetus A (Marciana 454 = 822), folio 91, verso"
183,urn:cite:hmt:msA.92r,recto,"Venetus A (Marciana 454 = 822), folio 92, recto"
184,urn:cite:hmt:msA.92v,verso,"Venetus A (Marciana 454 = 822), folio 92, verso"
185,urn:cite:hmt:msA.93r,recto,"Venetus A (Marciana 454 = 822), folio 93, recto"
186,urn:cite:hmt:msA.93v,verso,"Venetus A (Marciana 454 = 822), folio 93, verso"
187,urn:cite:hmt:msA.94r,recto,"Venetus A (Marciana 454 = 822), folio 94, recto"
188,urn:cite:hmt:msA.94v,verso,"Venetus A (Marciana 454 = 822), folio 94, verso"
189,urn:cite:hmt:msA.95r,recto,"Venetus A (Marciana 454 = 822), folio 95, recto"
190,urn:cite:hmt:msA.95v,verso,"Venetus A (Marciana 454 = 822), folio 95, verso"
191,urn:cite:hmt:msA.96r,recto,"Venetus A (Marciana 454 = 822), folio 96, recto"
192,urn:cite:hmt:msA.96v,verso,"Venetus A (Marciana 454 = 822), folio 96, verso"
193,urn:cite:hmt:msA.97r,recto,"Venetus A (Marciana 454 = 822), folio 97, recto"
194,urn:cite:hmt:msA.97v,verso,"Venetus A (Marciana 454 = 822), folio 97, verso"
195,urn:cite:hmt:msA.98r,recto,"Venetus A (Marciana 454 = 822), folio 98, recto"
196,urn:cite:hmt:msA.98v,verso,"Venetus A (Marciana 454 = 822), folio 98, verso"
197,urn:cite:hmt:msA.99r,recto,"Venetus A (Marciana 454 = 822), folio 99, recto"
198,urn:cite:hmt:msA.99v,verso,"Venetus A (Marciana 454 = 822), folio 99, verso"
199,urn:cite:hmt:msA.100r,recto,"Venetus A (Marciana 454 = 822), folio 100, recto"
200,urn:cite:hmt:msA.100v,verso,"Venetus A (Marciana 454 = 822), folio 100, verso"
201,urn:cite:hmt:msA.101r,recto,"Venetus A (Marciana 454 = 822), folio 101, recto"
202,urn:cite:hmt:msA.101v,verso,"Venetus A (Marciana 454 = 822), folio 101, verso"
203,urn:cite:hmt:msA.102r,recto,"Venetus A (Marciana 454 = 822), folio 102, recto"
204,urn:cite:hmt:msA.102v,verso,"Venetus A (Marciana 454 = 822), folio 102, verso"
205,urn:cite:hmt:msA.103r,recto,"Venetus A (Marciana 454 = 822), folio 103, recto"
206,urn:cite:hmt:msA.103v,verso,"Venetus A (Marciana 454 = 822), folio 103, verso"
207,urn:cite:hmt:msA.104r,recto,"Venetus A (Marciana 454 = 822), folio 104, recto"
208,urn:cite:hmt:msA.104v,verso,"Venetus A (Marciana 454 = 822), folio 104, verso"
209,urn:cite:hmt:msA.105r,recto,"Venetus A (Marciana 454 = 822), folio 105, recto"
210,urn:cite:hmt:msA.105v,verso,"Venetus A (Marciana 454 = 822), folio 105, verso"
211,urn:cite:hmt:msA.106r,recto,"Venetus A (Marciana 454 = 822), folio 106, recto"
212,urn:cite:hmt:msA.106v,verso,"Venetus A (Marciana 454 = 822), folio 106, verso"
213,urn:cite:hmt:msA.107r,recto,"Venetus A (Marciana 454 = 822), folio 107, recto"
214,urn:cite:hmt:msA.107v,verso,"Venetus A (Marciana 454 = 822), folio 107, verso"
215,urn:cite:hmt:msA.108r,recto,"Venetus A (Marciana 454 = 822), folio 108, recto"
