PageZone.v1,"ImageRoI"
urn:cite:hmt:pageroi.92.v1,"urn:cite:hmt:vaimg.VA047VN_0549.v1@0.0875,0.0525,0.8638,0.8912"
urn:cite:hmt:pageroi.109.v1,"urn:cite:hmt:vaimg.VA056RN_0057.v1@0.085,0.061,0.8238,0.8685"
urn:cite:hmt:pageroi.124.v1,"urn:cite:hmt:vaimg.VA063VN_0565.v1@0.09,0.077,0.8375,0.8592"
urn:cite:hmt:pageroi.131.v1,"urn:cite:hmt:vaimg.VA067RN_0068.v1@0.0663,0.0667,0.8313,0.862"
urn:cite:hmt:pageroi.141.v1,"urn:cite:hmt:vaimg.VA072RN_0073.v1@0.0738,0.0638,0.8175,0.8676"
urn:cite:hmt:pageroi.67.v1,"urn:cite:hmt:vaimg.VA035RN_0036.v1@0.065,0.061,0.8225,0.8676"
urn:cite:hmt:pageroi.84.v1,"urn:cite:hmt:vaimg.VA043VN_0545.v1@0.11,0.0808,0.8163,0.8573"
urn:cite:hmt:pageroi.93.v1,"urn:cite:hmt:vaimg.VA048RN_0049.v1@0.0175,0.0657,0.8275,0.8695"
urn:cite:hmt:pageroi.100.v1,"urn:cite:hmt:vaimg.VA051VN_0553.v1@0.0925,0.0779,0.8263,0.8648"
urn:cite:hmt:pageroi.103.v1,"urn:cite:hmt:vaimg.VA053RN_0054.v1@0.0588,0.0704,0.8288,0.8563"
urn:cite:hmt:pageroi.113.v1,"urn:cite:hmt:vaimg.VA058RN_0059.v1@0.08,0.0601,0.8288,0.8676"
urn:cite:hmt:pageroi.118.v1,"urn:cite:hmt:vaimg.VA060VN_0562.v1@0.0963,0.0836,0.8363,0.8526"
urn:cite:hmt:pageroi.119.v1,"urn:cite:hmt:vaimg.VA061RN_0062.v1@0.0625,0.0657,0.8388,0.8808"
urn:cite:hmt:pageroi.128.v1,"urn:cite:hmt:vaimg.VA065VN_0567.v1@0.1063,0.0714,0.8288,0.8695"
urn:cite:hmt:pageroi.133.v1,"urn:cite:hmt:vaimg.VA068RN_0069.v1@0.0625,0.0638,0.8363,0.8723"
urn:cite:hmt:pageroi.137.v1,"urn:cite:hmt:vaimg.VA070RN_0071.v1@0.0738,0.0676,0.825,0.861"
urn:cite:hmt:pageroi.147.v1,"urn:cite:hmt:vaimg.VA075RN_0076.v1@0.0725,0.0657,0.8338,0.8648"
urn:cite:hmt:pageroi.168.v1,"urn:cite:hmt:vaimg.VA085VN_0588.v1@0.0775,0.0695,0.8325,0.8648"
urn:cite:hmt:pageroi.172.v1,"urn:cite:hmt:vaimg.VA087VN_0590.v1@0.08,0.0723,0.825,0.8573"
urn:cite:hmt:pageroi.176.v1,"urn:cite:hmt:vaimg.VA089VN_0592.v1@0.0788,0.0695,0.8275,0.8704"
urn:cite:hmt:pageroi.69.v1,"urn:cite:hmt:vaimg.VA036RN_0037.v1@0.0888,0.0601,0.8013,0.8723"
urn:cite:hmt:pageroi.89.v1,"urn:cite:hmt:vaimg.VA046RN_0047.v1@0.0388,0.0582,0.8238,0.8685"
urn:cite:hmt:pageroi.96.v1,"urn:cite:hmt:vaimg.VA049VN_0551.v1@0.0788,0.0808,0.8338,0.8535"
urn:cite:hmt:pageroi.104.v1,"urn:cite:hmt:vaimg.VA053VN_0555.v1@0.0875,0.0817,0.8375,0.8488"
urn:cite:hmt:pageroi.115.v1,"urn:cite:hmt:vaimg.VA059RN_0060.v1@0.08,0.0657,0.8288,0.8629"
urn:cite:hmt:pageroi.120.v1,"urn:cite:hmt:vaimg.VA061VN_0563.v1@0.0988,0.0789,0.8363,0.8629"
urn:cite:hmt:pageroi.139.v1,"urn:cite:hmt:vaimg.VA071RN_0072.v1@0.085,0.0657,0.8163,0.861"
urn:cite:hmt:pageroi.148.v1,"urn:cite:hmt:vaimg.VA075VN_0577.v1@0.1113,0.077,0.825,0.8488"
urn:cite:hmt:pageroi.155.v1,"urn:cite:hmt:vaimg.VA079RN_0080.v1@0.04,0.0648,0.86,0.8761"
urn:cite:hmt:pageroi.167.v1,"urn:cite:hmt:vaimg.VA085RN_0086.v1@0.0538,0.0695,0.8388,0.8723"
urn:cite:hmt:pageroi.178.v1,"urn:cite:hmt:vaimg.VA090VN_0593.v1@0.075,0.0714,0.8375,0.8704"
urn:cite:hmt:pageroi.106.v1,"urn:cite:hmt:vaimg.VA054VN_0556.v1@0.09,0.0789,0.8313,0.862"
urn:cite:hmt:pageroi.117.v1,"urn:cite:hmt:vaimg.VA060RN_0061.v1@0.095,0.0648,0.8238,0.8667"
urn:cite:hmt:pageroi.129.v1,"urn:cite:hmt:vaimg.VA066RN_0067.v1@0.0625,0.0601,0.8363,0.877"
urn:cite:hmt:pageroi.146.v1,"urn:cite:hmt:vaimg.VA074VN_0576.v1@0.1125,0.0817,0.8175,0.8432"
urn:cite:hmt:pageroi.154.v1,"urn:cite:hmt:vaimg.VA078VN_0581.v1@0.0813,0.0704,0.82,0.8563"
urn:cite:hmt:pageroi.159.v1,"urn:cite:hmt:vaimg.VA081RN_0082.v1@0.0375,0.0695,0.85,0.877"
urn:cite:hmt:pageroi.163.v1,"urn:cite:hmt:vaimg.VA083RN_0084.v1@0.0338,0.0695,0.8488,0.8714"
urn:cite:hmt:pageroi.107.v1,"urn:cite:hmt:vaimg.VA055RN_0056.v1@0.065,0.0695,0.8188,0.8704"
urn:cite:hmt:pageroi.122.v1,"urn:cite:hmt:vaimg.VA062VN_0564.v1@0.0963,0.077,0.835,0.8685"
urn:cite:hmt:pageroi.126.v1,"urn:cite:hmt:vaimg.VA064VN_0566.v1@0.0938,0.0779,0.8425,0.8592"
urn:cite:hmt:pageroi.157.v1,"urn:cite:hmt:vaimg.VA080RN_0081.v1@0.0475,0.0657,0.8475,0.8723"
urn:cite:hmt:pageroi.161.v1,"urn:cite:hmt:vaimg.VA082RN_0083.v1@0.0388,0.0695,0.8575,0.8676"
urn:cite:hmt:pageroi.177.v1,"urn:cite:hmt:vaimg.VA090RN_0091.v1@0.0438,0.0704,0.85,0.8704"
urn:cite:hmt:pageroi.110.v1,"urn:cite:hmt:vaimg.VA056VN_0558.v1@0.0862,0.0808,0.8338,0.8601"
urn:cite:hmt:pageroi.140.v1,"urn:cite:hmt:vaimg.VA071VN_0573.v1@0.12,0.0789,0.815,0.8488"
urn:cite:hmt:pageroi.158.v1,"urn:cite:hmt:vaimg.VA080VN_0583.v1@0.0763,0.0685,0.8325,0.8657"
urn:cite:hmt:pageroi.162.v1,"urn:cite:hmt:vaimg.VA082VN_0585.v1@0.0588,0.0751,0.8463,0.862"
urn:cite:hmt:pageroi.134.v1,"urn:cite:hmt:vaimg.VA068VN_0570.v1@0.0975,0.0789,0.8375,0.8526"
urn:cite:hmt:pageroi.136.v1,"urn:cite:hmt:vaimg.VA069VN_0571.v1@0.115,0.0798,0.8175,0.8488"
urn:cite:hmt:pageroi.142.v1,"urn:cite:hmt:vaimg.VA072VN_0574.v1@0.1113,0.0789,0.8238,0.8573"
urn:cite:hmt:pageroi.150.v1,"urn:cite:hmt:vaimg.VA076VN_0579.v1@0.0725,0.0732,0.8425,0.8601"
urn:cite:hmt:pageroi.151.v1,"urn:cite:hmt:vaimg.VA077RN_0078.v1@0.0813,0.062,0.8225,0.8723"
urn:cite:hmt:pageroi.164.v1,"urn:cite:hmt:vaimg.VA083VN_0586.v1@0.0862,0.0685,0.8263,0.8648"
urn:cite:hmt:pageroi.171.v1,"urn:cite:hmt:vaimg.VA087RN_0088.v1@0.0538,0.0695,0.8425,0.8723"
urn:cite:hmt:pageroi.175.v1,"urn:cite:hmt:vaimg.VA089RN_0090.v1@0.0463,0.0667,0.8525,0.8742"
urn:cite:hmt:pageroi.177.v1,"urn:cite:hmt:vaimg.VA090RN_0091.v1@0.0438,0.0704,0.85,0.8704"
