Image.v1,Label,Rights
urn:cite:hmt:e3bifolio.E3_39v_40r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 39v and 40r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_40v_41r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 40v and 41r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_41v_42r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 41v and 42r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_42v_43r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 42v and 43r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_43v_44r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 43v and 44r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_44v_45r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 44v and 45r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_45v_46r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 45v and 46r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_46v_47r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 46v and 47r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_47v_48r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 47v and 48r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_48v_49r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 48v and 49r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_49v_50r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 49v and 50r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_50v_51r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 50v and 51r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_51v_52r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 51v and 52r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_52v_53r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 52v and 53r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_54v_55r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 54v and 55r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_55v_56r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 55v and 56r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_56v_57r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 56v and 57r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_57v_58r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 57v and 58r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_58v_59r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 58v and 59r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_59v_60bisr.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 59v and 60bisr.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_60v_61bisr.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 60v and 61bisr.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_60v_61r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 60v and 61r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_61v_62r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 61v and 62r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_62v_63r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 62v and 63r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_63v_64r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 63v and 64r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_64v_65r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 64v and 65r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_65v_66r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 65v and 66r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_66v_67r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 66v and 67r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_67v_68r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 67v and 68r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_67v_77r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 67v and 77r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_68v_69r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 68v and 69r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_69v_70r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 69v and 70r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
