Image.v1,Label,Rights
urn:cite:ecod:codbod85.cb_0085_024r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 24r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 24r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_024v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 24v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 24v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_025r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 25r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 25r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_025v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 25v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 25v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_026r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 26r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 26r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_026v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 26v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 26v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_027r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 27r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 27r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_027v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 27v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 27v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_028r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 28r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 28r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_028v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 28v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 28v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_029r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 29r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 29r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_029v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 29v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 29v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_030r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 30r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 30r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_030v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 30v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 30v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_031r.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 31r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 31r – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
urn:cite:ecod:codbod85.cb_0085_031v.v1,'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 31v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'Cologny, Fondation Martin Bodmer, Cod. Bodmer 85, p. 31v – Homer, Iliad with scholii (http://www.e-codices.unifr.ch/en/list/one/cb/0085)'
