PageZone,"ImageRoI"
urn:cite:hmt:pageroi.36,"urn:cite:hmt:vaimg.VA095VN-0598@0.0938,0.0714,0.8138,0.862"
urn:cite:hmt:pageroi.39,"urn:cite:hmt:vaimg.VA096VN-0599@0.0838,0.0732,0.8263,0.8629"
urn:cite:hmt:pageroi.43,"urn:cite:hmt:vaimg.VA098VN-0601@0.0888,0.0723,0.8313,0.8545"
urn:cite:hmt:pageroi.48,"urn:cite:hmt:vaimg.VA026RN-0027@0.0638,0.0563,0.8213,0.8676"
urn:cite:hmt:pageroi.9,"urn:cite:hmt:vaimg.VA016RN-0017@0.0775,0.0592,0.7988,0.8592"
urn:cite:hmt:pageroi.11,"urn:cite:hmt:vaimg.VA017RN-0018@0.0613,0.0554,0.8288,0.8545"
urn:cite:hmt:pageroi.29,"urn:cite:hmt:vaimg.VA092RN-0093@0.0525,0.0723,0.8413,0.8667"
urn:cite:hmt:pageroi.35,"urn:cite:hmt:vaimg.VA095RN-0096@0.0563,0.0714,0.8475,0.8592"
urn:cite:hmt:pageroi.13,"urn:cite:hmt:vaimg.VA018RN-0019@0.07,0.0535,0.8138,0.8761"
urn:cite:hmt:pageroi.14,"urn:cite:hmt:vaimg.VA018VN-0520@0.1225,0.0751,0.8225,0.8516"
urn:cite:hmt:pageroi.32,"urn:cite:hmt:vaimg.VA093VN-0596@0.0963,0.0685,0.8125,0.861"
urn:cite:hmt:pageroi.88,"urn:cite:hmt:vaimg.VA045VN-0547@0.1113,0.0826,0.8025,0.8563"
urn:cite:hmt:pageroi.112,"urn:cite:hmt:vaimg.VA057VN-0559@0.0838,0.0826,0.8388,0.8601"
urn:cite:hmt:pageroi.153,"urn:cite:hmt:vaimg.VA078RN-0079@0.085,0.0629,0.8263,0.8742"
urn:cite:hmt:pageroi.160,"urn:cite:hmt:vaimg.VA081VN-0584@0.0675,0.0723,0.8425,0.8704"
urn:cite:hmt:pageroi.165,"urn:cite:hmt:vaimg.VA084RN-0085@0.0388,0.0704,0.845,0.8685"
urn:cite:hmt:pageroi.15,"urn:cite:hmt:vaimg.VA019RN-0020@0.065,0.0638,0.8213,0.861"
urn:cite:hmt:pageroi.21,"urn:cite:hmt:vaimg.VA021VN-0523@0.115,0.0723,0.8138,0.8488"
urn:cite:hmt:pageroi.28,"urn:cite:hmt:vaimg.VA091VN-0594@0.0862,0.0779,0.8338,0.8516"
urn:cite:hmt:pageroi.34,"urn:cite:hmt:vaimg.VA094VN-0597@0.075,0.0742,0.8438,0.8563"
urn:cite:hmt:pageroi.47,"urn:cite:hmt:vaimg.VA100VN-0603@0.075,0.0798,0.85,0.8685"
urn:cite:hmt:pageroi.51,"urn:cite:hmt:vaimg.VA025VN-0527@0.09,0.0685,0.83,0.877"
urn:cite:hmt:pageroi.73,"urn:cite:hmt:vaimg.VA038RN-0039@0.0325,0.0573,0.8313,0.8667"
urn:cite:hmt:pageroi.77,"urn:cite:hmt:vaimg.VA040RN-0041@0.0313,0.0582,0.8313,0.8714"
urn:cite:hmt:pageroi.81,"urn:cite:hmt:vaimg.VA042RN-0043@0.03,0.0573,0.8313,0.862"
urn:cite:hmt:pageroi.16,"urn:cite:hmt:vaimg.VA019VN-0521@0.14,0.0695,0.8063,0.8554"
urn:cite:hmt:pageroi.26,"urn:cite:hmt:vaimg.VA024RN-0025@0.0675,0.0601,0.8163,0.8573"
urn:cite:hmt:pageroi.38,"urn:cite:hmt:vaimg.VA096RN-0097@0.0563,0.0685,0.8463,0.8714"
urn:cite:hmt:pageroi.37,"urn:cite:hmt:vaimg.VA026VN-0528@0.0925,0.0789,0.825,0.8563"
urn:cite:hmt:pageroi.74,"urn:cite:hmt:vaimg.VA038VN-0540@0.1038,0.0732,0.815,0.8573"
urn:cite:hmt:pageroi.78,"urn:cite:hmt:vaimg.VA040VN-0542@0.1025,0.0751,0.8063,0.8507"
urn:cite:hmt:pageroi.82,"urn:cite:hmt:vaimg.VA042VN-0544@0.0913,0.0779,0.8138,0.8451"
urn:cite:hmt:pageroi.90,"urn:cite:hmt:vaimg.VA046VN-0548@0.1113,0.077,0.8038,0.8498"
urn:cite:hmt:pageroi.114,"urn:cite:hmt:vaimg.VA058VN-0560@0.095,0.0789,0.8288,0.8554"
urn:cite:hmt:pageroi.123,"urn:cite:hmt:vaimg.VA063RN-0064@0.0738,0.062,0.83,0.8714"
urn:cite:hmt:pageroi.135,"urn:cite:hmt:vaimg.VA069RN-0070@0.065,0.062,0.8275,0.8657"
urn:cite:hmt:pageroi.149,"urn:cite:hmt:vaimg.VA076RN-0077@0.0913,0.0648,0.8088,0.8704"
urn:cite:hmt:pageroi.170,"urn:cite:hmt:vaimg.VA086VN-0589@0.075,0.0704,0.8338,0.8648"
urn:cite:hmt:pageroi.174,"urn:cite:hmt:vaimg.VA088VN-0591@0.0725,0.0714,0.8363,0.8676"
urn:cite:hmt:pageroi.17,"urn:cite:hmt:vaimg.VA020RN-0021@0.0775,0.0582,0.8,0.8685"
urn:cite:hmt:pageroi.22,"urn:cite:hmt:vaimg.VA022RN-0023@0.07,0.0573,0.81,0.8667"
urn:cite:hmt:pageroi.25,"urn:cite:hmt:vaimg.VA023VN-0525@0.1163,0.0732,0.82,0.8498"
urn:cite:hmt:pageroi.40,"urn:cite:hmt:vaimg.VA097RN-0098@0.05,0.0695,0.8475,0.8676"
urn:cite:hmt:pageroi.42,"urn:cite:hmt:vaimg.VA098RN-0099@0.0463,0.0714,0.8513,0.8695"
urn:cite:hmt:pageroi.44,"urn:cite:hmt:vaimg.VA099RN-0100@0.0475,0.0714,0.84,0.8676"
urn:cite:hmt:pageroi.53,"urn:cite:hmt:vaimg.VA028RN-0029@0.0663,0.062,0.815,0.8582"
urn:cite:hmt:pageroi.57,"urn:cite:hmt:vaimg.VA030RN-0031@0.0675,0.0573,0.8175,0.8704"
urn:cite:hmt:pageroi.61,"urn:cite:hmt:vaimg.VA032RN-0033@0.07,0.0545,0.8263,0.8676"
urn:cite:hmt:pageroi.85,"urn:cite:hmt:vaimg.VA044RN-0045@0.0463,0.0592,0.8175,0.8685"
urn:cite:hmt:pageroi.20,"urn:cite:hmt:vaimg.VA021RN-0022@0.07,0.061,0.8125,0.8695"
urn:cite:hmt:pageroi.27,"urn:cite:hmt:vaimg.VA091RN-0263@0.0563,0.0526,0.8388,0.8638"
urn:cite:hmt:pageroi.33,"urn:cite:hmt:vaimg.VA094RN-0095@0.055,0.0751,0.8363,0.862"
urn:cite:hmt:pageroi.45,"urn:cite:hmt:vaimg.VA099VN-0602@0.0775,0.077,0.8475,0.8592"
urn:cite:hmt:pageroi.46,"urn:cite:hmt:vaimg.VA100RN-0101@0.055,0.0742,0.8413,0.8704"
urn:cite:hmt:pageroi.98,"urn:cite:hmt:vaimg.VA050VN-0552@0.0888,0.0789,0.8338,0.8573"
urn:cite:hmt:pageroi.101,"urn:cite:hmt:vaimg.VA052RN-0053@0.0688,0.0704,0.8075,0.8592"
urn:cite:hmt:pageroi.102,"urn:cite:hmt:vaimg.VA052VN-0554@0.0963,0.0808,0.8263,0.8535"
urn:cite:hmt:pageroi.111,"urn:cite:hmt:vaimg.VA057RN-0058@0.08,0.0648,0.83,0.8667"
urn:cite:hmt:pageroi.127,"urn:cite:hmt:vaimg.VA065RN-0066@0.0663,0.0592,0.8438,0.8751"
urn:cite:hmt:pageroi.132,"urn:cite:hmt:vaimg.VA067VN-0569@0.1088,0.0742,0.8175,0.8526"
urn:cite:hmt:pageroi.145,"urn:cite:hmt:vaimg.VA074RN-0075@0.0675,0.062,0.8288,0.8667"
urn:cite:hmt:pageroi.152,"urn:cite:hmt:vaimg.VA077VN-0580@0.07,0.0704,0.8425,0.8601"
urn:cite:hmt:pageroi.18,"urn:cite:hmt:vaimg.VA027RN-0028@0.0563,0.0563,0.8188,0.8667"
urn:cite:hmt:pageroi.52,"urn:cite:hmt:vaimg.VA027VN-0529@0.11,0.0779,0.8113,0.8573"
urn:cite:hmt:pageroi.56,"urn:cite:hmt:vaimg.VA029VN-0531@0.095,0.0779,0.8238,0.8554"
urn:cite:hmt:pageroi.60,"urn:cite:hmt:vaimg.VA031VN-0533@0.0988,0.0751,0.815,0.8582"
urn:cite:hmt:pageroi.68,"urn:cite:hmt:vaimg.VA035VN-0537@0.1125,0.077,0.81,0.8516"
urn:cite:hmt:pageroi.86,"urn:cite:hmt:vaimg.VA044VN-0546@0.1063,0.0798,0.8188,0.8488"
urn:cite:hmt:pageroi.108,"urn:cite:hmt:vaimg.VA055VN-0557@0.09,0.0845,0.8363,0.8638"
urn:cite:hmt:pageroi.130,"urn:cite:hmt:vaimg.VA066VN-0568@0.0988,0.0761,0.8375,0.8563"
urn:cite:hmt:pageroi.144,"urn:cite:hmt:vaimg.VA073VN-0575@0.1113,0.0798,0.825,0.8507"
urn:cite:hmt:pageroi.166,"urn:cite:hmt:vaimg.VA084VN-0587@0.0775,0.0751,0.8325,0.8582"
urn:cite:hmt:pageroi.54,"urn:cite:hmt:vaimg.VA028VN-0530@0.1038,0.0808,0.8175,0.8526"
urn:cite:hmt:pageroi.58,"urn:cite:hmt:vaimg.VA030VN-0532@0.095,0.077,0.82,0.8573"
urn:cite:hmt:pageroi.62,"urn:cite:hmt:vaimg.VA032VN-0534@0.0963,0.077,0.8213,0.8516"
urn:cite:hmt:pageroi.71,"urn:cite:hmt:vaimg.VA037RN-0038@0.0363,0.0554,0.825,0.8714"
urn:cite:hmt:pageroi.75,"urn:cite:hmt:vaimg.VA039RN-0040@0.0375,0.0601,0.8263,0.8695"
urn:cite:hmt:pageroi.79,"urn:cite:hmt:vaimg.VA041RN-0042@0.0275,0.0582,0.8325,0.8808"
urn:cite:hmt:pageroi.83,"urn:cite:hmt:vaimg.VA043RN-0044@0.0313,0.0563,0.8213,0.877"
urn:cite:hmt:pageroi.87,"urn:cite:hmt:vaimg.VA045RN-0046@0.0463,0.062,0.82,0.8685"
urn:cite:hmt:pageroi.55,"urn:cite:hmt:vaimg.VA029RN-0030@0.06,0.0629,0.8288,0.8535"
urn:cite:hmt:pageroi.59,"urn:cite:hmt:vaimg.VA031RN-0032@0.0738,0.0582,0.8275,0.861"
urn:cite:hmt:pageroi.64,"urn:cite:hmt:vaimg.VA033VN-0535@0.0938,0.077,0.8263,0.8638"
urn:cite:hmt:pageroi.94,"urn:cite:hmt:vaimg.VA048VN-0550@0.095,0.0779,0.8125,0.8554"
urn:cite:hmt:pageroi.95,"urn:cite:hmt:vaimg.VA049RN-0050@0.0538,0.0732,0.8325,0.861"
urn:cite:hmt:pageroi.97,"urn:cite:hmt:vaimg.VA050RN-0051@0.06,0.0685,0.8325,0.8638"
urn:cite:hmt:pageroi.63,"urn:cite:hmt:vaimg.VA033RN-0034@0.07,0.061,0.8175,0.8629"
urn:cite:hmt:pageroi.66,"urn:cite:hmt:vaimg.VA034VN-0536@0.0938,0.0525,0.8425,0.894"
urn:cite:hmt:pageroi.70,"urn:cite:hmt:vaimg.VA036VN-0538@0.1038,0.0751,0.805,0.8535"
urn:cite:hmt:pageroi.91,"urn:cite:hmt:vaimg.VA047RN-0048@0.0163,0.0648,0.8325,0.8648"
urn:cite:hmt:pageroi.99,"urn:cite:hmt:vaimg.VA051RN-0052@0.0563,0.0723,0.8238,0.8629"
urn:cite:hmt:pageroi.105,"urn:cite:hmt:vaimg.VA054RN-0055@0.065,0.0704,0.82,0.8667"
urn:cite:hmt:pageroi.116,"urn:cite:hmt:vaimg.VA059VN-0561@0.0913,0.0808,0.8388,0.8563"
urn:cite:hmt:pageroi.121,"urn:cite:hmt:vaimg.VA062RN-0063@0.07,0.061,0.8388,0.8751"
urn:cite:hmt:pageroi.125,"urn:cite:hmt:vaimg.VA064RN-0065@0.0763,0.0592,0.8313,0.8723"
urn:cite:hmt:pageroi.138,"urn:cite:hmt:vaimg.VA070VN-0572@0.1113,0.0789,0.825,0.8498"
urn:cite:hmt:pageroi.143,"urn:cite:hmt:vaimg.VA073RN-0074@0.0725,0.0657,0.8225,0.8657"
urn:cite:hmt:pageroi.156,"urn:cite:hmt:vaimg.VA079VN-0582@0.085,0.0667,0.82,0.8667"
urn:cite:hmt:pageroi.169,"urn:cite:hmt:vaimg.VA086RN-0087@0.0463,0.0685,0.85,0.8676"
urn:cite:hmt:pageroi.173,"urn:cite:hmt:vaimg.VA088RN-0089@0.045,0.0685,0.8475,0.8732"
urn:cite:hmt:pageroi.65,"urn:cite:hmt:vaimg.VA034RN-0035@0.0725,0.0601,0.8163,0.861"
urn:cite:hmt:pageroi.72,"urn:cite:hmt:vaimg.VA037VN-0539@0.105,0.077,0.8175,0.8526"
urn:cite:hmt:pageroi.76,"urn:cite:hmt:vaimg.VA039VN-0541@0.0738,0.0544,0.8613,0.8856"
urn:cite:hmt:pageroi.80,"urn:cite:hmt:vaimg.VA041VN-0543@0.0888,0.0817,0.8313,0.8563"
urn:cite:hmt:pageroi.92,"urn:cite:hmt:vaimg.VA047VN-0549@0.0875,0.0525,0.8638,0.8912"
urn:cite:hmt:pageroi.109,"urn:cite:hmt:vaimg.VA056RN-0057@0.085,0.061,0.8238,0.8685"
urn:cite:hmt:pageroi.124,"urn:cite:hmt:vaimg.VA063VN-0565@0.09,0.077,0.8375,0.8592"
urn:cite:hmt:pageroi.131,"urn:cite:hmt:vaimg.VA067RN-0068@0.0663,0.0667,0.8313,0.862"
urn:cite:hmt:pageroi.141,"urn:cite:hmt:vaimg.VA072RN-0073@0.0738,0.0638,0.8175,0.8676"
urn:cite:hmt:pageroi.67,"urn:cite:hmt:vaimg.VA035RN-0036@0.065,0.061,0.8225,0.8676"
urn:cite:hmt:pageroi.84,"urn:cite:hmt:vaimg.VA043VN-0545@0.11,0.0808,0.8163,0.8573"
urn:cite:hmt:pageroi.93,"urn:cite:hmt:vaimg.VA048RN-0049@0.0175,0.0657,0.8275,0.8695"
urn:cite:hmt:pageroi.100,"urn:cite:hmt:vaimg.VA051VN-0553@0.0925,0.0779,0.8263,0.8648"
urn:cite:hmt:pageroi.103,"urn:cite:hmt:vaimg.VA053RN-0054@0.0588,0.0704,0.8288,0.8563"
urn:cite:hmt:pageroi.113,"urn:cite:hmt:vaimg.VA058RN-0059@0.08,0.0601,0.8288,0.8676"
urn:cite:hmt:pageroi.118,"urn:cite:hmt:vaimg.VA060VN-0562@0.0963,0.0836,0.8363,0.8526"
urn:cite:hmt:pageroi.119,"urn:cite:hmt:vaimg.VA061RN-0062@0.0625,0.0657,0.8388,0.8808"
urn:cite:hmt:pageroi.128,"urn:cite:hmt:vaimg.VA065VN-0567@0.1063,0.0714,0.8288,0.8695"
urn:cite:hmt:pageroi.133,"urn:cite:hmt:vaimg.VA068RN-0069@0.0625,0.0638,0.8363,0.8723"
urn:cite:hmt:pageroi.137,"urn:cite:hmt:vaimg.VA070RN-0071@0.0738,0.0676,0.825,0.861"
urn:cite:hmt:pageroi.147,"urn:cite:hmt:vaimg.VA075RN-0076@0.0725,0.0657,0.8338,0.8648"
urn:cite:hmt:pageroi.168,"urn:cite:hmt:vaimg.VA085VN-0588@0.0775,0.0695,0.8325,0.8648"
urn:cite:hmt:pageroi.172,"urn:cite:hmt:vaimg.VA087VN-0590@0.08,0.0723,0.825,0.8573"
urn:cite:hmt:pageroi.176,"urn:cite:hmt:vaimg.VA089VN-0592@0.0788,0.0695,0.8275,0.8704"
urn:cite:hmt:pageroi.69,"urn:cite:hmt:vaimg.VA036RN-0037@0.0888,0.0601,0.8013,0.8723"
urn:cite:hmt:pageroi.89,"urn:cite:hmt:vaimg.VA046RN-0047@0.0388,0.0582,0.8238,0.8685"
urn:cite:hmt:pageroi.96,"urn:cite:hmt:vaimg.VA049VN-0551@0.0788,0.0808,0.8338,0.8535"
urn:cite:hmt:pageroi.104,"urn:cite:hmt:vaimg.VA053VN-0555@0.0875,0.0817,0.8375,0.8488"
urn:cite:hmt:pageroi.115,"urn:cite:hmt:vaimg.VA059RN-0060@0.08,0.0657,0.8288,0.8629"
urn:cite:hmt:pageroi.120,"urn:cite:hmt:vaimg.VA061VN-0563@0.0988,0.0789,0.8363,0.8629"
urn:cite:hmt:pageroi.139,"urn:cite:hmt:vaimg.VA071RN-0072@0.085,0.0657,0.8163,0.861"
urn:cite:hmt:pageroi.148,"urn:cite:hmt:vaimg.VA075VN-0577@0.1113,0.077,0.825,0.8488"
urn:cite:hmt:pageroi.155,"urn:cite:hmt:vaimg.VA079RN-0080@0.04,0.0648,0.86,0.8761"
urn:cite:hmt:pageroi.167,"urn:cite:hmt:vaimg.VA085RN-0086@0.0538,0.0695,0.8388,0.8723"
urn:cite:hmt:pageroi.178,"urn:cite:hmt:vaimg.VA090VN-0593@0.075,0.0714,0.8375,0.8704"
urn:cite:hmt:pageroi.106,"urn:cite:hmt:vaimg.VA054VN-0556@0.09,0.0789,0.8313,0.862"
urn:cite:hmt:pageroi.117,"urn:cite:hmt:vaimg.VA060RN-0061@0.095,0.0648,0.8238,0.8667"
urn:cite:hmt:pageroi.129,"urn:cite:hmt:vaimg.VA066RN-0067@0.0625,0.0601,0.8363,0.877"
urn:cite:hmt:pageroi.146,"urn:cite:hmt:vaimg.VA074VN-0576@0.1125,0.0817,0.8175,0.8432"
urn:cite:hmt:pageroi.154,"urn:cite:hmt:vaimg.VA078VN-0581@0.0813,0.0704,0.82,0.8563"
urn:cite:hmt:pageroi.159,"urn:cite:hmt:vaimg.VA081RN-0082@0.0375,0.0695,0.85,0.877"
urn:cite:hmt:pageroi.163,"urn:cite:hmt:vaimg.VA083RN-0084@0.0338,0.0695,0.8488,0.8714"
urn:cite:hmt:pageroi.107,"urn:cite:hmt:vaimg.VA055RN-0056@0.065,0.0695,0.8188,0.8704"
urn:cite:hmt:pageroi.122,"urn:cite:hmt:vaimg.VA062VN-0564@0.0963,0.077,0.835,0.8685"
urn:cite:hmt:pageroi.126,"urn:cite:hmt:vaimg.VA064VN-0566@0.0938,0.0779,0.8425,0.8592"
urn:cite:hmt:pageroi.157,"urn:cite:hmt:vaimg.VA080RN-0081@0.0475,0.0657,0.8475,0.8723"
urn:cite:hmt:pageroi.161,"urn:cite:hmt:vaimg.VA082RN-0083@0.0388,0.0695,0.8575,0.8676"
urn:cite:hmt:pageroi.177,"urn:cite:hmt:vaimg.VA090RN-0091@0.0438,0.0704,0.85,0.8704"
urn:cite:hmt:pageroi.110,"urn:cite:hmt:vaimg.VA056VN-0558@0.0862,0.0808,0.8338,0.8601"
urn:cite:hmt:pageroi.140,"urn:cite:hmt:vaimg.VA071VN-0573@0.12,0.0789,0.815,0.8488"
urn:cite:hmt:pageroi.158,"urn:cite:hmt:vaimg.VA080VN-0583@0.0763,0.0685,0.8325,0.8657"
urn:cite:hmt:pageroi.162,"urn:cite:hmt:vaimg.VA082VN-0585@0.0588,0.0751,0.8463,0.862"
urn:cite:hmt:pageroi.134,"urn:cite:hmt:vaimg.VA068VN-0570@0.0975,0.0789,0.8375,0.8526"
urn:cite:hmt:pageroi.136,"urn:cite:hmt:vaimg.VA069VN-0571@0.115,0.0798,0.8175,0.8488"
urn:cite:hmt:pageroi.142,"urn:cite:hmt:vaimg.VA072VN-0574@0.1113,0.0789,0.8238,0.8573"
urn:cite:hmt:pageroi.150,"urn:cite:hmt:vaimg.VA076VN-0579@0.0725,0.0732,0.8425,0.8601"
urn:cite:hmt:pageroi.151,"urn:cite:hmt:vaimg.VA077RN-0078@0.0813,0.062,0.8225,0.8723"
urn:cite:hmt:pageroi.164,"urn:cite:hmt:vaimg.VA083VN-0586@0.0862,0.0685,0.8263,0.8648"
urn:cite:hmt:pageroi.171,"urn:cite:hmt:vaimg.VA087RN-0088@0.0538,0.0695,0.8425,0.8723"
urn:cite:hmt:pageroi.175,"urn:cite:hmt:vaimg.VA089RN-0090@0.0463,0.0667,0.8525,0.8742"
urn:cite:hmt:pageroi.177,"urn:cite:hmt:vaimg.VA090RN-0091@0.0438,0.0704,0.85,0.8704"
