urn:cts:greekLit:tlg5026.e3.hmt:8.81	urn:cts:greekLit:tlg0012.tlg001.e3:8.139
urn:cts:greekLit:tlg5026.e3.hmt:8.82	urn:cts:greekLit:tlg0012.tlg001.e3:8.139-8.140
urn:cts:greekLit:tlg5026.e3.hmt:8.83	urn:cts:greekLit:tlg0012.tlg001.e3:8.141-8.143
urn:cts:greekLit:tlg5026.e3.hmt:8.84	urn:cts:greekLit:tlg0012.tlg001.e3:8.143
urn:cts:greekLit:tlg5026.e3.hmt:8.87	urn:cts:greekLit:tlg0012.tlg001.e3:8.144
urn:cts:greekLit:tlg5026.e3.hmt:8.88	urn:cts:greekLit:tlg0012.tlg001.e3:8.146
urn:cts:greekLit:tlg5026.e3.hmt:8.89	urn:cts:greekLit:tlg0012.tlg001.e3:8.148
urn:cts:greekLit:tlg5026.e3.hmt:8.90	urn:cts:greekLit:tlg0012.tlg001.e3:8.150
urn:cts:greekLit:tlg5026.e3.hmt:8.91	urn:cts:greekLit:tlg0012.tlg001.e3:8.152
urn:cts:greekLit:tlg5026.e3.hmt:8.92	urn:cts:greekLit:tlg0012.tlg001.e3:8.153-8.154
urn:cts:greekLit:tlg5026.e3.hmt:8.93	urn:cts:greekLit:tlg0012.tlg001.e3:8.157
urn:cts:greekLit:tlg5026.e3.hmt:8.94	urn:cts:greekLit:tlg0012.tlg001.e3:8.159
urn:cts:greekLit:tlg5026.e3.hmt:8.96	urn:cts:greekLit:tlg0012.tlg001.e3:8.163
urn:cts:greekLit:tlg5026.e3.hmt:8.98	urn:cts:greekLit:tlg0012.tlg001.e3:8.164
urn:cts:greekLit:tlg5026.e3.hmt:8.99	urn:cts:greekLit:tlg0012.tlg001.e3:8.166
urn:cts:greekLit:tlg5026.e3.hmt:8.100	urn:cts:greekLit:tlg0012.tlg001.e3:8.167
urn:cts:greekLit:tlg5026.e3.hmt:8.103	urn:cts:greekLit:tlg0012.tlg001.e3:8.169
urn:cts:greekLit:tlg5026.e3.hmt:8.104	urn:cts:greekLit:tlg0012.tlg001.e3:8.171
urn:cts:greekLit:tlg5026.e3.hmt:8.105	urn:cts:greekLit:tlg0012.tlg001.e3:8.175
