TextUrn,ImageCitation
urn:cts:greekLit:tlg0012.tlg001.msA:4.146,"urn:cite:hmt:vaimg.VA054RN-0055@0.1792,0.4418,0.3714,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:4.150,"urn:cite:hmt:vaimg.VA054RN-0055@0.1742,0.5154,0.4054,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:4.190,"urn:cite:hmt:vaimg.VA055RN-0056@0.1702,0.3261,0.3524,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:4.4,"urn:cite:hmt:vaimg.VA051RN-0052@0.1331,0.592,0.4344,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:4.8,"urn:cite:hmt:vaimg.VA051RN-0052@0.1221,0.6642,0.4344,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:4.12,"urn:cite:hmt:vaimg.VA051VN-0553@0.4845,0.2802,0.3614,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:4.16,"urn:cite:hmt:vaimg.VA051VN-0553@0.4885,0.3546,0.3784,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:4.20,"urn:cite:hmt:vaimg.VA051VN-0553@0.4845,0.4275,0.3964,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:4.28,"urn:cite:hmt:vaimg.VA051VN-0553@0.4855,0.571,0.4174,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:4.32,"urn:cite:hmt:vaimg.VA051VN-0553@0.4885,0.6431,0.4174,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:4.102,"urn:cite:hmt:vaimg.VA053RN-0054@0.1512,0.5545,0.4164,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:4.137,"urn:cite:hmt:vaimg.VA054RN-0055@0.1862,0.2705,0.4154,0.0383"
urn:cts:greekLit:tlg0012.tlg001.msA:4.141,"urn:cite:hmt:vaimg.VA054RN-0055@0.1682,0.3494,0.4164,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:4.145,"urn:cite:hmt:vaimg.VA054RN-0055@0.1842,0.4222,0.3864,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:4.149,"urn:cite:hmt:vaimg.VA054RN-0055@0.1762,0.5004,0.4054,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:4.188,"urn:cite:hmt:vaimg.VA055RN-0056@0.1622,0.2878,0.4224,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:4.192,"urn:cite:hmt:vaimg.VA055RN-0056@0.1602,0.3629,0.3844,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:4.196,"urn:cite:hmt:vaimg.VA055RN-0056@0.1481,0.4395,0.3934,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:4.200,"urn:cite:hmt:vaimg.VA055RN-0056@0.1632,0.5139,0.4114,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:4.204,"urn:cite:hmt:vaimg.VA055RN-0056@0.1512,0.589,0.4114,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:4.209,"urn:cite:hmt:vaimg.VA055VN-0557@0.4755,0.2201,0.4084,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:4.213,"urn:cite:hmt:vaimg.VA055VN-0557@0.4775,0.2938,0.3854,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:4.224,"urn:cite:hmt:vaimg.VA055VN-0557@0.4855,0.5004,0.3734,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:4.238,"urn:cite:hmt:vaimg.VA056RN-0057@0.1902,0.281,0.4244,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:4.249,"urn:cite:hmt:vaimg.VA056RN-0057@0.1732,0.4944,0.4304,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:4.252,"urn:cite:hmt:vaimg.VA056RN-0057@0.1782,0.5485,0.3904,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:4.263,"urn:cite:hmt:vaimg.VA056VN-0558@0.4795,0.293,0.3704,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:4.274,"urn:cite:hmt:vaimg.VA056VN-0558@0.4855,0.4974,0.3974,0.0406"
urn:cts:greekLit:tlg0012.tlg001.msA:4.285,"urn:cite:hmt:vaimg.VA057RN-0058@0.1962,0.2284,0.4004,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:4.396,"urn:cite:hmt:vaimg.VA059RN-0060@0.2002,0.4222,0.4134,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:4.296,"urn:cite:hmt:vaimg.VA057RN-0058@0.1872,0.4343,0.4194,0.0413"
urn:cts:greekLit:tlg0012.tlg001.msA:4.403,"urn:cite:hmt:vaimg.VA059RN-0060@0.1912,0.5522,0.4224,0.0376"
