IliadZone,Folio,ImageRoI,Notes
"urn:cite:hmt:textblock.232".v1,urn:cite:hmt:msA.127v,"urn:cite:hmt:vaimg.VA127RN_0299.v1@0.141,0.2044,0.456,0.5019",
"urn:cite:hmt:textblock.233".v1,urn:cite:hmt:msA.128r,"urn:cite:hmt:vaimg.VA127VN_0630.v1@0.474,0.2216,0.451,0.4884",
"urn:cite:hmt:textblock.234".v1,urn:cite:hmt:msA.128v,"urn:cite:hmt:vaimg.VA128RN_0300.v1@0.162,0.2044,0.448,0.4921",
"urn:cite:hmt:textblock.235".v1,urn:cite:hmt:msA.129r,"urn:cite:hmt:vaimg.VA129RN_0301.v1@0.152,0.1998,0.459,0.5019",
"urn:cite:hmt:textblock.236".v1,urn:cite:hmt:msA.129v,"urn:cite:hmt:vaimg.VA129VN_0632.v1@0.476,0.2307,0.445,0.4816",
"urn:cite:hmt:textblock.237".v1,urn:cite:hmt:msA.130r,"urn:cite:hmt:vaimg.VA130RN_0302.v1@0.147,0.1998,0.461,0.5049",
"urn:cite:hmt:textblock.238".v1,urn:cite:hmt:msA.130v,"urn:cite:hmt:vaimg.VA130VN_0633.v1@0.461,0.2284,0.457,0.4906",
"urn:cite:hmt:textblock.239".v1,urn:cite:hmt:msA.131r,"urn:cite:hmt:vaimg.VA131RN_0303.v1@0.166,0.1976,0.487,0.4906",
"urn:cite:hmt:textblock.240".v1,urn:cite:hmt:msA.131v,"urn:cite:hmt:vaimg.VA131VN_0634.v1@0.471,0.2254,0.469,0.4861",
"urn:cite:hmt:textblock.241".v1,urn:cite:hmt:msA.132r,"urn:cite:hmt:vaimg.VA132RN_0304.v1@0.161,0.2141,0.443,0.5004",
"urn:cite:hmt:textblock.242".v1,urn:cite:hmt:msA.132v,"urn:cite:hmt:vaimg.VA132VN_0635.v1@0.478,0.2404,0.451,0.4899",
"urn:cite:hmt:textblock.243".v1,urn:cite:hmt:msA.133r,"urn:cite:hmt:vaimg.VA133RN_0305.v1@0.157,0.2111,0.463,0.5011",
"urn:cite:hmt:textblock.244".v1,urn:cite:hmt:msA.133v,"urn:cite:hmt:vaimg.VA133VN_0635.v1@0.461,0.2427,0.461,0.4778",
"urn:cite:hmt:textblock.245".v1,urn:cite:hmt:msA.134r,"urn:cite:hmt:vaimg.VA134RN_0306.v1@0.162,0.1998,0.451,0.4981",
"urn:cite:hmt:textblock.246".v1,urn:cite:hmt:msA.134v,"urn:cite:hmt:vaimg.VA134VN_0636.v1@0.497,0.2284,0.443,0.4876",
"urn:cite:hmt:textblock.247".v1,urn:cite:hmt:msA.135r,"urn:cite:hmt:vaimg.VA135RN_0307.v1@0.165,0.1916,0.463,0.5101",
"urn:cite:hmt:textblock.248".v1,urn:cite:hmt:msA.135v,"urn:cite:hmt:vaimg.VA135VN_0637.v1@0.481,0.2194,0.439,0.4801",
"urn:cite:hmt:textblock.249".v1,urn:cite:hmt:msA.136r,"urn:cite:hmt:vaimg.VA136RN_0308.v1@0.16,0.1968,0.454,0.4989",
"urn:cite:hmt:textblock.250".v1,urn:cite:hmt:msA.136v,"urn:cite:hmt:vaimg.VA136VN_0638.v1@0.468,0.2209,0.453,0.4831",
"urn:cite:hmt:textblock.251".v1,urn:cite:hmt:msA.137r,"urn:cite:hmt:vaimg.VA137RN_0309.v1@0.18,0.2149,0.493,0.5079",
urn:cite:hmt:textblock.252.v1,urn:cite:hmt:msA.137v,"urn:cite:hmt:vaimg.VA137VN_0639.v1@0.399,0.2254,0.497,0.4996",start of book lambda
urn:cite:hmt:textblock.253.v1,urn:cite:hmt:msA.138r,"urn:cite:hmt:vaimg.VA138RN_0310.v1@0.158,0.2156,0.463,0.4929",
urn:cite:hmt:textblock.254.v1,urn:cite:hmt:msA.138v,"urn:cite:hmt:vaimg.VA138VN_0640.v1@0.47,0.2382,0.466,0.4899",
urn:cite:hmt:textblock.255.v1,urn:cite:hmt:msA.139r,"urn:cite:hmt:vaimg.VA139RN_0311.v1@0.166,0.2179,0.45,0.5004",
urn:cite:hmt:textblock.256.v1,urn:cite:hmt:msA.139v,"urn:cite:hmt:vaimg.VA139VN_0641.v1@0.468,0.2457,0.455,0.4936",
urn:cite:hmt:textblock.257.v1,urn:cite:hmt:msA.140r,"urn:cite:hmt:vaimg.VA140RN_0312.v1@0.156,0.2006,0.451,0.4951",
urn:cite:hmt:textblock.258.v1,urn:cite:hmt:msA.140v,"urn:cite:hmt:vaimg.VA140VN_0642.v1@0.488,0.2254,0.462,0.5019",
urn:cite:hmt:textblock.259.v1,urn:cite:hmt:msA.141r,"urn:cite:hmt:vaimg.VA141RN_0313.v1@0.155,0.1998,0.465,0.4899",
