URN,ImageReference
urn:cts:greekLit:tlg0012.tlg001.msA:10.412,"urn:cite:hmt:vaimg.VA134RN-0306@0.1772,0.4005,0.4124,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.415,"urn:cite:hmt:vaimg.VA134RN-0306@0.1722,0.4576,0.3984,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.421,"urn:cite:hmt:vaimg.VA134RN-0306@0.1672,0.568,0.4104,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:10.438,"urn:cite:hmt:vaimg.VA134VN-0636@0.5015,0.4425,0.3834,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.440,"urn:cite:hmt:vaimg.VA134VN-0636@0.5015,0.4786,0.3974,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.442,"urn:cite:hmt:vaimg.VA134VN-0636@0.5015,0.5162,0.3994,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.446,"urn:cite:hmt:vaimg.VA134VN-0636@0.5055,0.592,0.4164,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.411,"urn:cite:hmt:vaimg.VA134RN-0306@0.1532,0.3809,0.4244,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.426,"urn:cite:hmt:vaimg.VA134RN-0306@0.1572,0.6642,0.4114,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.430,"urn:cite:hmt:vaimg.VA134VN-0636@0.4815,0.29,0.4054,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.439,"urn:cite:hmt:vaimg.VA134VN-0636@0.5005,0.4621,0.3914,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.420,"urn:cite:hmt:vaimg.VA134RN-0306@0.1662,0.5507,0.4044,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.425,"urn:cite:hmt:vaimg.VA134RN-0306@0.1632,0.6446,0.4004,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.427,"urn:cite:hmt:vaimg.VA134VN-0636@0.4975,0.2299,0.4044,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.432,"urn:cite:hmt:vaimg.VA134VN-0636@0.5045,0.3276,0.3614,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.436,"urn:cite:hmt:vaimg.VA134VN-0636@0.4995,0.4035,0.3834,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.437,"urn:cite:hmt:vaimg.VA134VN-0636@0.4995,0.4222,0.3834,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.451,"urn:cite:hmt:vaimg.VA134VN-0636@0.5105,0.6844,0.3854,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.445,"urn:cite:hmt:vaimg.VA134VN-0636@0.4955,0.574,0.3894,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.447,"urn:cite:hmt:vaimg.VA134VN-0636@0.4865,0.6116,0.3724,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.450,"urn:cite:hmt:vaimg.VA134VN-0636@0.5095,0.6649,0.3854,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.1,"urn:cite:hmt:vaimg.VA126RN-0298@0.1451,0.1833,0.4474,0.0654"
urn:cts:greekLit:tlg0012.tlg001.msA:10.12,"urn:cite:hmt:vaimg.VA126RN-0298@0.165,0.4171,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.19,"urn:cite:hmt:vaimg.VA126RN-0298@0.1672,0.55,0.4134,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.2,"urn:cite:hmt:vaimg.VA126RN-0298@0.19,0.2206,0.435,0.0315"
urn:cts:greekLit:tlg0012.tlg001.msA:10.5,"urn:cite:hmt:vaimg.VA126RN-0298@0.1642,0.284,0.4404,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.21,"urn:cite:hmt:vaimg.VA126RN-0298@0.1732,0.5875,0.4074,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.3,"urn:cite:hmt:vaimg.VA126RN-0298@0.1802,0.2464,0.4114,0.0188"
urn:cts:greekLit:tlg0012.tlg001.msA:10.10,"urn:cite:hmt:vaimg.VA126RN-0298@0.1592,0.3779,0.4675,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.4,"urn:cite:hmt:vaimg.VA126RN-0298@0.183,0.2618,0.435,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.15,"urn:cite:hmt:vaimg.VA126RN-0298@0.1632,0.4726,0.4595,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.6,"urn:cite:hmt:vaimg.VA126RN-0298@0.1822,0.3043,0.4434,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.20,"urn:cite:hmt:vaimg.VA126RN-0298@0.16,0.5694,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.24,"urn:cite:hmt:vaimg.VA126RN-0298@0.157,0.6452,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.8,"urn:cite:hmt:vaimg.VA126RN-0298@0.1732,0.3403,0.4264,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.7,"urn:cite:hmt:vaimg.VA126RN-0298@0.162,0.3203,0.455,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.11,"urn:cite:hmt:vaimg.VA126RN-0298@0.1622,0.3967,0.4194,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.18,"urn:cite:hmt:vaimg.VA126RN-0298@0.166,0.5319,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.9,"urn:cite:hmt:vaimg.VA126RN-0298@0.1762,0.3554,0.4505,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:10.13,"urn:cite:hmt:vaimg.VA126RN-0298@0.1752,0.4328,0.4484,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.14,"urn:cite:hmt:vaimg.VA126RN-0298@0.167,0.4531,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.22,"urn:cite:hmt:vaimg.VA126RN-0298@0.157,0.6077,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.16,"urn:cite:hmt:vaimg.VA126RN-0298@0.164,0.4921,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.23,"urn:cite:hmt:vaimg.VA126RN-0298@0.1642,0.6251,0.4434,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.25,"urn:cite:hmt:vaimg.VA126RN-0298@0.1642,0.6627,0.4444,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:10.17,"urn:cite:hmt:vaimg.VA126RN-0298@0.176,0.5105,0.396,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.26,"urn:cite:hmt:vaimg.VA126VN-0629@0.484,0.2179,0.409,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.27,"urn:cite:hmt:vaimg.VA126VN-0629@0.484,0.2359,0.395,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.28,"urn:cite:hmt:vaimg.VA126VN-0629@0.487,0.2577,0.416,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.29,"urn:cite:hmt:vaimg.VA126VN-0629@0.487,0.275,0.416,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.30,"urn:cite:hmt:vaimg.VA126VN-0629@0.483,0.2953,0.436,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.31,"urn:cite:hmt:vaimg.VA126VN-0629@0.482,0.3125,0.402,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.32,"urn:cite:hmt:vaimg.VA126VN-0629@0.489,0.3313,0.408,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.33,"urn:cite:hmt:vaimg.VA126VN-0629@0.481,0.3516,0.351,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.34,"urn:cite:hmt:vaimg.VA126VN-0629@0.482,0.3696,0.393,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.35,"urn:cite:hmt:vaimg.VA126VN-0629@0.489,0.3892,0.409,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.36,"urn:cite:hmt:vaimg.VA126VN-0629@0.485,0.4065,0.398,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.37,"urn:cite:hmt:vaimg.VA126VN-0629@0.485,0.4275,0.398,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.38,"urn:cite:hmt:vaimg.VA126VN-0629@0.481,0.447,0.414,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.39,"urn:cite:hmt:vaimg.VA126VN-0629@0.485,0.4666,0.361,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.40,"urn:cite:hmt:vaimg.VA126VN-0629@0.492,0.4801,0.404,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.41,"urn:cite:hmt:vaimg.VA126VN-0629@0.491,0.5026,0.419,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.42,"urn:cite:hmt:vaimg.VA126VN-0629@0.49,0.5229,0.419,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.43,"urn:cite:hmt:vaimg.VA126VN-0629@0.488,0.5402,0.425,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.44,"urn:cite:hmt:vaimg.VA126VN-0629@0.483,0.5605,0.388,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.45,"urn:cite:hmt:vaimg.VA126VN-0629@0.492,0.5793,0.388,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.46,"urn:cite:hmt:vaimg.VA126VN-0629@0.491,0.5958,0.406,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.47,"urn:cite:hmt:vaimg.VA126VN-0629@0.493,0.6153,0.383,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.48,"urn:cite:hmt:vaimg.VA126VN-0629@0.492,0.6334,0.394,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.49,"urn:cite:hmt:vaimg.VA126VN-0629@0.495,0.6566,0.375,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.50,"urn:cite:hmt:vaimg.VA126VN-0629@0.491,0.6717,0.356,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.51,"urn:cite:hmt:vaimg.VA127RN-0299@0.1712,0.2104,0.3614,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.52,"urn:cite:hmt:vaimg.VA127RN-0299@0.1722,0.2314,0.4194,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.53,"urn:cite:hmt:vaimg.VA127RN-0299@0.1672,0.2479,0.3534,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.54,"urn:cite:hmt:vaimg.VA127RN-0299@0.1672,0.266,0.3744,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.55,"urn:cite:hmt:vaimg.VA127RN-0299@0.1632,0.284,0.3944,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.56,"urn:cite:hmt:vaimg.VA127RN-0299@0.1642,0.3043,0.3994,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.57,"urn:cite:hmt:vaimg.VA127RN-0299@0.1612,0.3246,0.3994,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.58,"urn:cite:hmt:vaimg.VA127RN-0299@0.1602,0.3449,0.4074,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.59,"urn:cite:hmt:vaimg.VA127RN-0299@0.1592,0.3621,0.4074,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.60,"urn:cite:hmt:vaimg.VA127RN-0299@0.1622,0.3824,0.4134,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.61,"urn:cite:hmt:vaimg.VA127RN-0299@0.1642,0.405,0.3964,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:10.62,"urn:cite:hmt:vaimg.VA127RN-0299@0.1662,0.4207,0.4274,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.63,"urn:cite:hmt:vaimg.VA127RN-0299@0.1622,0.4373,0.4154,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.64,"urn:cite:hmt:vaimg.VA127RN-0299@0.1622,0.4613,0.4214,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.65,"urn:cite:hmt:vaimg.VA127RN-0299@0.1622,0.4801,0.4214,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.66,"urn:cite:hmt:vaimg.VA127RN-0299@0.1602,0.4966,0.4344,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.67,"urn:cite:hmt:vaimg.VA127RN-0299@0.1592,0.5154,0.4374,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.68,"urn:cite:hmt:vaimg.VA127RN-0299@0.1582,0.5357,0.4394,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.69,"urn:cite:hmt:vaimg.VA127RN-0299@0.1552,0.5552,0.4044,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:10.70,"urn:cite:hmt:vaimg.VA127RN-0299@0.1522,0.5748,0.4214,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.71,"urn:cite:hmt:vaimg.VA127RN-0299@0.1572,0.592,0.4214,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.72,"urn:cite:hmt:vaimg.VA127RN-0299@0.1532,0.6131,0.4364,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.73,"urn:cite:hmt:vaimg.VA127RN-0299@0.1522,0.6296,0.4204,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.74,"urn:cite:hmt:vaimg.VA127RN-0299@0.1522,0.6491,0.4424,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.75,"urn:cite:hmt:vaimg.VA127RN-0299@0.1542,0.6694,0.4434,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.76,"urn:cite:hmt:vaimg.VA127VN-0630@0.4855,0.2276,0.3674,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:10.77,"urn:cite:hmt:vaimg.VA127VN-0630@0.4885,0.2472,0.3874,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.78,"urn:cite:hmt:vaimg.VA127VN-0630@0.4845,0.2637,0.3944,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.79,"urn:cite:hmt:vaimg.VA127VN-0630@0.4845,0.2832,0.3864,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:10.80,"urn:cite:hmt:vaimg.VA127VN-0630@0.4875,0.2998,0.4034,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.81,"urn:cite:hmt:vaimg.VA127VN-0630@0.4875,0.3201,0.3784,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.82,"urn:cite:hmt:vaimg.VA127VN-0630@0.4865,0.3351,0.3944,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.83,"urn:cite:hmt:vaimg.VA127VN-0630@0.4865,0.3546,0.3974,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.84,"urn:cite:hmt:vaimg.VA127VN-0630@0.4865,0.3742,0.3403,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.85,"urn:cite:hmt:vaimg.VA127VN-0630@0.4855,0.3922,0.4134,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.86,"urn:cite:hmt:vaimg.VA127VN-0630@0.4785,0.4117,0.4304,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:10.87,"urn:cite:hmt:vaimg.VA127VN-0630@0.4785,0.4335,0.3694,0.0218"
