CtsUrn,Comments,VisualEvidence,FolioUrn
urn:cts:greekLit:tlg5026.msAint.hmt:3.28,"Aint 3","urn:cite:hmt:vaimg.VA042RN-0043@0.06742815,0.46376210,0.05858511,0.04315353","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.31,"Aint 4","urn:cite:hmt:vaimg.VA042RN-0043@0.06521739,0.52627939,0.05711127,0.05062241","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.43,"Aint 5","urn:cite:hmt:vaimg.VA042RN-0043@0.06061164,0.59211618,0.06300663,0.04121715","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.49,"Aint 6","urn:cite:hmt:vaimg.VA042RN-0043@0.06263817,0.64273859,0.06374355,0.01728907","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.55,"Aint 7","urn:cite:hmt:vaimg.VA042RN-0043@0.06448047,0.69446750,0.11238025,0.03388658","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.72,"Aint 1","urn:cite:hmt:vaimg.VA042VN-0544@0.78795136,0.40691563,0.11164333,0.03817427","urn:cite:hmt:msA.42v"
urn:cts:greekLit:tlg5026.msAint.hmt:3.165,"Aint 1","urn:cite:hmt:vaimg.VA043VN-0545@0.88890936,0.63526971,0.02450258,0.02378976","urn:cite:hmt:msA.43v"
urn:cts:greekLit:tlg5026.msAint.hmt:3.176,"Aint 1","urn:cite:hmt:vaimg.VA044RN-0045@0.08511422,0.27136929,0.05121592,0.04177040","urn:cite:hmt:msA.44r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.192,"Aint 2","urn:cite:hmt:vaimg.VA044RN-0045@0.09137804,0.60165975,0.03297716,0.01825726","urn:cite:hmt:msA.44r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.692,"Aint 3","urn:cite:hmt:vaimg.VA044RN-0045@0.08916728,0.67842324,0.06484893,0.05145228","urn:cite:hmt:msA.44r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.209,"Aint 1","urn:cite:hmt:vaimg.VA044VN-0546@0.85869565,0.28035961,0.03334562,0.01645920","urn:cite:hmt:msA.44v"
urn:cts:greekLit:tlg5026.msAint.hmt:3.241,"Aint 2","urn:cite:hmt:vaimg.VA044VN-0546@0.85519528,0.65076072,0.03095063,0.05172891","urn:cite:hmt:msA.44v"
urn:cts:greekLit:tlg5026.msAint.hmt:3.250,"Aint 1","urn:cite:hmt:vaimg.VA045RN-0046@0.12675018,0.21065007,0.13006632,0.03319502","urn:cite:hmt:msA.45r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.259,"Aint 2","urn:cite:hmt:vaimg.VA045RN-0046@0.11090641,0.32130014,0.05803242,0.02586445","urn:cite:hmt:msA.45r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.260,"Aint 3","urn:cite:hmt:vaimg.VA045RN-0046@0.10611643,0.34730290,0.04771555,0.02420470","urn:cite:hmt:msA.45r"
urn:cts:greekLit:tlg5026.msAint.hmt:3.262,"Aint 4","urn:cite:hmt:vaimg.VA045RN-0046@0.09764186,0.37261411,0.05840088,0.01549101","urn:cite:hmt:msA.45r"
