TextURN,ImageURN
urn:cts:greekLit:tlg0012.tlg001.msA:8.78,"urn:cite:hmt:vaimg.VA102RN-0274@0.1922,0.4538,0.4525,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:8.79,"urn:cite:hmt:vaimg.VA102RN-0274@0.1912,0.4726,0.4144,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:8.80,"urn:cite:hmt:vaimg.VA102RN-0274@0.1882,0.4906,0.3964,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:8.81,"urn:cite:hmt:vaimg.VA102RN-0274@0.1922,0.5109,0.3964,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:8.82,"urn:cite:hmt:vaimg.VA102RN-0274@0.1842,0.5342,0.4044,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.83,"urn:cite:hmt:vaimg.VA102RN-0274@0.1942,0.55,0.4304,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.84,"urn:cite:hmt:vaimg.VA102RN-0274@0.1912,0.5695,0.4334,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.85,"urn:cite:hmt:vaimg.VA102RN-0274@0.1902,0.5883,0.4334,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:8.86,"urn:cite:hmt:vaimg.VA102RN-0274@0.1892,0.6086,0.4424,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:8.87,"urn:cite:hmt:vaimg.VA102RN-0274@0.1902,0.6273,0.4014,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:8.88,"urn:cite:hmt:vaimg.VA102RN-0274@0.1882,0.6469,0.4264,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:8.89,"urn:cite:hmt:vaimg.VA102RN-0274@0.1732,0.6679,0.4364,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.90,"urn:cite:hmt:vaimg.VA102RN-0274@0.1832,0.6867,0.4505,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.91,"urn:cite:hmt:vaimg.VA102VN-0605@0.4505,0.2337,0.3944,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:8.92,"urn:cite:hmt:vaimg.VA102VN-0605@0.4505,0.2547,0.4014,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:8.93,"urn:cite:hmt:vaimg.VA102VN-0605@0.4484,0.2727,0.3854,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:8.94,"urn:cite:hmt:vaimg.VA102VN-0605@0.4545,0.2893,0.4294,0.0413"
urn:cts:greekLit:tlg0012.tlg001.msA:8.95,"urn:cite:hmt:vaimg.VA102VN-0605@0.4575,0.314,0.4054,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.96,"urn:cite:hmt:vaimg.VA102VN-0605@0.4535,0.3336,0.4204,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.97,"urn:cite:hmt:vaimg.VA102VN-0605@0.4414,0.3539,0.4334,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.98,"urn:cite:hmt:vaimg.VA102VN-0605@0.4565,0.3734,0.3834,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.99,"urn:cite:hmt:vaimg.VA102VN-0605@0.4384,0.3907,0.4454,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.100,"urn:cite:hmt:vaimg.VA102VN-0605@0.4555,0.4102,0.3984,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.101,"urn:cite:hmt:vaimg.VA102VN-0605@0.4545,0.426,0.4184,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:8.102,"urn:cite:hmt:vaimg.VA102VN-0605@0.4535,0.444,0.4164,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:8.103,"urn:cite:hmt:vaimg.VA102VN-0605@0.4575,0.4681,0.4204,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:8.104,"urn:cite:hmt:vaimg.VA102VN-0605@0.4595,0.4853,0.4354,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:8.105,"urn:cite:hmt:vaimg.VA102VN-0605@0.4575,0.5019,0.4084,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:8.106,"urn:cite:hmt:vaimg.VA102VN-0605@0.4434,0.5192,0.3984,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:8.107,"urn:cite:hmt:vaimg.VA102VN-0605@0.4474,0.5357,0.4565,0.0383"
urn:cts:greekLit:tlg0012.tlg001.msA:8.108,"urn:cite:hmt:vaimg.VA102VN-0605@0.4404,0.5605,0.4434,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.109,"urn:cite:hmt:vaimg.VA102VN-0605@0.4434,0.5793,0.4404,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.110,"urn:cite:hmt:vaimg.VA102VN-0605@0.4625,0.5943,0.4254,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:8.111,"urn:cite:hmt:vaimg.VA102VN-0605@0.4665,0.6161,0.4304,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:8.112,"urn:cite:hmt:vaimg.VA102VN-0605@0.4575,0.6319,0.4444,0.0421"
urn:cts:greekLit:tlg0012.tlg001.msA:8.113,"urn:cite:hmt:vaimg.VA102VN-0605@0.4685,0.6521,0.4274,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:8.114,"urn:cite:hmt:vaimg.VA102VN-0605@0.4515,0.6732,0.4354,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:8.115,"urn:cite:hmt:vaimg.VA102VN-0605@0.4615,0.6927,0.4194,0.0346"
