OccurrrenceUrn.v1	TextPassage
urn:cite:hmt:venAsign.125.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.467
urn:cite:hmt:venAsign.126.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.472
urn:cite:hmt:venAsign.127.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.473
urn:cite:hmt:venAsign.128.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.474
urn:cite:hmt:venAsign.129.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.477
urn:cite:hmt:venAsign.130.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.493
urn:cite:hmt:venAsign.131.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.497
urn:cite:hmt:venAsign.132.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.526
urn:cite:hmt:venAsign.133.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.530
urn:cite:hmt:venAsign.134.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.564
urn:cite:hmt:venAsign.135.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.567
urn:cite:hmt:venAsign.136.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.572
urn:cite:hmt:venAsign.137.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.578
urn:cite:hmt:venAsign.138.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.2
urn:cite:hmt:venAsign.139.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.6
urn:cite:hmt:venAsign.140.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.8
urn:cite:hmt:venAsign.141.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.10
urn:cite:hmt:venAsign.142.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.27
urn:cite:hmt:venAsign.143.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.27
urn:cite:hmt:venAsign.144.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.36
urn:cite:hmt:venAsign.145.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.41
urn:cite:hmt:venAsign.146.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.45
urn:cite:hmt:venAsign.147.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.49
urn:cite:hmt:venAsign.148.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.55
urn:cite:hmt:venAsign.149.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.56
urn:cite:hmt:venAsign.150.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.64
urn:cite:hmt:venAsign.151.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.64
urn:cite:hmt:venAsign.152.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.70
urn:cite:hmt:venAsign.153.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.76
urn:cite:hmt:venAsign.154.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.77
urn:cite:hmt:venAsign.155.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.78
urn:cite:hmt:venAsign.156.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.79
urn:cite:hmt:venAsign.157.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.80
urn:cite:hmt:venAsign.158.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.81
urn:cite:hmt:venAsign.159.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.82
urn:cite:hmt:venAsign.160.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.87
urn:cite:hmt:venAsign.161.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.89
urn:cite:hmt:venAsign.162.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.93
urn:cite:hmt:venAsign.163.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.106
urn:cite:hmt:venAsign.164.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.107
urn:cite:hmt:venAsign.165.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.108
urn:cite:hmt:venAsign.166.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.109
urn:cite:hmt:venAsign.167.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.110
urn:cite:hmt:venAsign.168.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.111
urn:cite:hmt:venAsign.169.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.115
urn:cite:hmt:venAsign.170.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.116
urn:cite:hmt:venAsign.171.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.116
