Sequence	Passage	Sign
838	urn:cts:greekLit:tlg0012.tlg001.msA:7.64	>
839	urn:cts:greekLit:tlg0012.tlg001.msA:7.75	>
840	urn:cts:greekLit:tlg0012.tlg001.msA:7.79	>
841	urn:cts:greekLit:tlg0012.tlg001.msA:7.80	>
842	urn:cts:greekLit:tlg0012.tlg001.msA:7.82	>
843	urn:cts:greekLit:tlg0012.tlg001.msA:7.86	>
844	urn:cts:greekLit:tlg0012.tlg001.msA:7.89	>
845	urn:cts:greekLit:tlg0012.tlg001.msA:7.102	>
846	urn:cts:greekLit:tlg0012.tlg001.msA:7.111	>
847	urn:cts:greekLit:tlg0012.tlg001.msA:7.114	⸖
848	urn:cts:greekLit:tlg0012.tlg001.msA:7.116	>
849	urn:cts:greekLit:tlg0012.tlg001.msA:7.127	⸖
850	urn:cts:greekLit:tlg0012.tlg001.msA:7.133	>
851	urn:cts:greekLit:tlg0012.tlg001.msA:7.135	>
852	urn:cts:greekLit:tlg0012.tlg001.msA:7.136	>
853	urn:cts:greekLit:tlg0012.tlg001.msA:7.138	>
854	urn:cts:greekLit:tlg0012.tlg001.msA:7.146	>
855	urn:cts:greekLit:tlg0012.tlg001.msA:7.148	>
856	urn:cts:greekLit:tlg0012.tlg001.msA:7.149	>
857	urn:cts:greekLit:tlg0012.tlg001.msA:7.153	⸖
858	urn:cts:greekLit:tlg0012.tlg001.msA:7.156	>
859	urn:cts:greekLit:tlg0012.tlg001.msA:7.161	>
860	urn:cts:greekLit:tlg0012.tlg001.msA:7.171	>
861	urn:cts:greekLit:tlg0012.tlg001.msA:7.175	>
862	urn:cts:greekLit:tlg0012.tlg001.msA:7.180	>
863	urn:cts:greekLit:tlg0012.tlg001.msA:7.182	>
864	urn:cts:greekLit:tlg0012.tlg001.msA:7.187	>
865	urn:cts:greekLit:tlg0012.tlg001.msA:7.195	—
866	urn:cts:greekLit:tlg0012.tlg001.msA:7.196	—
867	urn:cts:greekLit:tlg0012.tlg001.msA:7.197	—
868	urn:cts:greekLit:tlg0012.tlg001.msA:7.198	—
869	urn:cts:greekLit:tlg0012.tlg001.msA:7.199	—
870	urn:cts:greekLit:tlg0012.tlg001.msA:7.202	>
871	urn:cts:greekLit:tlg0012.tlg001.msA:7.221	>
872	urn:cts:greekLit:tlg0012.tlg001.msA:7.239	>
873	urn:cts:greekLit:tlg0012.tlg001.msA:7.250	⸖
874	urn:cts:greekLit:tlg0012.tlg001.msA:7.255	>
875	urn:cts:greekLit:tlg0012.tlg001.msA:7.273	>
876	urn:cts:greekLit:tlg0012.tlg001.msA:7.276	>
877	urn:cts:greekLit:tlg0012.tlg001.msA:7.282	※
878	urn:cts:greekLit:tlg0012.tlg001.msA:7.293	—
879	urn:cts:greekLit:tlg0012.tlg001.msA:7.293	※
880	urn:cts:greekLit:tlg0012.tlg001.msA:7.295	—
881	urn:cts:greekLit:tlg0012.tlg001.msA:7.303	>
882	urn:cts:greekLit:tlg0012.tlg001.msA:7.305	>
883	urn:cts:greekLit:tlg0012.tlg001.msA:7.306	>
884	urn:cts:greekLit:tlg0012.tlg001.msA:7.312	>
885	urn:cts:greekLit:tlg0012.tlg001.msA:7.314	>
886	urn:cts:greekLit:tlg0012.tlg001.msA:7.319	>
887	urn:cts:greekLit:tlg0012.tlg001.msA:7.328	>
888	urn:cts:greekLit:tlg0012.tlg001.msA:7.330	>
889	urn:cts:greekLit:tlg0012.tlg001.msA:7.333	>
890	urn:cts:greekLit:tlg0012.tlg001.msA:7.334	—
891	urn:cts:greekLit:tlg0012.tlg001.msA:7.335	—
892	urn:cts:greekLit:tlg0012.tlg001.msA:7.339	>
893	urn:cts:greekLit:tlg0012.tlg001.msA:7.345	>
894	urn:cts:greekLit:tlg0012.tlg001.msA:7.353	—
895	urn:cts:greekLit:tlg0012.tlg001.msA:7.390	>
896	urn:cts:greekLit:tlg0012.tlg001.msA:7.392	>
897	urn:cts:greekLit:tlg0012.tlg001.msA:7.393	>
898	urn:cts:greekLit:tlg0012.tlg001.msA:7.398	※
899	urn:cts:greekLit:tlg0012.tlg001.msA:7.399	※
900	urn:cts:greekLit:tlg0012.tlg001.msA:7.407	>
901	urn:cts:greekLit:tlg0012.tlg001.msA:7.413	>
902	urn:cts:greekLit:tlg0012.tlg001.msA:7.429	>
903	urn:cts:greekLit:tlg0012.tlg001.msA:7.433	>
904	urn:cts:greekLit:tlg0012.tlg001.msA:7.436	>
905	urn:cts:greekLit:tlg0012.tlg001.msA:7.443	—
906	urn:cts:greekLit:tlg0012.tlg001.msA:7.444	—
907	urn:cts:greekLit:tlg0012.tlg001.msA:7.445	—
908	urn:cts:greekLit:tlg0012.tlg001.msA:7.446	—
909	urn:cts:greekLit:tlg0012.tlg001.msA:7.447	>
910	urn:cts:greekLit:tlg0012.tlg001.msA:7.447	—
911	urn:cts:greekLit:tlg0012.tlg001.msA:7.448	—
912	urn:cts:greekLit:tlg0012.tlg001.msA:7.449	—
913	urn:cts:greekLit:tlg0012.tlg001.msA:7.450	—
914	urn:cts:greekLit:tlg0012.tlg001.msA:7.451	—
915	urn:cts:greekLit:tlg0012.tlg001.msA:7.452	—
916	urn:cts:greekLit:tlg0012.tlg001.msA:7.453	—
917	urn:cts:greekLit:tlg0012.tlg001.msA:7.453	>
918	urn:cts:greekLit:tlg0012.tlg001.msA:7.454	—
919	urn:cts:greekLit:tlg0012.tlg001.msA:7.455	—
920	urn:cts:greekLit:tlg0012.tlg001.msA:7.456	—
921	urn:cts:greekLit:tlg0012.tlg001.msA:7.457	—
922	urn:cts:greekLit:tlg0012.tlg001.msA:7.458	—
923	urn:cts:greekLit:tlg0012.tlg001.msA:7.459	—
924	urn:cts:greekLit:tlg0012.tlg001.msA:7.460	—
925	urn:cts:greekLit:tlg0012.tlg001.msA:7.461	—
926	urn:cts:greekLit:tlg0012.tlg001.msA:7.462	—
927	urn:cts:greekLit:tlg0012.tlg001.msA:7.463	—
928	urn:cts:greekLit:tlg0012.tlg001.msA:7.464	—
929	urn:cts:greekLit:tlg0012.tlg001.msA:7.465	>
930	urn:cts:greekLit:tlg0012.tlg001.msA:7.473	>
931	urn:cts:greekLit:tlg0012.tlg001.msA:7.474	>
932	urn:cts:greekLit:tlg0012.tlg001.msA:7.475	—
933	urn:cts:greekLit:tlg0012.tlg001.msA:8.1	⸖
934	urn:cts:greekLit:tlg0012.tlg001.msA:8.3	>
935	urn:cts:greekLit:tlg0012.tlg001.msA:8.16	>
936	urn:cts:greekLit:tlg0012.tlg001.msA:8.19	>
937	urn:cts:greekLit:tlg0012.tlg001.msA:8.22	>
938	urn:cts:greekLit:tlg0012.tlg001.msA:8.25	⸖
939	urn:cts:greekLit:tlg0012.tlg001.msA:8.26	⸖
940	urn:cts:greekLit:tlg0012.tlg001.msA:8.28	※
941	urn:cts:greekLit:tlg0012.tlg001.msA:8.28	—
942	urn:cts:greekLit:tlg0012.tlg001.msA:8.29	※
943	urn:cts:greekLit:tlg0012.tlg001.msA:8.29	—
944	urn:cts:greekLit:tlg0012.tlg001.msA:8.30	※
945	urn:cts:greekLit:tlg0012.tlg001.msA:8.30	—
946	urn:cts:greekLit:tlg0012.tlg001.msA:8.31	※
947	urn:cts:greekLit:tlg0012.tlg001.msA:8.31	—
948	urn:cts:greekLit:tlg0012.tlg001.msA:8.32	※
949	urn:cts:greekLit:tlg0012.tlg001.msA:8.32	—
950	urn:cts:greekLit:tlg0012.tlg001.msA:8.33	※
951	urn:cts:greekLit:tlg0012.tlg001.msA:8.33	—
952	urn:cts:greekLit:tlg0012.tlg001.msA:8.34	※
953	urn:cts:greekLit:tlg0012.tlg001.msA:8.34	—
954	urn:cts:greekLit:tlg0012.tlg001.msA:8.35	—
955	urn:cts:greekLit:tlg0012.tlg001.msA:8.36	—
956	urn:cts:greekLit:tlg0012.tlg001.msA:8.37	—
957	urn:cts:greekLit:tlg0012.tlg001.msA:8.38	—
958	urn:cts:greekLit:tlg0012.tlg001.msA:8.39	※
959	urn:cts:greekLit:tlg0012.tlg001.msA:8.39	—
960	urn:cts:greekLit:tlg0012.tlg001.msA:8.40	※
961	urn:cts:greekLit:tlg0012.tlg001.msA:8.40	—
962	urn:cts:greekLit:tlg0012.tlg001.msA:8.43	>
963	urn:cts:greekLit:tlg0012.tlg001.msA:8.46	>
964	urn:cts:greekLit:tlg0012.tlg001.msA:8.47	>
965	urn:cts:greekLit:tlg0012.tlg001.msA:8.53	⸖
966	urn:cts:greekLit:tlg0012.tlg001.msA:8.56	>
967	urn:cts:greekLit:tlg0012.tlg001.msA:8.58	>
968	urn:cts:greekLit:tlg0012.tlg001.msA:8.60	>
969	urn:cts:greekLit:tlg0012.tlg001.msA:8.62	>
970	urn:cts:greekLit:tlg0012.tlg001.msA:8.65	>
971	urn:cts:greekLit:tlg0012.tlg001.msA:8.66	>
972	urn:cts:greekLit:tlg0012.tlg001.msA:8.68	>
973	urn:cts:greekLit:tlg0012.tlg001.msA:8.70	>
974	urn:cts:greekLit:tlg0012.tlg001.msA:8.73	—
975	urn:cts:greekLit:tlg0012.tlg001.msA:8.74	—
976	urn:cts:greekLit:tlg0012.tlg001.msA:8.89	>
977	urn:cts:greekLit:tlg0012.tlg001.msA:8.93	—
978	urn:cts:greekLit:tlg0012.tlg001.msA:8.97	>
979	urn:cts:greekLit:tlg0012.tlg001.msA:8.99	>
980	urn:cts:greekLit:tlg0012.tlg001.msA:8.106	>
981	urn:cts:greekLit:tlg0012.tlg001.msA:8.107	>
982	urn:cts:greekLit:tlg0012.tlg001.msA:8.108	—
983	urn:cts:greekLit:tlg0012.tlg001.msA:8.109	>
984	urn:cts:greekLit:tlg0012.tlg001.msA:8.114	>
985	urn:cts:greekLit:tlg0012.tlg001.msA:8.124	>
986	urn:cts:greekLit:tlg0012.tlg001.msA:8.125	>
987	urn:cts:greekLit:tlg0012.tlg001.msA:8.128	⸖
988	urn:cts:greekLit:tlg0012.tlg001.msA:8.130	>
989	urn:cts:greekLit:tlg0012.tlg001.msA:8.131	>
990	urn:cts:greekLit:tlg0012.tlg001.msA:8.139	⸖
991	urn:cts:greekLit:tlg0012.tlg001.msA:8.149	>
992	urn:cts:greekLit:tlg0012.tlg001.msA:8.150	>
993	urn:cts:greekLit:tlg0012.tlg001.msA:8.163	>
994	urn:cts:greekLit:tlg0012.tlg001.msA:8.164	—
995	urn:cts:greekLit:tlg0012.tlg001.msA:8.165	—
996	urn:cts:greekLit:tlg0012.tlg001.msA:8.166	—
997	urn:cts:greekLit:tlg0012.tlg001.msA:8.168	>
998	urn:cts:greekLit:tlg0012.tlg001.msA:8.185	—
999	urn:cts:greekLit:tlg0012.tlg001.msA:8.186	>
1000	urn:cts:greekLit:tlg0012.tlg001.msA:8.189	—
1001	urn:cts:greekLit:tlg0012.tlg001.msA:8.193	>
1002	urn:cts:greekLit:tlg0012.tlg001.msA:8.199	>
1003	urn:cts:greekLit:tlg0012.tlg001.msA:8.206	>
1004	urn:cts:greekLit:tlg0012.tlg001.msA:8.207	⸖
1005	urn:cts:greekLit:tlg0012.tlg001.msA:8.209	>
1006	urn:cts:greekLit:tlg0012.tlg001.msA:8.221	>
1007	urn:cts:greekLit:tlg0012.tlg001.msA:8.230	>
1008	urn:cts:greekLit:tlg0012.tlg001.msA:8.231	—
1009	urn:cts:greekLit:tlg0012.tlg001.msA:8.233	>
1010	urn:cts:greekLit:tlg0012.tlg001.msA:8.235	—
1011	urn:cts:greekLit:tlg0012.tlg001.msA:8.239	>
1012	urn:cts:greekLit:tlg0012.tlg001.msA:8.250	>
1013	urn:cts:greekLit:tlg0012.tlg001.msA:8.257	>
1014	urn:cts:greekLit:tlg0012.tlg001.msA:8.266	>
1015	urn:cts:greekLit:tlg0012.tlg001.msA:8.270	>
1016	urn:cts:greekLit:tlg0012.tlg001.msA:8.276	>
1017	urn:cts:greekLit:tlg0012.tlg001.msA:8.284	—
1018	urn:cts:greekLit:tlg0012.tlg001.msA:8.290	>
1019	urn:cts:greekLit:tlg0012.tlg001.msA:8.293	>
1020	urn:cts:greekLit:tlg0012.tlg001.msA:8.299	>
1021	urn:cts:greekLit:tlg0012.tlg001.msA:8.301	>
1022	urn:cts:greekLit:tlg0012.tlg001.msA:8.303	>
1023	urn:cts:greekLit:tlg0012.tlg001.msA:8.306	>
1024	urn:cts:greekLit:tlg0012.tlg001.msA:8.307	>
1025	urn:cts:greekLit:tlg0012.tlg001.msA:8.308	>
1026	urn:cts:greekLit:tlg0012.tlg001.msA:8.312	⸖
1027	urn:cts:greekLit:tlg0012.tlg001.msA:8.313	>
1028	urn:cts:greekLit:tlg0012.tlg001.msA:8.316	>
1029	urn:cts:greekLit:tlg0012.tlg001.msA:8.317	>
1030	urn:cts:greekLit:tlg0012.tlg001.msA:8.321	>
1031	urn:cts:greekLit:tlg0012.tlg001.msA:8.322	>
1032	urn:cts:greekLit:tlg0012.tlg001.msA:8.325	>
1033	urn:cts:greekLit:tlg0012.tlg001.msA:8.328	>
1034	urn:cts:greekLit:tlg0012.tlg001.msA:8.331	>
1035	urn:cts:greekLit:tlg0012.tlg001.msA:8.340	>
1036	urn:cts:greekLit:tlg0012.tlg001.msA:8.349	>
1037	urn:cts:greekLit:tlg0012.tlg001.msA:8.361	>
1038	urn:cts:greekLit:tlg0012.tlg001.msA:8.368	>
1039	urn:cts:greekLit:tlg0012.tlg001.msA:8.371	—
1040	urn:cts:greekLit:tlg0012.tlg001.msA:8.372	—
1041	urn:cts:greekLit:tlg0012.tlg001.msA:8.373	>
1042	urn:cts:greekLit:tlg0012.tlg001.msA:8.377	⸖
1043	urn:cts:greekLit:tlg0012.tlg001.msA:8.378	⸖
1044	urn:cts:greekLit:tlg0012.tlg001.msA:8.385	—
1045	urn:cts:greekLit:tlg0012.tlg001.msA:8.386	—
1046	urn:cts:greekLit:tlg0012.tlg001.msA:8.387	—
1047	urn:cts:greekLit:tlg0012.tlg001.msA:8.390	—
1048	urn:cts:greekLit:tlg0012.tlg001.msA:8.391	—
1049	urn:cts:greekLit:tlg0012.tlg001.msA:8.393	>
1050	urn:cts:greekLit:tlg0012.tlg001.msA:8.399	>
1051	urn:cts:greekLit:tlg0012.tlg001.msA:8.406	※
1052	urn:cts:greekLit:tlg0012.tlg001.msA:8.407	※
1053	urn:cts:greekLit:tlg0012.tlg001.msA:8.408	※
1054	urn:cts:greekLit:tlg0012.tlg001.msA:8.411	>
1055	urn:cts:greekLit:tlg0012.tlg001.msA:8.420	—
1056	urn:cts:greekLit:tlg0012.tlg001.msA:8.421	—
1057	urn:cts:greekLit:tlg0012.tlg001.msA:8.422	—
1058	urn:cts:greekLit:tlg0012.tlg001.msA:8.423	—
1059	urn:cts:greekLit:tlg0012.tlg001.msA:8.424	—
1060	urn:cts:greekLit:tlg0012.tlg001.msA:8.428	>
1061	urn:cts:greekLit:tlg0012.tlg001.msA:8.435	>
1062	urn:cts:greekLit:tlg0012.tlg001.msA:8.439	>
1063	urn:cts:greekLit:tlg0012.tlg001.msA:8.441	>
1064	urn:cts:greekLit:tlg0012.tlg001.msA:8.443	>
1065	urn:cts:greekLit:tlg0012.tlg001.msA:8.444	>
1066	urn:cts:greekLit:tlg0012.tlg001.msA:8.448	⸖
1067	urn:cts:greekLit:tlg0012.tlg001.msA:8.455	>
1068	urn:cts:greekLit:tlg0012.tlg001.msA:8.459	>
1069	urn:cts:greekLit:tlg0012.tlg001.msA:8.463	※
1070	urn:cts:greekLit:tlg0012.tlg001.msA:8.464	※
1071	urn:cts:greekLit:tlg0012.tlg001.msA:8.465	※
1072	urn:cts:greekLit:tlg0012.tlg001.msA:8.475	—
1073	urn:cts:greekLit:tlg0012.tlg001.msA:8.476	—
1074	urn:cts:greekLit:tlg0012.tlg001.msA:8.485	>
1075	urn:cts:greekLit:tlg0012.tlg001.msA:8.488	>
1076	urn:cts:greekLit:tlg0012.tlg001.msA:8.491	>
1077	urn:cts:greekLit:tlg0012.tlg001.msA:8.493	⸖
1078	urn:cts:greekLit:tlg0012.tlg001.msA:8.494	⸖
1079	urn:cts:greekLit:tlg0012.tlg001.msA:8.495	⸖
1080	urn:cts:greekLit:tlg0012.tlg001.msA:8.499	>
1081	urn:cts:greekLit:tlg0012.tlg001.msA:8.501	⸖
1082	urn:cts:greekLit:tlg0012.tlg001.msA:8.503	⸖
1083	urn:cts:greekLit:tlg0012.tlg001.msA:8.505	>
1084	urn:cts:greekLit:tlg0012.tlg001.msA:8.512	>
1085	urn:cts:greekLit:tlg0012.tlg001.msA:8.513	>
1086	urn:cts:greekLit:tlg0012.tlg001.msA:8.517	>
1087	urn:cts:greekLit:tlg0012.tlg001.msA:8.519	>
1088	urn:cts:greekLit:tlg0012.tlg001.msA:8.521	>
1089	urn:cts:greekLit:tlg0012.tlg001.msA:8.524	—
1090	urn:cts:greekLit:tlg0012.tlg001.msA:8.525	—
1091	urn:cts:greekLit:tlg0012.tlg001.msA:8.526	⸖
1092	urn:cts:greekLit:tlg0012.tlg001.msA:8.528	—
1093	urn:cts:greekLit:tlg0012.tlg001.msA:8.532	>
1094	urn:cts:greekLit:tlg0012.tlg001.msA:8.535	Ͻ
1095	urn:cts:greekLit:tlg0012.tlg001.msA:8.536	Ͻ
1096	urn:cts:greekLit:tlg0012.tlg001.msA:8.537	Ͻ
1097	urn:cts:greekLit:tlg0012.tlg001.msA:8.555	>
1098	urn:cts:greekLit:tlg0012.tlg001.msA:8.557	※
1099	urn:cts:greekLit:tlg0012.tlg001.msA:8.557	—
1100	urn:cts:greekLit:tlg0012.tlg001.msA:8.558	※
1101	urn:cts:greekLit:tlg0012.tlg001.msA:8.558	—
1102	urn:cts:greekLit:tlg0012.tlg001.msA:8.560	⸖
1103	urn:cts:greekLit:tlg0012.tlg001.msA:8.562	⸖
1104	urn:cts:greekLit:tlg0012.tlg001.msA:9.2	>
1105	urn:cts:greekLit:tlg0012.tlg001.msA:9.3	>
1106	urn:cts:greekLit:tlg0012.tlg001.msA:9.9	>
1107	urn:cts:greekLit:tlg0012.tlg001.msA:9.12	>
1108	urn:cts:greekLit:tlg0012.tlg001.msA:9.14	⸖
1109	urn:cts:greekLit:tlg0012.tlg001.msA:9.16	>
1110	urn:cts:greekLit:tlg0012.tlg001.msA:9.17	>
1111	urn:cts:greekLit:tlg0012.tlg001.msA:9.18	>
1112	urn:cts:greekLit:tlg0012.tlg001.msA:9.19	>
1113	urn:cts:greekLit:tlg0012.tlg001.msA:9.23	※
1114	urn:cts:greekLit:tlg0012.tlg001.msA:9.23	—
1115	urn:cts:greekLit:tlg0012.tlg001.msA:9.24	※
1116	urn:cts:greekLit:tlg0012.tlg001.msA:9.24	—
1117	urn:cts:greekLit:tlg0012.tlg001.msA:9.25	※
1118	urn:cts:greekLit:tlg0012.tlg001.msA:9.25	—
1119	urn:cts:greekLit:tlg0012.tlg001.msA:9.29	⸖
1120	urn:cts:greekLit:tlg0012.tlg001.msA:9.30	⸖
1121	urn:cts:greekLit:tlg0012.tlg001.msA:9.31	⸖
1122	urn:cts:greekLit:tlg0012.tlg001.msA:9.34	>
1123	urn:cts:greekLit:tlg0012.tlg001.msA:9.43	>
1124	urn:cts:greekLit:tlg0012.tlg001.msA:9.44	—
1125	urn:cts:greekLit:tlg0012.tlg001.msA:9.47	>
1126	urn:cts:greekLit:tlg0012.tlg001.msA:9.53	>
1127	urn:cts:greekLit:tlg0012.tlg001.msA:9.56	>
1128	urn:cts:greekLit:tlg0012.tlg001.msA:9.57	>
1129	urn:cts:greekLit:tlg0012.tlg001.msA:9.67	>
1130	urn:cts:greekLit:tlg0012.tlg001.msA:9.71	>
1131	urn:cts:greekLit:tlg0012.tlg001.msA:9.77	>
1132	urn:cts:greekLit:tlg0012.tlg001.msA:9.99	>
1133	urn:cts:greekLit:tlg0012.tlg001.msA:9.116	>
1134	urn:cts:greekLit:tlg0012.tlg001.msA:9.119	>
1135	urn:cts:greekLit:tlg0012.tlg001.msA:9.128	>
1136	urn:cts:greekLit:tlg0012.tlg001.msA:9.131	⸖
1137	urn:cts:greekLit:tlg0012.tlg001.msA:9.133	>
1138	urn:cts:greekLit:tlg0012.tlg001.msA:9.137	>
1139	urn:cts:greekLit:tlg0012.tlg001.msA:9.140	>
1140	urn:cts:greekLit:tlg0012.tlg001.msA:9.141	>
1141	urn:cts:greekLit:tlg0012.tlg001.msA:9.145	>
1142	urn:cts:greekLit:tlg0012.tlg001.msA:9.146	>
1143	urn:cts:greekLit:tlg0012.tlg001.msA:9.147	>
1144	urn:cts:greekLit:tlg0012.tlg001.msA:9.148	>
1145	urn:cts:greekLit:tlg0012.tlg001.msA:9.153	>
1146	urn:cts:greekLit:tlg0012.tlg001.msA:9.156	>
1147	urn:cts:greekLit:tlg0012.tlg001.msA:9.160	>
1148	urn:cts:greekLit:tlg0012.tlg001.msA:9.165	>
1149	urn:cts:greekLit:tlg0012.tlg001.msA:9.168	>
1150	urn:cts:greekLit:tlg0012.tlg001.msA:9.169	>
1151	urn:cts:greekLit:tlg0012.tlg001.msA:9.170	>
1152	urn:cts:greekLit:tlg0012.tlg001.msA:9.171	>
1153	urn:cts:greekLit:tlg0012.tlg001.msA:9.180	>
1154	urn:cts:greekLit:tlg0012.tlg001.msA:9.182	>
1155	urn:cts:greekLit:tlg0012.tlg001.msA:9.188	>
1156	urn:cts:greekLit:tlg0012.tlg001.msA:9.190	>
1157	urn:cts:greekLit:tlg0012.tlg001.msA:9.192	>
1158	urn:cts:greekLit:tlg0012.tlg001.msA:9.197	>
1159	urn:cts:greekLit:tlg0012.tlg001.msA:9.206	>
1160	urn:cts:greekLit:tlg0012.tlg001.msA:9.209	>
1161	urn:cts:greekLit:tlg0012.tlg001.msA:9.212	>
1162	urn:cts:greekLit:tlg0012.tlg001.msA:9.219	>
1163	urn:cts:greekLit:tlg0012.tlg001.msA:9.222	>
1164	urn:cts:greekLit:tlg0012.tlg001.msA:9.224	>
1165	urn:cts:greekLit:tlg0012.tlg001.msA:9.225	>
1166	urn:cts:greekLit:tlg0012.tlg001.msA:9.236	>
1167	urn:cts:greekLit:tlg0012.tlg001.msA:9.241	>
1168	urn:cts:greekLit:tlg0012.tlg001.msA:9.242	>
1169	urn:cts:greekLit:tlg0012.tlg001.msA:9.246	>
1170	urn:cts:greekLit:tlg0012.tlg001.msA:9.254	>
1171	urn:cts:greekLit:tlg0012.tlg001.msA:9.261	>
1172	urn:cts:greekLit:tlg0012.tlg001.msA:9.262	>
1173	urn:cts:greekLit:tlg0012.tlg001.msA:9.271	>
1174	urn:cts:greekLit:tlg0012.tlg001.msA:9.297	>
1175	urn:cts:greekLit:tlg0012.tlg001.msA:9.313	>
1176	urn:cts:greekLit:tlg0012.tlg001.msA:9.325	>
1177	urn:cts:greekLit:tlg0012.tlg001.msA:9.327	>
1178	urn:cts:greekLit:tlg0012.tlg001.msA:9.338	>
1179	urn:cts:greekLit:tlg0012.tlg001.msA:9.347	>
1180	urn:cts:greekLit:tlg0012.tlg001.msA:9.354	>
1181	urn:cts:greekLit:tlg0012.tlg001.msA:9.364	>
1182	urn:cts:greekLit:tlg0012.tlg001.msA:9.367	>
1183	urn:cts:greekLit:tlg0012.tlg001.msA:9.378	>
1184	urn:cts:greekLit:tlg0012.tlg001.msA:9.383	>
1185	urn:cts:greekLit:tlg0012.tlg001.msA:9.385	>
1186	urn:cts:greekLit:tlg0012.tlg001.msA:9.392	>
1187	urn:cts:greekLit:tlg0012.tlg001.msA:9.395	>
1188	urn:cts:greekLit:tlg0012.tlg001.msA:9.401	>
1189	urn:cts:greekLit:tlg0012.tlg001.msA:9.404	>
1190	urn:cts:greekLit:tlg0012.tlg001.msA:9.405	⸖
1191	urn:cts:greekLit:tlg0012.tlg001.msA:9.416	—
1192	urn:cts:greekLit:tlg0012.tlg001.msA:9.419	>
1193	urn:cts:greekLit:tlg0012.tlg001.msA:9.446	>
1194	urn:cts:greekLit:tlg0012.tlg001.msA:9.447	>
1195	urn:cts:greekLit:tlg0012.tlg001.msA:9.455	>
1196	urn:cts:greekLit:tlg0012.tlg001.msA:9.456	>
1197	urn:cts:greekLit:tlg0012.tlg001.msA:9.457	>
1198	urn:cts:greekLit:tlg0012.tlg001.msA:9.473	>
1199	urn:cts:greekLit:tlg0012.tlg001.msA:9.475	>
1200	urn:cts:greekLit:tlg0012.tlg001.msA:9.478	>
1201	urn:cts:greekLit:tlg0012.tlg001.msA:9.481	>
1202	urn:cts:greekLit:tlg0012.tlg001.msA:9.505	>
1203	urn:cts:greekLit:tlg0012.tlg001.msA:9.506	⸖
1204	urn:cts:greekLit:tlg0012.tlg001.msA:9.509	>
1205	urn:cts:greekLit:tlg0012.tlg001.msA:9.520	>
1206	urn:cts:greekLit:tlg0012.tlg001.msA:9.527	>
1207	urn:cts:greekLit:tlg0012.tlg001.msA:9.528	>
1208	urn:cts:greekLit:tlg0012.tlg001.msA:9.531	>
1209	urn:cts:greekLit:tlg0012.tlg001.msA:9.537	⸖
1210	urn:cts:greekLit:tlg0012.tlg001.msA:9.540	>
1211	urn:cts:greekLit:tlg0012.tlg001.msA:9.541	>
1212	urn:cts:greekLit:tlg0012.tlg001.msA:9.542	>
1213	urn:cts:greekLit:tlg0012.tlg001.msA:9.546	>
1214	urn:cts:greekLit:tlg0012.tlg001.msA:9.554	>
1215	urn:cts:greekLit:tlg0012.tlg001.msA:9.562	>
1216	urn:cts:greekLit:tlg0012.tlg001.msA:9.567	>
1217	urn:cts:greekLit:tlg0012.tlg001.msA:9.568	>
1218	urn:cts:greekLit:tlg0012.tlg001.msA:9.569	>
1219	urn:cts:greekLit:tlg0012.tlg001.msA:9.571	>
1220	urn:cts:greekLit:tlg0012.tlg001.msA:9.575	>
1221	urn:cts:greekLit:tlg0012.tlg001.msA:9.578	>
1222	urn:cts:greekLit:tlg0012.tlg001.msA:9.586	>
1223	urn:cts:greekLit:tlg0012.tlg001.msA:9.593	>
1224	urn:cts:greekLit:tlg0012.tlg001.msA:9.594	>
1225	urn:cts:greekLit:tlg0012.tlg001.msA:9.598	>
1226	urn:cts:greekLit:tlg0012.tlg001.msA:9.605	>
1227	urn:cts:greekLit:tlg0012.tlg001.msA:9.607	>
1228	urn:cts:greekLit:tlg0012.tlg001.msA:9.612	⸖
1229	urn:cts:greekLit:tlg0012.tlg001.msA:9.616	>
1230	urn:cts:greekLit:tlg0012.tlg001.msA:9.619	>
1231	urn:cts:greekLit:tlg0012.tlg001.msA:9.621	>
1232	urn:cts:greekLit:tlg0012.tlg001.msA:9.622	>
1233	urn:cts:greekLit:tlg0012.tlg001.msA:9.625	>
1234	urn:cts:greekLit:tlg0012.tlg001.msA:9.632	>
1235	urn:cts:greekLit:tlg0012.tlg001.msA:9.638	>
1236	urn:cts:greekLit:tlg0012.tlg001.msA:9.641	⸖
1237	urn:cts:greekLit:tlg0012.tlg001.msA:9.653	>
1238	urn:cts:greekLit:tlg0012.tlg001.msA:9.656	>
1239	urn:cts:greekLit:tlg0012.tlg001.msA:9.657	>
1240	urn:cts:greekLit:tlg0012.tlg001.msA:9.664	⸖
1241	urn:cts:greekLit:tlg0012.tlg001.msA:9.668	>
1242	urn:cts:greekLit:tlg0012.tlg001.msA:9.680	>
1243	urn:cts:greekLit:tlg0012.tlg001.msA:9.682	>
1244	urn:cts:greekLit:tlg0012.tlg001.msA:9.685	>
1245	urn:cts:greekLit:tlg0012.tlg001.msA:9.686	>
1246	urn:cts:greekLit:tlg0012.tlg001.msA:9.688	—
1247	urn:cts:greekLit:tlg0012.tlg001.msA:9.689	—
1248	urn:cts:greekLit:tlg0012.tlg001.msA:9.690	—
1249	urn:cts:greekLit:tlg0012.tlg001.msA:9.691	—
1250	urn:cts:greekLit:tlg0012.tlg001.msA:9.692	—
