Sequence	Passage	Sign
217	urn:cts:greekLit:tlg0012.tlg001.msA:2.231	⸖
218	urn:cts:greekLit:tlg0012.tlg001.msA:2.238	>
219	urn:cts:greekLit:tlg0012.tlg001.msA:2.239	⸖
220	urn:cts:greekLit:tlg0012.tlg001.msA:2.247	>
221	urn:cts:greekLit:tlg0012.tlg001.msA:2.252	—
222	urn:cts:greekLit:tlg0012.tlg001.msA:2.253	—
223	urn:cts:greekLit:tlg0012.tlg001.msA:2.254	—
224	urn:cts:greekLit:tlg0012.tlg001.msA:2.255	—
225	urn:cts:greekLit:tlg0012.tlg001.msA:2.256	—
226	urn:cts:greekLit:tlg0012.tlg001.msA:2.258	>
227	urn:cts:greekLit:tlg0012.tlg001.msA:2.260	>
228	urn:cts:greekLit:tlg0012.tlg001.msA:2.264	>
229	urn:cts:greekLit:tlg0012.tlg001.msA:2.269	>
230	urn:cts:greekLit:tlg0012.tlg001.msA:2.276	>
231	urn:cts:greekLit:tlg0012.tlg001.msA:2.278	>
232	urn:cts:greekLit:tlg0012.tlg001.msA:2.286	>
233	urn:cts:greekLit:tlg0012.tlg001.msA:2.291	>
234	urn:cts:greekLit:tlg0012.tlg001.msA:2.297	⸖
235	urn:cts:greekLit:tlg0012.tlg001.msA:2.299	⸖
236	urn:cts:greekLit:tlg0012.tlg001.msA:2.300	>
237	urn:cts:greekLit:tlg0012.tlg001.msA:2.302	⸖
238	urn:cts:greekLit:tlg0012.tlg001.msA:2.314	⸖
239	urn:cts:greekLit:tlg0012.tlg001.msA:2.318	⸖
240	urn:cts:greekLit:tlg0012.tlg001.msA:2.319	—
241	urn:cts:greekLit:tlg0012.tlg001.msA:2.320	>
242	urn:cts:greekLit:tlg0012.tlg001.msA:2.328	>
243	urn:cts:greekLit:tlg0012.tlg001.msA:2.341	>
244	urn:cts:greekLit:tlg0012.tlg001.msA:2.349	>
245	urn:cts:greekLit:tlg0012.tlg001.msA:2.353	>
246	urn:cts:greekLit:tlg0012.tlg001.msA:2.356	>
247	urn:cts:greekLit:tlg0012.tlg001.msA:2.381	>
248	urn:cts:greekLit:tlg0012.tlg001.msA:2.385	>
249	urn:cts:greekLit:tlg0012.tlg001.msA:2.397	>
250	urn:cts:greekLit:tlg0012.tlg001.msA:2.412	>
251	urn:cts:greekLit:tlg0012.tlg001.msA:2.417	>
252	urn:cts:greekLit:tlg0012.tlg001.msA:2.422	>
253	urn:cts:greekLit:tlg0012.tlg001.msA:2.424	>
254	urn:cts:greekLit:tlg0012.tlg001.msA:2.435	⸖
255	urn:cts:greekLit:tlg0012.tlg001.msA:2.438	>
256	urn:cts:greekLit:tlg0012.tlg001.msA:2.440	⸖
257	urn:cts:greekLit:tlg0012.tlg001.msA:2.453	※
258	urn:cts:greekLit:tlg0012.tlg001.msA:2.454	※
259	urn:cts:greekLit:tlg0012.tlg001.msA:2.455	※
260	urn:cts:greekLit:tlg0012.tlg001.msA:2.480	>
261	urn:cts:greekLit:tlg0012.tlg001.msA:2.485	⸖
262	urn:cts:greekLit:tlg0012.tlg001.msA:2.486	⸖
263	urn:cts:greekLit:tlg0012.tlg001.msA:2.498	>
264	urn:cts:greekLit:tlg0012.tlg001.msA:2.500	>
265	urn:cts:greekLit:tlg0012.tlg001.msA:2.502	⸖
266	urn:cts:greekLit:tlg0012.tlg001.msA:2.507	⸖
267	urn:cts:greekLit:tlg0012.tlg001.msA:2.511	>
268	urn:cts:greekLit:tlg0012.tlg001.msA:2.517	>
269	urn:cts:greekLit:tlg0012.tlg001.msA:2.520	⸖
270	urn:cts:greekLit:tlg0012.tlg001.msA:2.527	>
271	urn:cts:greekLit:tlg0012.tlg001.msA:2.528	⸖
272	urn:cts:greekLit:tlg0012.tlg001.msA:2.529	—
273	urn:cts:greekLit:tlg0012.tlg001.msA:2.530	—
274	urn:cts:greekLit:tlg0012.tlg001.msA:2.532	⸖
275	urn:cts:greekLit:tlg0012.tlg001.msA:2.547	>
276	urn:cts:greekLit:tlg0012.tlg001.msA:2.553	⸖
277	urn:cts:greekLit:tlg0012.tlg001.msA:2.570	>
278	urn:cts:greekLit:tlg0012.tlg001.msA:2.571	⸖
279	urn:cts:greekLit:tlg0012.tlg001.msA:2.579	⸖
280	urn:cts:greekLit:tlg0012.tlg001.msA:2.580	⸖
281	urn:cts:greekLit:tlg0012.tlg001.msA:2.581	⸖
282	urn:cts:greekLit:tlg0012.tlg001.msA:2.582	>
283	urn:cts:greekLit:tlg0012.tlg001.msA:2.590	>
284	urn:cts:greekLit:tlg0012.tlg001.msA:2.592	>
285	urn:cts:greekLit:tlg0012.tlg001.msA:2.596	>
286	urn:cts:greekLit:tlg0012.tlg001.msA:2.597	>
287	urn:cts:greekLit:tlg0012.tlg001.msA:2.599	>
288	urn:cts:greekLit:tlg0012.tlg001.msA:2.603	—
289	urn:cts:greekLit:tlg0012.tlg001.msA:2.605	>
290	urn:cts:greekLit:tlg0012.tlg001.msA:2.612	⸖
291	urn:cts:greekLit:tlg0012.tlg001.msA:2.613	⸖
292	urn:cts:greekLit:tlg0012.tlg001.msA:2.614	⸖
293	urn:cts:greekLit:tlg0012.tlg001.msA:2.616	⸖
294	urn:cts:greekLit:tlg0012.tlg001.msA:2.621	>
295	urn:cts:greekLit:tlg0012.tlg001.msA:2.625	>
296	urn:cts:greekLit:tlg0012.tlg001.msA:2.626	⸖
297	urn:cts:greekLit:tlg0012.tlg001.msA:2.629	>
298	urn:cts:greekLit:tlg0012.tlg001.msA:2.631	—
299	urn:cts:greekLit:tlg0012.tlg001.msA:2.634	⸖
300	urn:cts:greekLit:tlg0012.tlg001.msA:2.641	⸖
301	urn:cts:greekLit:tlg0012.tlg001.msA:2.642	⸖
302	urn:cts:greekLit:tlg0012.tlg001.msA:2.649	>
303	urn:cts:greekLit:tlg0012.tlg001.msA:2.658	⸖
304	urn:cts:greekLit:tlg0012.tlg001.msA:2.659	>
305	urn:cts:greekLit:tlg0012.tlg001.msA:2.667	⸖
306	urn:cts:greekLit:tlg0012.tlg001.msA:2.668	>
307	urn:cts:greekLit:tlg0012.tlg001.msA:2.669	—
308	urn:cts:greekLit:tlg0012.tlg001.msA:2.670	>
309	urn:cts:greekLit:tlg0012.tlg001.msA:2.673	⸖
310	urn:cts:greekLit:tlg0012.tlg001.msA:2.674	⸖
311	urn:cts:greekLit:tlg0012.tlg001.msA:2.675	⸖
312	urn:cts:greekLit:tlg0012.tlg001.msA:2.681	>
313	urn:cts:greekLit:tlg0012.tlg001.msA:2.684	>
314	urn:cts:greekLit:tlg0012.tlg001.msA:2.689	>
315	urn:cts:greekLit:tlg0012.tlg001.msA:2.690	⸖
316	urn:cts:greekLit:tlg0012.tlg001.msA:2.694	⸖
317	urn:cts:greekLit:tlg0012.tlg001.msA:2.696	>
318	urn:cts:greekLit:tlg0012.tlg001.msA:2.697	⸖
319	urn:cts:greekLit:tlg0012.tlg001.msA:2.701	>
320	urn:cts:greekLit:tlg0012.tlg001.msA:2.718	⸖
321	urn:cts:greekLit:tlg0012.tlg001.msA:2.722	>
