Passage	Sign
urn:cts:greekLit:tlg0012.tlg001.msA:1.572	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:1.578	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.2	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.6	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.8	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.10	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.27	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:2.27	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.36	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.41	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.45	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.49	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.55	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:2.64	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:2.64	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.70	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.76	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.77	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.78	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.79	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.80	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.81	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.82	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.87	urn:cite:hmt:critsigns.asteriskos
urn:cts:greekLit:tlg0012.tlg001.msA:2.89	urn:cite:hmt:critsigns.dotteddiple
