OccurrenceUrn	Sequence	CriticalSign	TextPassage
urn:cite:hmt:venAsign.46.v1	46	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.198
urn:cite:hmt:venAsign.47.v1	47	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.200
urn:cite:hmt:venAsign.48.v1	48	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.203
urn:cite:hmt:venAsign.49.v1	49	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.204
urn:cite:hmt:venAsign.50.v1	50	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.208
urn:cite:hmt:venAsign.51.v1	51	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.208
urn:cite:hmt:venAsign.52.v1	52	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.209
urn:cite:hmt:venAsign.53.v1	53	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.209
urn:cite:hmt:venAsign.54.v1	54	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.249
urn:cite:hmt:venAsign.55.v1	55	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.251
urn:cite:hmt:venAsign.56.v1	56	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.260
urn:cite:hmt:venAsign.57.v1	57	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.262
urn:cite:hmt:venAsign.58.v1	58	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.270
urn:cite:hmt:venAsign.59.v1	59	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.271
urn:cite:hmt:venAsign.60.v1	60	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.272
urn:cite:hmt:venAsign.61.v1	61	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.275
urn:cite:hmt:venAsign.62.v1	62	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.291
urn:cite:hmt:venAsign.63.v1	63	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.295
urn:cite:hmt:venAsign.64.v1	64	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.299
urn:cite:hmt:venAsign.65.v1	65	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.305
urn:cite:hmt:venAsign.66.v1	66	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.307
urn:cite:hmt:venAsign.67.v1	67	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.310
urn:cite:hmt:venAsign.68.v1	68	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.320
urn:cite:hmt:venAsign.69.v1	69	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.330
urn:cite:hmt:venAsign.70.v1	70	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.336
urn:cite:hmt:venAsign.71.v1	71	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.338
urn:cite:hmt:venAsign.72.v1	72	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.340
urn:cite:hmt:venAsign.73.v1	73	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.351
urn:cite:hmt:venAsign.74.v1	74	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.364
urn:cite:hmt:venAsign.75.v1	75	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.365
urn:cite:hmt:venAsign.76.v1	76	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.366
urn:cite:hmt:venAsign.77.v1	77	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.367
urn:cite:hmt:venAsign.78.v1	78	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.368
urn:cite:hmt:venAsign.79.v1	79	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.369
urn:cite:hmt:venAsign.80.v1	80	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.370
urn:cite:hmt:venAsign.81.v1	81	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.371
urn:cite:hmt:venAsign.82.v1	82	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.372
urn:cite:hmt:venAsign.83.v1	83	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.373
urn:cite:hmt:venAsign.84.v1	84	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.374
urn:cite:hmt:venAsign.85.v1	85	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.375
urn:cite:hmt:venAsign.86.v1	86	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.376
urn:cite:hmt:venAsign.87.v1	87	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.377
urn:cite:hmt:venAsign.88.v1	88	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.378
urn:cite:hmt:venAsign.89.v1	89	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.379
urn:cite:hmt:venAsign.90.v1	90	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.372
urn:cite:hmt:venAsign.91.v1	91	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.373
urn:cite:hmt:venAsign.92.v1	92	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.374
urn:cite:hmt:venAsign.93.v1	93	urn:cite:hmt:critsigns.sterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.375
