folio	rv	sequence	label
urn:cite:hmt:comp.va287v	verso	594	Venetus A Folio 287 verso
urn:cite:hmt:comp.va288r	recto	595	Venetus A Folio 288 recto
urn:cite:hmt:comp.va288v	verso	596	Venetus A Folio 288 verso
urn:cite:hmt:comp.va289r	recto	597	Venetus A Folio 289 recto
urn:cite:hmt:comp.va289v	verso	598	Venetus A Folio 289 verso
urn:cite:hmt:comp.va290r	recto	599	Venetus A Folio 290 recto
urn:cite:hmt:comp.va290v	verso	600	Venetus A Folio 290 verso
urn:cite:hmt:comp.va291r	recto	601	Venetus A Folio 291 recto
urn:cite:hmt:comp.va291v	verso	602	Venetus A Folio 291 verso
urn:cite:hmt:comp.va292r	recto	603	Venetus A Folio 292 recto
urn:cite:hmt:comp.va292v	verso	604	Venetus A Folio 292 verso
urn:cite:hmt:comp.va293r	recto	605	Venetus A Folio 293 recto
urn:cite:hmt:comp.va293v	verso	606	Venetus A Folio 293 verso
urn:cite:hmt:comp.va294r	recto	607	Venetus A Folio 294 recto
urn:cite:hmt:comp.va294v	verso	608	Venetus A Folio 294 verso
urn:cite:hmt:comp.va295r	recto	609	Venetus A Folio 295 recto
urn:cite:hmt:comp.va295v	verso	610	Venetus A Folio 295 verso
urn:cite:hmt:comp.va296r	recto	611	Venetus A Folio 296 recto
urn:cite:hmt:comp.va296v	verso	612	Venetus A Folio 296 verso
urn:cite:hmt:comp.va297r	recto	613	Venetus A Folio 297 recto
urn:cite:hmt:comp.va297v	verso	614	Venetus A Folio 297 verso
urn:cite:hmt:comp.va298r	recto	615	Venetus A Folio 298 recto
urn:cite:hmt:comp.va298v	verso	616	Venetus A Folio 298 verso
urn:cite:hmt:comp.va299r	recto	617	Venetus A Folio 299 recto
urn:cite:hmt:comp.va299v	verso	618	Venetus A Folio 299 verso
urn:cite:hmt:comp.va300r	recto	619	Venetus A Folio 300 recto
urn:cite:hmt:comp.va300v	verso	620	Venetus A Folio 300 verso
urn:cite:hmt:comp.va301r	recto	621	Venetus A Folio 301 recto
