Siglum	Sequence	URN	RV	MS	CodexURN
u4	272	urn:cite:hmt:u4.136v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 136v	urn:cite:hmt:codex.u4
u4	168	urn:cite:hmt:u4.84v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 84v	urn:cite:hmt:codex.u4
u4	47	urn:cite:hmt:u4.24r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 24r	urn:cite:hmt:codex.u4
u4	63	urn:cite:hmt:u4.32r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 32r	urn:cite:hmt:codex.u4
u4	76	urn:cite:hmt:u4.38v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 38v	urn:cite:hmt:codex.u4
u4	70	urn:cite:hmt:u4.35v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 35v	urn:cite:hmt:codex.u4
u4	380	urn:cite:hmt:u4.190v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 190v	urn:cite:hmt:codex.u4
u4	146	urn:cite:hmt:u4.73v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 73v	urn:cite:hmt:codex.u4
u4	139	urn:cite:hmt:u4.70r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 70r	urn:cite:hmt:codex.u4
u4	51	urn:cite:hmt:u4.26r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 26r	urn:cite:hmt:codex.u4
u4	169	urn:cite:hmt:u4.85r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 85r	urn:cite:hmt:codex.u4
u4	32	urn:cite:hmt:u4.16v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 16v	urn:cite:hmt:codex.u4
u4	12	urn:cite:hmt:u4.6v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 6v	urn:cite:hmt:codex.u4
u4	362	urn:cite:hmt:u4.181v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 181v	urn:cite:hmt:codex.u4
u4	307	urn:cite:hmt:u4.154r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 154r	urn:cite:hmt:codex.u4
u4	363	urn:cite:hmt:u4.182r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 182r	urn:cite:hmt:codex.u4
u4	308	urn:cite:hmt:u4.154v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 154v	urn:cite:hmt:codex.u4
u4	317	urn:cite:hmt:u4.159r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 159r	urn:cite:hmt:codex.u4
u4	291	urn:cite:hmt:u4.146r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 146r	urn:cite:hmt:codex.u4
u4	371	urn:cite:hmt:u4.186r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 186r	urn:cite:hmt:codex.u4
u4	104	urn:cite:hmt:u4.52v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 52v	urn:cite:hmt:codex.u4
u4	258	urn:cite:hmt:u4.129v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 129v	urn:cite:hmt:codex.u4
u4	318	urn:cite:hmt:u4.159v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 159v	urn:cite:hmt:codex.u4
u4	239	urn:cite:hmt:u4.120r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 120r	urn:cite:hmt:codex.u4
u4	211	urn:cite:hmt:u4.106r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 106r	urn:cite:hmt:codex.u4
u4	77	urn:cite:hmt:u4.39r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 39r	urn:cite:hmt:codex.u4
u4	92	urn:cite:hmt:u4.46v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 46v	urn:cite:hmt:codex.u4
u4	223	urn:cite:hmt:u4.112r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 112r	urn:cite:hmt:codex.u4
u4	372	urn:cite:hmt:u4.186v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 186v	urn:cite:hmt:codex.u4
u4	127	urn:cite:hmt:u4.64r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 64r	urn:cite:hmt:codex.u4
u4	196	urn:cite:hmt:u4.98v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 98v	urn:cite:hmt:codex.u4
u4	255	urn:cite:hmt:u4.128r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 128r	urn:cite:hmt:codex.u4
u4	373	urn:cite:hmt:u4.187r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 187r	urn:cite:hmt:codex.u4
u4	40	urn:cite:hmt:u4.20v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 20v	urn:cite:hmt:codex.u4
u4	162	urn:cite:hmt:u4.81v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 81v	urn:cite:hmt:codex.u4
u4	87	urn:cite:hmt:u4.44r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 44r	urn:cite:hmt:codex.u4
u4	275	urn:cite:hmt:u4.138r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 138r	urn:cite:hmt:codex.u4
u4	57	urn:cite:hmt:u4.29r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 29r	urn:cite:hmt:codex.u4
u4	241	urn:cite:hmt:u4.121r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 121r	urn:cite:hmt:codex.u4
u4	66	urn:cite:hmt:u4.33v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 33v	urn:cite:hmt:codex.u4
u4	368	urn:cite:hmt:u4.184v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 184v	urn:cite:hmt:codex.u4
u4	102	urn:cite:hmt:u4.51v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 51v	urn:cite:hmt:codex.u4
u4	17	urn:cite:hmt:u4.9r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 9r	urn:cite:hmt:codex.u4
u4	98	urn:cite:hmt:u4.49v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 49v	urn:cite:hmt:codex.u4
u4	80	urn:cite:hmt:u4.40v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 40v	urn:cite:hmt:codex.u4
u4	140	urn:cite:hmt:u4.70v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 70v	urn:cite:hmt:codex.u4
u4	138	urn:cite:hmt:u4.69v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 69v	urn:cite:hmt:codex.u4
