Siglum	Sequence	URN	RV	Label	CodexURN
msA	109	urn:cite:hmt:msA.55r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 55r	urn:cite:hmt:codex.msA
msA	110	urn:cite:hmt:msA.55v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 55v	urn:cite:hmt:codex.msA
msA	111	urn:cite:hmt:msA.56r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 56r	urn:cite:hmt:codex.msA
msA	112	urn:cite:hmt:msA.56v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 56v	urn:cite:hmt:codex.msA
msA	113	urn:cite:hmt:msA.57r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 57r	urn:cite:hmt:codex.msA
msA	114	urn:cite:hmt:msA.57v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 57v	urn:cite:hmt:codex.msA
msA	115	urn:cite:hmt:msA.58r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 58r	urn:cite:hmt:codex.msA
msA	116	urn:cite:hmt:msA.58v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 58v	urn:cite:hmt:codex.msA
msA	117	urn:cite:hmt:msA.59r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 59r	urn:cite:hmt:codex.msA
msA	118	urn:cite:hmt:msA.59v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 59v	urn:cite:hmt:codex.msA
msA	119	urn:cite:hmt:msA.60r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 60r	urn:cite:hmt:codex.msA
msA	120	urn:cite:hmt:msA.60v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 60v	urn:cite:hmt:codex.msA
msA	121	urn:cite:hmt:msA.61r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 61r	urn:cite:hmt:codex.msA
msA	122	urn:cite:hmt:msA.61v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 61v	urn:cite:hmt:codex.msA
msA	123	urn:cite:hmt:msA.62r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 62r	urn:cite:hmt:codex.msA
msA	124	urn:cite:hmt:msA.62v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 62v	urn:cite:hmt:codex.msA
msA	125	urn:cite:hmt:msA.63r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 63r	urn:cite:hmt:codex.msA
msA	126	urn:cite:hmt:msA.63v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 63v	urn:cite:hmt:codex.msA
msA	127	urn:cite:hmt:msA.64r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 64r	urn:cite:hmt:codex.msA
msA	128	urn:cite:hmt:msA.64v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 64v	urn:cite:hmt:codex.msA
msA	129	urn:cite:hmt:msA.65r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 65r	urn:cite:hmt:codex.msA
msA	130	urn:cite:hmt:msA.65v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 65v	urn:cite:hmt:codex.msA
msA	131	urn:cite:hmt:msA.66r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 66r	urn:cite:hmt:codex.msA
msA	132	urn:cite:hmt:msA.66v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 66v	urn:cite:hmt:codex.msA
msA	133	urn:cite:hmt:msA.67r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 67r	urn:cite:hmt:codex.msA
msA	134	urn:cite:hmt:msA.67v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 67v	urn:cite:hmt:codex.msA
msA	135	urn:cite:hmt:msA.68r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 68r	urn:cite:hmt:codex.msA
msA	136	urn:cite:hmt:msA.68v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 68v	urn:cite:hmt:codex.msA
msA	137	urn:cite:hmt:msA.69r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 69r	urn:cite:hmt:codex.msA
msA	138	urn:cite:hmt:msA.69v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 69v	urn:cite:hmt:codex.msA
msA	139	urn:cite:hmt:msA.70r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 70r	urn:cite:hmt:codex.msA
msA	140	urn:cite:hmt:msA.70v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 70v	urn:cite:hmt:codex.msA
msA	141	urn:cite:hmt:msA.71r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 71r	urn:cite:hmt:codex.msA
msA	142	urn:cite:hmt:msA.71v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 71v	urn:cite:hmt:codex.msA
msA	143	urn:cite:hmt:msA.72r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 72r	urn:cite:hmt:codex.msA
msA	144	urn:cite:hmt:msA.72v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 72v	urn:cite:hmt:codex.msA
msA	145	urn:cite:hmt:msA.73r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 73r	urn:cite:hmt:codex.msA
msA	146	urn:cite:hmt:msA.73v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 73v	urn:cite:hmt:codex.msA
msA	147	urn:cite:hmt:msA.74r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 74r	urn:cite:hmt:codex.msA
msA	148	urn:cite:hmt:msA.74v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 74v	urn:cite:hmt:codex.msA
msA	149	urn:cite:hmt:msA.75r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 75r	urn:cite:hmt:codex.msA
msA	150	urn:cite:hmt:msA.75v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 75v	urn:cite:hmt:codex.msA
msA	151	urn:cite:hmt:msA.76r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 76r	urn:cite:hmt:codex.msA
msA	152	urn:cite:hmt:msA.76v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 76v	urn:cite:hmt:codex.msA
msA	153	urn:cite:hmt:msA.77r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 77r	urn:cite:hmt:codex.msA
